Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE
Workers,Class of Worker,Private wage and salary workers,285948,(+/- 6768 ),251217,(+/- 7262 ),243289,(+/- 6694 ),290293,(+/- 7210 ),254339,(+/- 6968 ),209033,(+/- 7332 ),248082,(+/- 7142 )
Workers,Class of Worker,Government workers,59213,(+/- 4627 ),58863,(+/- 4609 ),41772,(+/- 3036 ),36021,(+/- 3104 ),40179,(+/- 3633 ),50901,(+/- 3551 ),43205,(+/- 4061 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,21733,(+/- 3451 ),16604,(+/- 2336 ),16390,(+/- 2138 ),15247,(+/- 1629 ),13430,(+/- 1542 ),14899,(+/- 2084 ),14723,(+/- 2143 )
Workers,Class of Worker,Unpaid family workers,704,(+/- 542 ),590,(+/- 423 ),520,(+/- 258 ),822,(+/- 637 ),53,(+/- 98 ),77,(+/- 100 ),1127,(+/- 990 )
Housing,Housing Occupancy,Total housing units,348334,(+/- 3089 ),299720,(+/- 3340 ),304659,(+/- 2269 ),302372,(+/- 2347 ),302165,(+/- 2262 ),300957,(+/- 5265 ),378055,(+/- 2387 )
Housing,Housing Occupancy,Occupied housing units,290002,(+/- 4670 ),269439,(+/- 4183 ),258490,(+/- 4113 ),273239,(+/- 3548 ),267518,(+/- 3585 ),248721,(+/- 5075 ),270478,(+/- 4699 )
Housing,Housing Occupancy,Vacant housing units,58332,(+/- 4426 ),30281,(+/- 3792 ),46169,(+/- 3718 ),29133,(+/- 3105 ),34647,(+/- 3268 ),52236,(+/- 3582 ),107577,(+/- 4611 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.7,(+/- 0.5 ),1.3,(+/- 0.5 ),1.6,(+/- 0.5 ),2.2,(+/- 0.7 ),1.3,(+/- 0.5 ),2.0,(+/- 0.7 ),1.6,(+/- 0.5 )
Housing,Housing Occupancy,Rental vacancy rate,7.1,(+/- 1.9 ),4.6,(+/- 1.5 ),4.0,(+/- 1.3 ),6.2,(+/- 1.3 ),4.9,(+/- 1.5 ),6.8,(+/- 1.4 ),23.3,(+/- 2.1 )
Housing,Housing Tenure,Occupied housing units,290002,(+/- 4670 ),269439,(+/- 4183 ),258490,(+/- 4113 ),273239,(+/- 3548 ),267518,(+/- 3585 ),248721,(+/- 5075 ),270478,(+/- 4699 )
Housing,Housing Tenure,Owner-occupied,202681,(+/- 4601 ),197316,(+/- 4587 ),177985,(+/- 4473 ),179805,(+/- 4058 ),195180,(+/- 4601 ),142732,(+/- 3848 ),193172,(+/- 4816 )
Housing,Housing Tenure,Renter-occupied,87321,(+/- 4584 ),72123,(+/- 4329 ),80505,(+/- 4045 ),93434,(+/- 3860 ),72338,(+/- 3950 ),105989,(+/- 4918 ),77306,(+/- 4356 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.62,(+/- 0.05 ),2.58,(+/- 0.04 ),2.56,(+/- 0.05 ),2.65,(+/- 0.04 ),2.62,(+/- 0.04 ),2.58,(+/- 0.06 ),2.53,(+/- 0.05 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.53,(+/- 0.10 ),2.43,(+/- 0.09 ),2.59,(+/- 0.10 ),2.38,(+/- 0.07 ),2.51,(+/- 0.09 ),2.55,(+/- 0.09 ),2.68,(+/- 0.11 )
Housing,Year Householder Moved into Unit,Occupied housing units,290002,(+/- 4670 ),269439,(+/- 4183 ),258490,(+/- 4113 ),273239,(+/- 3548 ),267518,(+/- 3585 ),248721,(+/- 5075 ),270478,(+/- 4699 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,59326,(+/- 4390 ),47173,(+/- 3585 ),43319,(+/- 3790 ),60147,(+/- 3594 ),43739,(+/- 3144 ),43723,(+/- 2725 ),43944,(+/- 3048 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,96873,(+/- 4998 ),71580,(+/- 3815 ),66579,(+/- 4542 ),74984,(+/- 3827 ),69485,(+/- 3485 ),70654,(+/- 4209 ),73180,(+/- 3889 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,76025,(+/- 3843 ),77416,(+/- 4429 ),66096,(+/- 3875 ),67566,(+/- 3270 ),73100,(+/- 4172 ),60046,(+/- 3412 ),77770,(+/- 4375 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,30256,(+/- 2390 ),37538,(+/- 2503 ),36822,(+/- 2867 ),31513,(+/- 2078 ),37149,(+/- 2729 ),30543,(+/- 2511 ),37392,(+/- 2639 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,14003,(+/- 1562 ),18145,(+/- 1672 ),18394,(+/- 1980 ),16441,(+/- 1369 ),18629,(+/- 1988 ),18627,(+/- 2066 ),16641,(+/- 1993 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,13519,(+/- 1739 ),17587,(+/- 1657 ),27280,(+/- 2105 ),22588,(+/- 1664 ),25416,(+/- 2036 ),25128,(+/- 1857 ),21551,(+/- 2041 )
Housing,Value,Owner-occupied units,202681,(+/- 4601 ),197316,(+/- 4587 ),177985,(+/- 4473 ),179805,(+/- 4058 ),195180,(+/- 4601 ),142732,(+/- 3848 ),193172,(+/- 4816 )
Housing,Value,"Less than $50,000",9136,(+/- 1513 ),16585,(+/- 1968 ),26401,(+/- 2414 ),13923,(+/- 1851 ),24707,(+/- 2074 ),30575,(+/- 2848 ),33694,(+/- 2691 )
Housing,Value,"$50,000 to $99,999",11806,(+/- 1788 ),30451,(+/- 2803 ),41037,(+/- 2790 ),31916,(+/- 2480 ),43014,(+/- 3462 ),41030,(+/- 2924 ),35768,(+/- 2925 )
Housing,Value,"$100,000 to $149,999",24079,(+/- 2668 ),46386,(+/- 3478 ),32831,(+/- 2925 ),38301,(+/- 2744 ),36454,(+/- 2849 ),25237,(+/- 2165 ),31177,(+/- 2608 )
Housing,Value,"$150,000 to $199,999",35536,(+/- 3070 ),37734,(+/- 2821 ),26576,(+/- 2277 ),33821,(+/- 2370 ),31149,(+/- 2433 ),18177,(+/- 2225 ),31385,(+/- 2658 )
Housing,Value,"$200,000 to $299,999",44606,(+/- 3106 ),33720,(+/- 2543 ),27174,(+/- 2344 ),31076,(+/- 2222 ),31698,(+/- 2802 ),14334,(+/- 1688 ),32774,(+/- 2415 )
Housing,Value,"$300,000 to $499,999",41875,(+/- 2558 ),22956,(+/- 1997 ),16562,(+/- 1597 ),19899,(+/- 1972 ),20485,(+/- 2254 ),8143,(+/- 1004 ),20320,(+/- 2150 )
Housing,Value,"$500,000 to $999,999",26233,(+/- 2193 ),8208,(+/- 1134 ),5851,(+/- 1097 ),8746,(+/- 1189 ),6554,(+/- 1192 ),3672,(+/- 969 ),6662,(+/- 1190 )
Housing,Value,"$1,000,000 or more",9410,(+/- 1158 ),1276,(+/- 571 ),1553,(+/- 542 ),2123,(+/- 641 ),1119,(+/- 508 ),1564,(+/- 436 ),1392,(+/- 446 )
Housing,Value,Median (dollars),239400,(+/- 6419 ),155600,(+/- 3821 ),130500,(+/- 5598 ),157400,(+/- 3375 ),139700,(+/- 4464 ),99700,(+/- 3644 ),143500,(+/- 4569 )
Housing,Mortgage Status,Owner-occupied units,202681,(+/- 4601 ),197316,(+/- 4587 ),177985,(+/- 4473 ),179805,(+/- 4058 ),195180,(+/- 4601 ),142732,(+/- 3848 ),193172,(+/- 4816 )
Housing,Mortgage Status,Housing units with a mortgage,139734,(+/- 4764 ),129020,(+/- 4554 ),94627,(+/- 3560 ),111134,(+/- 4021 ),110364,(+/- 4035 ),65060,(+/- 3220 ),99483,(+/- 3822 )
Housing,Mortgage Status,Housing units without a mortgage,62947,(+/- 3544 ),68296,(+/- 3318 ),83358,(+/- 3514 ),68671,(+/- 3269 ),84816,(+/- 3444 ),77672,(+/- 3334 ),93689,(+/- 4241 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,139734,(+/- 4764 ),129020,(+/- 4554 ),94627,(+/- 3560 ),111134,(+/- 4021 ),110364,(+/- 4035 ),65060,(+/- 3220 ),99483,(+/- 3822 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,816,(+/- 389 ),2825,(+/- 868 ),4670,(+/- 1059 ),3552,(+/- 990 ),3883,(+/- 904 ),1596,(+/- 458 ),3300,(+/- 698 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,21519,(+/- 2411 ),38315,(+/- 2840 ),36578,(+/- 2549 ),42140,(+/- 3061 ),39930,(+/- 3127 ),27459,(+/- 2506 ),35822,(+/- 2710 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",49956,(+/- 3263 ),50662,(+/- 3829 ),31689,(+/- 2522 ),35361,(+/- 2611 ),38546,(+/- 2745 ),23199,(+/- 2224 ),35799,(+/- 2729 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",33589,(+/- 3275 ),19009,(+/- 1998 ),11730,(+/- 1707 ),16955,(+/- 1855 ),15920,(+/- 1744 ),7838,(+/- 1550 ),15131,(+/- 1676 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",13117,(+/- 1909 ),9159,(+/- 1582 ),4776,(+/- 1184 ),6697,(+/- 1233 ),6529,(+/- 1382 ),2850,(+/- 632 ),4822,(+/- 1269 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",7462,(+/- 1275 ),4654,(+/- 1238 ),2439,(+/- 639 ),3893,(+/- 898 ),3842,(+/- 1250 ),1064,(+/- 444 ),3012,(+/- 716 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",13275,(+/- 1928 ),4396,(+/- 1114 ),2745,(+/- 861 ),2536,(+/- 623 ),1714,(+/- 754 ),1054,(+/- 443 ),1597,(+/- 488 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1476,(+/- 33 ),1192,(+/- 21 ),1076,(+/- 29 ),1116,(+/- 25 ),1127,(+/- 26 ),1062,(+/- 33 ),1125,(+/- 26 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,62947,(+/- 3544 ),68296,(+/- 3318 ),83358,(+/- 3514 ),68671,(+/- 3269 ),84816,(+/- 3444 ),77672,(+/- 3334 ),93689,(+/- 4241 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,5236,(+/- 1275 ),14255,(+/- 1572 ),24170,(+/- 1794 ),15992,(+/- 1928 ),23260,(+/- 2026 ),16316,(+/- 2070 ),25213,(+/- 2771 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,15871,(+/- 2453 ),26265,(+/- 2057 ),35349,(+/- 2609 ),27130,(+/- 1898 ),34676,(+/- 2787 ),31567,(+/- 2535 ),35580,(+/- 2612 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,20267,(+/- 2293 ),18532,(+/- 1834 ),17877,(+/- 1903 ),17856,(+/- 1769 ),19962,(+/- 2088 ),20714,(+/- 1854 ),22704,(+/- 1998 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,8851,(+/- 1394 ),5803,(+/- 1163 ),3756,(+/- 874 ),4877,(+/- 953 ),4727,(+/- 1035 ),5535,(+/- 960 ),6484,(+/- 1120 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,4836,(+/- 1017 ),2207,(+/- 827 ),1022,(+/- 451 ),1133,(+/- 397 ),1195,(+/- 456 ),2204,(+/- 537 ),2104,(+/- 553 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",7886,(+/- 1085 ),1234,(+/- 447 ),1184,(+/- 441 ),1683,(+/- 556 ),996,(+/- 473 ),1336,(+/- 521 ),1604,(+/- 458 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),493,(+/- 17 ),364,(+/- 10 ),317,(+/- 9 ),343,(+/- 10 ),327,(+/- 7 ),351,(+/- 11 ),341,(+/- 10 )
Housing,Gross Rent,Occupied units paying rent,83216,(+/- 4541 ),65687,(+/- 4116 ),73352,(+/- 3853 ),88098,(+/- 3713 ),64923,(+/- 3873 ),94600,(+/- 4628 ),68232,(+/- 4005 )
Housing,Gross Rent,Less than $500,3088,(+/- 1165 ),4851,(+/- 1111 ),13057,(+/- 2064 ),8834,(+/- 1376 ),11779,(+/- 1891 ),12863,(+/- 1899 ),11804,(+/- 2114 )
Housing,Gross Rent,$500 to $999,27878,(+/- 2564 ),37138,(+/- 3230 ),47948,(+/- 3275 ),55364,(+/- 3614 ),35979,(+/- 3189 ),55867,(+/- 3348 ),40907,(+/- 3044 )
Housing,Gross Rent,"$1,000 to $1,499",35186,(+/- 3207 ),18148,(+/- 2340 ),9438,(+/- 1852 ),19521,(+/- 2031 ),14389,(+/- 2134 ),18687,(+/- 2292 ),12937,(+/- 1899 )
Housing,Gross Rent,"$1,500 to $1,999",12096,(+/- 1551 ),4076,(+/- 1274 ),2045,(+/- 778 ),2961,(+/- 978 ),1792,(+/- 660 ),5391,(+/- 1396 ),2116,(+/- 673 )
Housing,Gross Rent,"$2,000 to $2,499",2453,(+/- 889 ),753,(+/- 443 ),655,(+/- 426 ),500,(+/- 353 ),789,(+/- 628 ),1440,(+/- 567 ),294,(+/- 232 )
Housing,Gross Rent,"$2,500 to $2,999",1445,(+/- 592 ),43,(+/- 72 ),91,(+/- 120 ),563,(+/- 501 ),63,(+/- 109 ),155,(+/- 198 ),97,(+/- 112 )
Housing,Gross Rent,"$3,000 or more",1070,(+/- 652 ),678,(+/- 401 ),118,(+/- 152 ),355,(+/- 260 ),132,(+/- 152 ),197,(+/- 202 ),77,(+/- 133 )
Housing,Gross Rent,Median (dollars),1120,(+/- 21 ),896,(+/- 28 ),702,(+/- 18 ),822,(+/- 20 ),790,(+/- 27 ),821,(+/- 17 ),766,(+/- 27 )
Housing,Gross Rent,No rent paid,4105,(+/- 1033 ),6436,(+/- 1408 ),7153,(+/- 1456 ),5336,(+/- 1501 ),7415,(+/- 1596 ),11389,(+/- 1592 ),9074,(+/- 1492 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,290002,(+/- 4670 ),269439,(+/- 4183 ),258490,(+/- 4113 ),273239,(+/- 3548 ),267518,(+/- 3585 ),248721,(+/- 5075 ),270478,(+/- 4699 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",17425,(+/- 2177 ),16844,(+/- 2225 ),19357,(+/- 2331 ),18897,(+/- 2184 ),24748,(+/- 2037 ),34129,(+/- 3563 ),23074,(+/- 2355 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",9495,(+/- 2019 ),13040,(+/- 1843 ),17229,(+/- 1883 ),13989,(+/- 1932 ),16008,(+/- 1805 ),18778,(+/- 2354 ),17853,(+/- 1901 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",20944,(+/- 2903 ),21952,(+/- 2569 ),31917,(+/- 2826 ),29104,(+/- 2829 ),28765,(+/- 2611 ),36402,(+/- 3464 ),34744,(+/- 2424 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",23215,(+/- 2529 ),26506,(+/- 2468 ),32423,(+/- 2698 ),29965,(+/- 3074 ),29643,(+/- 2666 ),33913,(+/- 2677 ),32668,(+/- 2596 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",37012,(+/- 2852 ),37841,(+/- 3224 ),40806,(+/- 2784 ),39263,(+/- 3199 ),37356,(+/- 3196 ),38116,(+/- 3180 ),43497,(+/- 2903 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",57054,(+/- 3591 ),52247,(+/- 3272 ),45299,(+/- 3536 ),51740,(+/- 3152 ),49662,(+/- 3559 ),39654,(+/- 3009 ),47821,(+/- 2898 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",40049,(+/- 2898 ),36414,(+/- 2719 ),29076,(+/- 2564 ),33776,(+/- 2480 ),30912,(+/- 2453 ),21064,(+/- 2224 ),31250,(+/- 2891 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",47814,(+/- 2945 ),38887,(+/- 3039 ),26774,(+/- 2336 ),32123,(+/- 2629 ),30013,(+/- 2705 ),18113,(+/- 2483 ),25479,(+/- 2600 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",17818,(+/- 2247 ),13878,(+/- 1835 ),9048,(+/- 1522 ),12331,(+/- 1655 ),10262,(+/- 1241 ),4803,(+/- 916 ),7754,(+/- 1333 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",19176,(+/- 2176 ),11830,(+/- 1541 ),6561,(+/- 1093 ),12051,(+/- 1319 ),10149,(+/- 1715 ),3749,(+/- 878 ),6338,(+/- 1136 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),64973,(+/- 1671 ),57253,(+/- 1835 ),45042,(+/- 1326 ),51718,(+/- 1182 ),48743,(+/- 2025 ),35296,(+/- 1062 ),43146,(+/- 1523 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),88147,(+/- 2947 ),75061,(+/- 2616 ),61344,(+/- 1772 ),71653,(+/- 1949 ),66232,(+/- 2126 ),50110,(+/- 1826 ),59462,(+/- 1701 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,748249,(+/- 8583 ),682969,(+/- 8579 ),673820,(+/- 6426 ),709003,(+/- 6871 ),692824,(+/- 5581 ),652319,(+/- 12954 ),702004,(+/- 3498 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,682061,(+/- 9907 ),627431,(+/- 9401 ),606980,(+/- 7475 ),633274,(+/- 7337 ),631728,(+/- 6979 ),573007,(+/- 11733 ),620801,(+/- 7257 )
Socioeconomic,Health Insurance Coverage,With private health insurance,552725,(+/- 11834 ),503818,(+/- 10500 ),447890,(+/- 9515 ),476752,(+/- 9675 ),470631,(+/- 10712 ),371649,(+/- 10120 ),418188,(+/- 10544 )
Socioeconomic,Health Insurance Coverage,With public coverage,250200,(+/- 9429 ),220247,(+/- 6597 ),256538,(+/- 7823 ),239310,(+/- 7940 ),251085,(+/- 8228 ),284732,(+/- 9938 ),308523,(+/- 8758 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,66188,(+/- 6099 ),55538,(+/- 4421 ),66840,(+/- 4776 ),75729,(+/- 5129 ),61096,(+/- 5195 ),79312,(+/- 6373 ),81203,(+/- 6578 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,165190,(+/- 4160 ),158120,(+/- 4000 ),150783,(+/- 3169 ),164095,(+/- 3818 ),161821,(+/- 2978 ),148781,(+/- 6035 ),148595,(+/- 2452 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,5644,(+/- 1564 ),4643,(+/- 1367 ),7418,(+/- 1788 ),8297,(+/- 1964 ),6131,(+/- 1412 ),5044,(+/- 1551 ),6526,(+/- 1853 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,6.0,(+/- 0.9 ),9.8,(+/- 1.2 ),10.7,(+/- 1.3 ),8.6,(+/- 1.0 ),11.7,(+/- 1.3 ),18.1,(+/- 1.8 ),12.5,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,10.4,(+/- 1.8 ),15.2,(+/- 2.1 ),19.4,(+/- 2.6 ),15.0,(+/- 2.0 ),18.8,(+/- 2.3 ),30.5,(+/- 3.1 ),23.1,(+/- 2.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,13.6,(+/- 4.5 ),14.5,(+/- 5.6 ),13.4,(+/- 5.3 ),17.9,(+/- 5.6 ),21.3,(+/- 7.7 ),28.9,(+/- 6.1 ),26.9,(+/- 7.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,2.4,(+/- 0.6 ),5.0,(+/- 1.0 ),4.5,(+/- 0.9 ),3.5,(+/- 0.8 ),5.2,(+/- 1.1 ),8.1,(+/- 1.6 ),4.9,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,3.5,(+/- 1.2 ),7.0,(+/- 1.6 ),7.3,(+/- 2.0 ),5.4,(+/- 1.6 ),7.5,(+/- 2.2 ),14.1,(+/- 3.6 ),7.9,(+/- 2.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,4.6,(+/- 3.6 ),6.0,(+/- 4.1 ),2.8,(+/- 2.3 ),5.2,(+/- 3.8 ),8.4,(+/- 5.4 ),4.9,(+/- 4.4 ),5.8,(+/- 4.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",21.4,(+/- 4.7 ),25.0,(+/- 4.5 ),31.9,(+/- 4.1 ),23.7,(+/- 3.7 ),30.8,(+/- 4.0 ),36.1,(+/- 4.0 ),33.7,(+/- 4.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,29.8,(+/- 6.7 ),31.7,(+/- 5.9 ),44.8,(+/- 6.2 ),33.0,(+/- 5.4 ),38.9,(+/- 5.2 ),48.6,(+/- 5.2 ),48.3,(+/- 6.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,42.8,(+/- 14.4 ),33.3,(+/- 17.2 ),42.2,(+/- 17.4 ),57.0,(+/- 14.9 ),47.5,(+/- 15.3 ),56.6,(+/- 10.9 ),59.5,(+/- 14.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,9.7,(+/- 1.0 ),12.7,(+/- 1.1 ),16.1,(+/- 1.2 ),12.7,(+/- 1.0 ),15.5,(+/- 1.2 ),24.4,(+/- 1.7 ),16.9,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,13.4,(+/- 2.7 ),17.8,(+/- 2.5 ),24.3,(+/- 3.0 ),19.7,(+/- 2.5 ),21.8,(+/- 2.4 ),37.5,(+/- 4.0 ),28.2,(+/- 3.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,13.0,(+/- 2.7 ),17.3,(+/- 2.5 ),24.1,(+/- 3.0 ),19.4,(+/- 2.6 ),21.7,(+/- 2.4 ),37.2,(+/- 4.0 ),27.8,(+/- 3.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,17.8,(+/- 4.5 ),18.4,(+/- 3.8 ),24.7,(+/- 4.9 ),25.9,(+/- 4.5 ),24.7,(+/- 4.9 ),38.2,(+/- 5.6 ),31.5,(+/- 5.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,11.3,(+/- 2.7 ),16.9,(+/- 2.5 ),23.9,(+/- 3.4 ),17.0,(+/- 2.6 ),20.7,(+/- 2.8 ),36.8,(+/- 4.4 ),26.6,(+/- 3.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,8.7,(+/- 0.8 ),11.2,(+/- 0.9 ),13.8,(+/- 1.1 ),10.6,(+/- 0.8 ),13.6,(+/- 1.1 ),20.5,(+/- 1.3 ),13.9,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,6.3,(+/- 1.3 ),6.6,(+/- 1.1 ),7.9,(+/- 1.1 ),7.4,(+/- 1.2 ),10.4,(+/- 1.7 ),13.8,(+/- 1.5 ),8.7,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,7.3,(+/- 1.2 ),10.6,(+/- 1.3 ),12.1,(+/- 1.3 ),10.3,(+/- 1.2 ),12.9,(+/- 1.4 ),21.1,(+/- 2.0 ),14.3,(+/- 1.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,19.0,(+/- 1.9 ),23.0,(+/- 2.0 ),34.1,(+/- 2.8 ),23.1,(+/- 1.9 ),28.8,(+/- 2.2 ),35.5,(+/- 2.3 ),28.2,(+/- 2.3 )
Education,School Enrollment,Population 3 years and over enrolled in school,180257,(+/- 6375 ),169213,(+/- 5723 ),167782,(+/- 4905 ),177558,(+/- 5149 ),171189,(+/- 4657 ),179496,(+/- 7824 ),163791,(+/- 4543 )
Education,School Enrollment,"Nursery school, preschool",13703,(+/- 2207 ),11022,(+/- 1643 ),6688,(+/- 1141 ),8646,(+/- 1456 ),6469,(+/- 1143 ),8837,(+/- 1510 ),8249,(+/- 1558 )
Education,School Enrollment,Kindergarten,9461,(+/- 1845 ),10618,(+/- 1840 ),9499,(+/- 1544 ),11117,(+/- 1893 ),9243,(+/- 1958 ),11259,(+/- 2708 ),9566,(+/- 1796 )
Education,School Enrollment,Elementary school (grades 1-8),72932,(+/- 3021 ),70646,(+/- 3513 ),70062,(+/- 2917 ),73660,(+/- 2889 ),76381,(+/- 2884 ),69139,(+/- 4063 ),69375,(+/- 2948 )
Education,School Enrollment,High school (grades 9-12),39518,(+/- 3095 ),38740,(+/- 2662 ),31568,(+/- 2331 ),38826,(+/- 2567 ),37976,(+/- 2768 ),29327,(+/- 2995 ),37212,(+/- 2515 )
Education,School Enrollment,College or graduate school,44643,(+/- 4030 ),38187,(+/- 4081 ),49965,(+/- 3966 ),45309,(+/- 3744 ),41120,(+/- 3477 ),60934,(+/- 4719 ),39389,(+/- 3455 )
Education,Educational Attainment,Population 25 years and over,532326,(+/- 5556 ),478199,(+/- 5892 ),463546,(+/- 5321 ),486060,(+/- 4430 ),480516,(+/- 3964 ),442432,(+/- 8114 ),505397,(+/- 3204 )
Education,Educational Attainment,Less than 9th grade,11133,(+/- 2129 ),18347,(+/- 2175 ),24631,(+/- 2524 ),22703,(+/- 2662 ),21277,(+/- 2297 ),25363,(+/- 2500 ),25463,(+/- 3145 )
Education,Educational Attainment,"9th to 12th grade, no diploma",29906,(+/- 3347 ),30743,(+/- 3231 ),51815,(+/- 5054 ),41794,(+/- 3327 ),43308,(+/- 3512 ),55789,(+/- 3943 ),51382,(+/- 3991 )
Education,Educational Attainment,High school graduate (includes equivalency),114222,(+/- 6057 ),128715,(+/- 5419 ),143838,(+/- 6571 ),122935,(+/- 4667 ),158087,(+/- 6466 ),150913,(+/- 6684 ),162959,(+/- 5768 )
Education,Educational Attainment,"Some college, no degree",115023,(+/- 5097 ),97250,(+/- 5436 ),95698,(+/- 5987 ),102396,(+/- 4938 ),99308,(+/- 5758 ),86922,(+/- 5599 ),116501,(+/- 5580 )
Education,Educational Attainment,Associate's degree,49844,(+/- 4498 ),43162,(+/- 3706 ),45641,(+/- 3184 ),47123,(+/- 3648 ),47807,(+/- 3630 ),36717,(+/- 3065 ),47255,(+/- 3248 )
Education,Educational Attainment,Bachelor's degree,133870,(+/- 5993 ),97987,(+/- 4863 ),65059,(+/- 3539 ),95526,(+/- 4381 ),74267,(+/- 3996 ),57069,(+/- 3847 ),67308,(+/- 4552 )
