Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE
Workers,Employment Status,Armed Forces,703,(+/- 465 ),9818,(+/- 1911 ),1172,(+/- 682 ),362,(+/- 230 ),2969,(+/- 1011 ),12655,(+/- 1852 ),789,(+/- 428 ),661,(+/- 400 ),412,(+/- 239 ),15949,(+/- 1810 )
Workers,Employment Status,Not in labor force,195671,(+/- 6852 ),210387,(+/- 5729 ),234932,(+/- 6158 ),202444,(+/- 6336 ),231623,(+/- 5459 ),243435,(+/- 6257 ),180339,(+/- 7105 ),193885,(+/- 6760 ),191370,(+/- 6774 ),215673,(+/- 6889 )
Workers,Employment Status,Civilian labor force,387582,(+/- 7960 ),376012,(+/- 7898 ),338247,(+/- 5804 ),328233,(+/- 6248 ),337226,(+/- 5374 ),318441,(+/- 7292 ),476764,(+/- 9854 ),376308,(+/- 8132 ),407802,(+/- 8557 ),349660,(+/- 9503 )
Workers,Employment Status,Unemployment Rate,5.0,(+/- 0.6 ),5.1,(+/- 0.7 ),5.8,(+/- 0.7 ),6.5,(+/- 0.9 ),5.7,(+/- 0.7 ),6.3,(+/- 0.7 ),4.2,(+/- 0.5 ),4.5,(+/- 0.7 ),4.8,(+/- 0.7 ),7.1,(+/- 0.8 )
Workers,Commuting to Work,Workers 16 years and over,359940,(+/- 7855 ),358420,(+/- 7850 ),311647,(+/- 5841 ),300462,(+/- 6466 ),314200,(+/- 5102 ),303633,(+/- 6536 ),448416,(+/- 9948 ),350725,(+/- 8268 ),379407,(+/- 8593 ),332956,(+/- 9630 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",270036,(+/- 8677 ),264029,(+/- 6326 ),249883,(+/- 6537 ),231004,(+/- 6476 ),238598,(+/- 5758 ),226499,(+/- 5754 ),236292,(+/- 8361 ),264670,(+/- 7309 ),252142,(+/- 7228 ),259719,(+/- 8408 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",36531,(+/- 4162 ),41380,(+/- 3137 ),26092,(+/- 2664 ),41005,(+/- 3946 ),32068,(+/- 3448 ),24857,(+/- 2784 ),34322,(+/- 4175 ),34884,(+/- 3665 ),36644,(+/- 3567 ),34012,(+/- 3670 )
Workers,Commuting to Work,Public transportation (excluding taxicab),19055,(+/- 2327 ),17420,(+/- 2372 ),4750,(+/- 1207 ),2200,(+/- 892 ),7497,(+/- 1591 ),17688,(+/- 1902 ),80447,(+/- 5244 ),13650,(+/- 1940 ),47548,(+/- 4149 ),9877,(+/- 1619 )
Workers,Commuting to Work,Walked,6618,(+/- 1169 ),10503,(+/- 2172 ),7466,(+/- 1747 ),7839,(+/- 1757 ),13281,(+/- 2025 ),9329,(+/- 1246 ),43077,(+/- 4353 ),8742,(+/- 1769 ),14420,(+/- 2370 ),8135,(+/- 1558 )
Workers,Commuting to Work,Other means,5201,(+/- 1310 ),7059,(+/- 1466 ),4221,(+/- 892 ),5575,(+/- 1727 ),5833,(+/- 1207 ),6302,(+/- 1301 ),20114,(+/- 2290 ),5568,(+/- 1247 ),6928,(+/- 1384 ),5701,(+/- 1449 )
Workers,Commuting to Work,Worked at home,22499,(+/- 2404 ),18029,(+/- 2320 ),19235,(+/- 2167 ),12839,(+/- 2205 ),16923,(+/- 2504 ),18958,(+/- 2202 ),34164,(+/- 2670 ),23211,(+/- 2465 ),21725,(+/- 2401 ),15512,(+/- 2189 )
Workers,Commuting to Work,Mean travel time to work (minutes),30.1,(+/- 0.7 ),28.1,(+/- 0.7 ),28.0,(+/- 0.8 ),19.9,(+/- 0.6 ),21.5,(+/- 0.7 ),29.3,(+/- 0.8 ),28.2,(+/- 0.5 ),32.6,(+/- 0.8 ),30.3,(+/- 0.7 ),28.6,(+/- 0.8 )
Workers,Occupation,Civilian employed population 16 years and over,368250,(+/- 7896 ),356908,(+/- 7689 ),318754,(+/- 5961 ),306865,(+/- 6423 ),317871,(+/- 5666 ),298399,(+/- 6888 ),456545,(+/- 9628 ),359411,(+/- 8084 ),388268,(+/- 8372 ),324870,(+/- 9409 )
Workers,Occupation,"Management, business, science, and arts occupations",178047,(+/- 5441 ),128604,(+/- 5088 ),110102,(+/- 4932 ),88052,(+/- 4486 ),113475,(+/- 4780 ),108986,(+/- 4966 ),269391,(+/- 7850 ),139497,(+/- 5764 ),168614,(+/- 5861 ),113155,(+/- 5666 )
Workers,Occupation,Service occupations,52065,(+/- 3786 ),65104,(+/- 5020 ),58337,(+/- 4009 ),54054,(+/- 3923 ),63363,(+/- 3276 ),57490,(+/- 4104 ),61149,(+/- 4225 ),56594,(+/- 4109 ),71892,(+/- 4845 ),57016,(+/- 4003 )
Workers,Occupation,Sales and office occupations,73567,(+/- 4353 ),83937,(+/- 4834 ),70874,(+/- 3788 ),60122,(+/- 4630 ),75623,(+/- 3589 ),66336,(+/- 3897 ),80485,(+/- 4655 ),78811,(+/- 4601 ),75915,(+/- 4280 ),80258,(+/- 5329 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30473,(+/- 2994 ),36396,(+/- 3034 ),36214,(+/- 2882 ),59376,(+/- 3672 ),31575,(+/- 2853 ),31855,(+/- 2899 ),17682,(+/- 2383 ),36416,(+/- 3447 ),27824,(+/- 3044 ),33001,(+/- 2850 )
Workers,Occupation,"Production, transportation, and material moving occupations",34098,(+/- 3003 ),42867,(+/- 3616 ),43227,(+/- 3500 ),45261,(+/- 3276 ),33835,(+/- 2995 ),33732,(+/- 3037 ),27838,(+/- 3421 ),48093,(+/- 3458 ),44023,(+/- 4466 ),41440,(+/- 3897 )
Workers,Industry,Civilian employed population 16 years and over,368250,(+/- 7896 ),356908,(+/- 7689 ),318754,(+/- 5961 ),306865,(+/- 6423 ),317871,(+/- 5666 ),298399,(+/- 6888 ),456545,(+/- 9628 ),359411,(+/- 8084 ),388268,(+/- 8372 ),324870,(+/- 9409 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",5555,(+/- 1795 ),3391,(+/- 1083 ),7374,(+/- 1730 ),46576,(+/- 3951 ),8672,(+/- 1273 ),6524,(+/- 1741 ),2474,(+/- 1110 ),9159,(+/- 1866 ),2377,(+/- 1007 ),3310,(+/- 931 )
Workers,Industry,Construction,26046,(+/- 3214 ),27653,(+/- 2695 ),25527,(+/- 2424 ),18179,(+/- 2271 ),20707,(+/- 2011 ),19091,(+/- 2186 ),17859,(+/- 2484 ),26923,(+/- 2942 ),19582,(+/- 2676 ),24835,(+/- 2996 )
Workers,Industry,Manufacturing,51868,(+/- 3308 ),51145,(+/- 3601 ),34064,(+/- 2633 ),27329,(+/- 2594 ),24523,(+/- 2042 ),26071,(+/- 2446 ),34805,(+/- 3374 ),42804,(+/- 3173 ),38648,(+/- 3137 ),26977,(+/- 3206 )
Workers,Industry,Wholesale trade,7614,(+/- 1500 ),6834,(+/- 1359 ),8944,(+/- 1463 ),9001,(+/- 1659 ),9406,(+/- 2039 ),6614,(+/- 1321 ),12282,(+/- 1919 ),11962,(+/- 1901 ),12766,(+/- 2054 ),8822,(+/- 1336 )
Workers,Industry,Retail trade,42119,(+/- 3138 ),45704,(+/- 3633 ),34435,(+/- 3277 ),33065,(+/- 3256 ),36183,(+/- 2920 ),36213,(+/- 2878 ),55513,(+/- 4106 ),44620,(+/- 3490 ),44157,(+/- 3117 ),39829,(+/- 3962 )
Workers,Industry,"Transportation and warehousing, and utilities",13843,(+/- 1945 ),14172,(+/- 1891 ),24036,(+/- 2564 ),17797,(+/- 2555 ),13612,(+/- 1984 ),17336,(+/- 1960 ),15573,(+/- 1817 ),23646,(+/- 2508 ),27198,(+/- 2855 ),20260,(+/- 2702 )
Workers,Industry,Information,11484,(+/- 1726 ),8040,(+/- 1418 ),5565,(+/- 1215 ),4550,(+/- 1337 ),4889,(+/- 1125 ),4831,(+/- 896 ),17235,(+/- 2445 ),6842,(+/- 1331 ),10905,(+/- 1886 ),4670,(+/- 1100 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",19978,(+/- 2292 ),20528,(+/- 2379 ),19008,(+/- 2273 ),9078,(+/- 1470 ),19487,(+/- 2168 ),15062,(+/- 2052 ),30603,(+/- 3224 ),19457,(+/- 2447 ),22727,(+/- 2141 ),16533,(+/- 2167 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",68990,(+/- 3514 ),37819,(+/- 3810 ),33524,(+/- 2853 ),25475,(+/- 2673 ),25393,(+/- 2433 ),26772,(+/- 3000 ),91049,(+/- 4033 ),43146,(+/- 4001 ),64371,(+/- 4140 ),29791,(+/- 2390 )
Workers,Industry,"Educational services, and health care and social assistance",67009,(+/- 4796 ),74120,(+/- 3982 ),68723,(+/- 4212 ),64107,(+/- 3561 ),90383,(+/- 5004 ),68444,(+/- 3670 ),99288,(+/- 4663 ),70383,(+/- 4627 ),74822,(+/- 4876 ),71517,(+/- 4369 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",24548,(+/- 2684 ),37180,(+/- 3853 ),28300,(+/- 2476 ),24483,(+/- 2713 ),32096,(+/- 3014 ),30123,(+/- 3425 ),46351,(+/- 3944 ),30392,(+/- 2903 ),42315,(+/- 3891 ),26710,(+/- 2928 )
Workers,Industry,"Other services, except public administration",15893,(+/- 1933 ),17860,(+/- 2319 ),15512,(+/- 1879 ),11412,(+/- 1831 ),15665,(+/- 2209 ),14632,(+/- 2261 ),20679,(+/- 2701 ),13897,(+/- 2074 ),18577,(+/- 2649 ),13442,(+/- 2042 )
Workers,Industry,Public administration,13303,(+/- 1672 ),12462,(+/- 1741 ),13742,(+/- 2220 ),15813,(+/- 1761 ),16855,(+/- 2051 ),26686,(+/- 2381 ),12834,(+/- 1659 ),16180,(+/- 2095 ),9823,(+/- 1649 ),38174,(+/- 2825 )
Workers,Class of Worker,Civilian employed population 16 years and over,368250,(+/- 7896 ),356908,(+/- 7689 ),318754,(+/- 5961 ),306865,(+/- 6423 ),317871,(+/- 5666 ),298399,(+/- 6888 ),456545,(+/- 9628 ),359411,(+/- 8084 ),388268,(+/- 8372 ),324870,(+/- 9409 )
Workers,Class of Worker,Private wage and salary workers,301952,(+/- 7694 ),287723,(+/- 7649 ),251248,(+/- 5909 ),237763,(+/- 6584 ),241110,(+/- 5943 ),210047,(+/- 7285 ),365868,(+/- 9820 ),287764,(+/- 7971 ),322910,(+/- 8214 ),230842,(+/- 8342 )
Workers,Class of Worker,Government workers,44743,(+/- 3182 ),48371,(+/- 3417 ),47943,(+/- 3568 ),52183,(+/- 4018 ),58346,(+/- 3550 ),69091,(+/- 3706 ),57374,(+/- 3338 ),52465,(+/- 3537 ),43184,(+/- 2934 ),77893,(+/- 4154 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,21327,(+/- 2210 ),20031,(+/- 2203 ),19145,(+/- 2184 ),16506,(+/- 1952 ),17914,(+/- 2193 ),18779,(+/- 2318 ),32993,(+/- 3248 ),18374,(+/- 2380 ),21736,(+/- 2361 ),15585,(+/- 2126 )
Workers,Class of Worker,Unpaid family workers,228,(+/- 185 ),783,(+/- 486 ),418,(+/- 248 ),413,(+/- 277 ),501,(+/- 284 ),482,(+/- 465 ),310,(+/- 239 ),808,(+/- 421 ),438,(+/- 315 ),550,(+/- 355 )
Housing,Housing Occupancy,Total housing units,294552,(+/- 4664 ),308952,(+/- 3897 ),294395,(+/- 1892 ),264425,(+/- 1298 ),306397,(+/- 1513 ),319458,(+/- 3999 ),366008,(+/- 6362 ),285222,(+/- 4042 ),297767,(+/- 4550 ),288626,(+/- 4253 )
Housing,Housing Occupancy,Occupied housing units,270730,(+/- 4492 ),278780,(+/- 4496 ),267226,(+/- 2599 ),239010,(+/- 3163 ),274826,(+/- 3192 ),278664,(+/- 4152 ),344997,(+/- 5634 ),261473,(+/- 4123 ),280742,(+/- 4001 ),271628,(+/- 5215 )
Housing,Housing Occupancy,Vacant housing units,23822,(+/- 3167 ),30172,(+/- 3169 ),27169,(+/- 2713 ),25415,(+/- 2630 ),31571,(+/- 3016 ),40794,(+/- 3776 ),21011,(+/- 3400 ),23749,(+/- 2672 ),17025,(+/- 2593 ),16998,(+/- 2464 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.2,(+/- 0.5 ),1.0,(+/- 0.5 ),1.5,(+/- 0.7 ),1.4,(+/- 0.5 ),1.7,(+/- 0.6 ),2.3,(+/- 0.7 ),0.9,(+/- 0.5 ),1.0,(+/- 0.4 ),1.7,(+/- 0.7 ),1.5,(+/- 0.6 )
Housing,Housing Occupancy,Rental vacancy rate,3.5,(+/- 1.4 ),3.1,(+/- 1.1 ),2.8,(+/- 1.0 ),3.1,(+/- 1.2 ),4.3,(+/- 1.4 ),3.7,(+/- 1.1 ),2.1,(+/- 0.9 ),4.3,(+/- 1.5 ),3.1,(+/- 1.0 ),3.2,(+/- 1.2 )
Housing,Housing Tenure,Occupied housing units,270730,(+/- 4492 ),278780,(+/- 4496 ),267226,(+/- 2599 ),239010,(+/- 3163 ),274826,(+/- 3192 ),278664,(+/- 4152 ),344997,(+/- 5634 ),261473,(+/- 4123 ),280742,(+/- 4001 ),271628,(+/- 5215 )
Housing,Housing Tenure,Owner-occupied,192514,(+/- 4343 ),167831,(+/- 4373 ),183810,(+/- 4120 ),157873,(+/- 3505 ),174859,(+/- 4032 ),180959,(+/- 4005 ),173445,(+/- 4828 ),189451,(+/- 5216 ),151882,(+/- 4092 ),156696,(+/- 4309 )
Housing,Housing Tenure,Renter-occupied,78216,(+/- 3808 ),110949,(+/- 4243 ),83416,(+/- 3704 ),81137,(+/- 3311 ),99967,(+/- 4110 ),97705,(+/- 4132 ),171552,(+/- 6336 ),72022,(+/- 4390 ),128860,(+/- 4699 ),114932,(+/- 4275 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.79,(+/- 0.05 ),2.59,(+/- 0.05 ),2.75,(+/- 0.04 ),2.93,(+/- 0.07 ),2.51,(+/- 0.04 ),2.52,(+/- 0.04 ),2.40,(+/- 0.04 ),2.86,(+/- 0.05 ),2.69,(+/- 0.06 ),2.70,(+/- 0.05 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.46,(+/- 0.09 ),2.52,(+/- 0.08 ),2.52,(+/- 0.07 ),2.99,(+/- 0.12 ),2.41,(+/- 0.07 ),2.30,(+/- 0.08 ),1.92,(+/- 0.05 ),2.64,(+/- 0.11 ),2.47,(+/- 0.07 ),2.56,(+/- 0.07 )
Housing,Year Householder Moved into Unit,Occupied housing units,270730,(+/- 4492 ),278780,(+/- 4496 ),267226,(+/- 2599 ),239010,(+/- 3163 ),274826,(+/- 3192 ),278664,(+/- 4152 ),344997,(+/- 5634 ),261473,(+/- 4123 ),280742,(+/- 4001 ),271628,(+/- 5215 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,54585,(+/- 3064 ),61324,(+/- 3852 ),53369,(+/- 2983 ),47892,(+/- 3119 ),63782,(+/- 3660 ),57830,(+/- 3270 ),93580,(+/- 5133 ),51005,(+/- 3374 ),69286,(+/- 4241 ),70912,(+/- 4504 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,77208,(+/- 3438 ),85770,(+/- 3837 ),76421,(+/- 3716 ),65256,(+/- 3461 ),71632,(+/- 3046 ),76281,(+/- 3600 ),103155,(+/- 4550 ),69275,(+/- 3030 ),85512,(+/- 3672 ),80019,(+/- 3876 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,76591,(+/- 3489 ),75211,(+/- 3232 ),72092,(+/- 3113 ),67707,(+/- 3580 ),69617,(+/- 3475 ),73610,(+/- 3765 ),77602,(+/- 4512 ),81806,(+/- 3533 ),64220,(+/- 3851 ),64737,(+/- 4180 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,36133,(+/- 2482 ),32965,(+/- 2376 ),35836,(+/- 2666 ),29849,(+/- 2369 ),36113,(+/- 2359 ),37195,(+/- 2356 ),37402,(+/- 2481 ),33567,(+/- 2340 ),32443,(+/- 2346 ),28805,(+/- 1723 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,15179,(+/- 1727 ),13054,(+/- 1490 ),14317,(+/- 1817 ),14716,(+/- 1919 ),16400,(+/- 1637 ),18843,(+/- 1888 ),17478,(+/- 1660 ),14888,(+/- 1604 ),13706,(+/- 1648 ),14341,(+/- 1974 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,11034,(+/- 1521 ),10456,(+/- 1335 ),15191,(+/- 1376 ),13590,(+/- 1485 ),17282,(+/- 1502 ),14905,(+/- 1551 ),15780,(+/- 1784 ),10932,(+/- 1396 ),15575,(+/- 1856 ),12814,(+/- 1342 )
Housing,Value,Owner-occupied units,192514,(+/- 4343 ),167831,(+/- 4373 ),183810,(+/- 4120 ),157873,(+/- 3505 ),174859,(+/- 4032 ),180959,(+/- 4005 ),173445,(+/- 4828 ),189451,(+/- 5216 ),151882,(+/- 4092 ),156696,(+/- 4309 )
Housing,Value,"Less than $50,000",4085,(+/- 885 ),7012,(+/- 1405 ),7661,(+/- 1332 ),13309,(+/- 1734 ),8581,(+/- 1444 ),7844,(+/- 1109 ),496,(+/- 286 ),7650,(+/- 1224 ),3620,(+/- 951 ),8482,(+/- 1415 )
Housing,Value,"$50,000 to $99,999",2405,(+/- 550 ),2231,(+/- 682 ),7647,(+/- 1338 ),14421,(+/- 1359 ),14060,(+/- 1612 ),9558,(+/- 1379 ),635,(+/- 357 ),3828,(+/- 1002 ),1485,(+/- 473 ),3874,(+/- 969 )
Housing,Value,"$100,000 to $149,999",5249,(+/- 1082 ),6319,(+/- 1319 ),15919,(+/- 1990 ),27655,(+/- 2513 ),27822,(+/- 2201 ),17414,(+/- 2117 ),1229,(+/- 544 ),6961,(+/- 1418 ),3048,(+/- 700 ),10135,(+/- 1394 )
Housing,Value,"$150,000 to $199,999",10258,(+/- 1317 ),9949,(+/- 1327 ),22707,(+/- 2044 ),33979,(+/- 2510 ),37975,(+/- 2392 ),24344,(+/- 2062 ),2784,(+/- 753 ),13979,(+/- 1799 ),6713,(+/- 1146 ),19871,(+/- 2163 )
Housing,Value,"$200,000 to $299,999",30892,(+/- 2417 ),43828,(+/- 2687 ),59581,(+/- 3362 ),38317,(+/- 3009 ),47007,(+/- 3099 ),48912,(+/- 2951 ),11853,(+/- 1518 ),45073,(+/- 2843 ),24459,(+/- 1970 ),61359,(+/- 3132 )
Housing,Value,"$300,000 to $499,999",65386,(+/- 3030 ),71087,(+/- 3518 ),54087,(+/- 2386 ),24694,(+/- 2300 ),29660,(+/- 2639 ),45912,(+/- 2071 ),52853,(+/- 3644 ),64137,(+/- 3143 ),57460,(+/- 3154 ),41764,(+/- 2823 )
Housing,Value,"$500,000 to $999,999",63998,(+/- 3256 ),24599,(+/- 1868 ),14610,(+/- 1553 ),4657,(+/- 950 ),8664,(+/- 1409 ),23292,(+/- 1945 ),83275,(+/- 3084 ),42363,(+/- 3050 ),39571,(+/- 2293 ),9870,(+/- 1312 )
Housing,Value,"$1,000,000 or more",10241,(+/- 1263 ),2806,(+/- 558 ),1598,(+/- 513 ),841,(+/- 357 ),1090,(+/- 489 ),3683,(+/- 833 ),20320,(+/- 1625 ),5460,(+/- 908 ),15526,(+/- 1455 ),1341,(+/- 501 )
Housing,Value,Median (dollars),430200,(+/- 8157 ),332300,(+/- 4970 ),264700,(+/- 4593 ),182500,(+/- 4778 ),198500,(+/- 3898 ),263200,(+/- 4630 ),575300,(+/- 10357 ),342400,(+/- 7510 ),400800,(+/- 9841 ),256500,(+/- 4455 )
Housing,Mortgage Status,Owner-occupied units,192514,(+/- 4343 ),167831,(+/- 4373 ),183810,(+/- 4120 ),157873,(+/- 3505 ),174859,(+/- 4032 ),180959,(+/- 4005 ),173445,(+/- 4828 ),189451,(+/- 5216 ),151882,(+/- 4092 ),156696,(+/- 4309 )
Housing,Mortgage Status,Housing units with a mortgage,143404,(+/- 4227 ),117621,(+/- 4193 ),125446,(+/- 3914 ),97375,(+/- 3841 ),108395,(+/- 3829 ),119986,(+/- 3651 ),122925,(+/- 4759 ),141264,(+/- 5064 ),108016,(+/- 3579 ),108882,(+/- 4064 )
Housing,Mortgage Status,Housing units without a mortgage,49110,(+/- 2932 ),50210,(+/- 2764 ),58364,(+/- 2485 ),60498,(+/- 2824 ),66464,(+/- 3596 ),60973,(+/- 2481 ),50520,(+/- 2831 ),48187,(+/- 3051 ),43866,(+/- 2373 ),47814,(+/- 2728 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,143404,(+/- 4227 ),117621,(+/- 4193 ),125446,(+/- 3914 ),97375,(+/- 3841 ),108395,(+/- 3829 ),119986,(+/- 3651 ),122925,(+/- 4759 ),141264,(+/- 5064 ),108016,(+/- 3579 ),108882,(+/- 4064 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,875,(+/- 550 ),720,(+/- 412 ),1058,(+/- 416 ),2885,(+/- 958 ),1588,(+/- 452 ),1108,(+/- 417 ),548,(+/- 361 ),1390,(+/- 625 ),299,(+/- 240 ),817,(+/- 354 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,6372,(+/- 1292 ),8659,(+/- 1456 ),18424,(+/- 2195 ),22062,(+/- 2296 ),27394,(+/- 2440 ),17626,(+/- 1971 ),2882,(+/- 779 ),8251,(+/- 1300 ),5513,(+/- 892 ),10174,(+/- 1573 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",23393,(+/- 2028 ),27118,(+/- 2078 ),43355,(+/- 2938 ),40199,(+/- 3169 ),44968,(+/- 2977 ),36202,(+/- 2445 ),13164,(+/- 1702 ),27209,(+/- 2510 ),17684,(+/- 2058 ),31012,(+/- 2597 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",33764,(+/- 2238 ),39224,(+/- 2595 ),34868,(+/- 2518 ),21133,(+/- 2033 ),20306,(+/- 2050 ),32481,(+/- 2536 ),25295,(+/- 2134 ),38109,(+/- 3343 ),28021,(+/- 2436 ),38200,(+/- 3033 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",30170,(+/- 2292 ),22687,(+/- 1904 ),15905,(+/- 1725 ),6848,(+/- 1100 ),7277,(+/- 1328 ),17138,(+/- 1736 ),28528,(+/- 2532 ),26856,(+/- 2167 ),21813,(+/- 2005 ),18199,(+/- 1860 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",21826,(+/- 1993 ),11166,(+/- 1765 ),6431,(+/- 958 ),2772,(+/- 856 ),3659,(+/- 923 ),7608,(+/- 1176 ),21461,(+/- 2254 ),18736,(+/- 1811 ),14719,(+/- 1789 ),5967,(+/- 1098 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",27004,(+/- 2167 ),8047,(+/- 1210 ),5405,(+/- 1008 ),1476,(+/- 445 ),3203,(+/- 754 ),7823,(+/- 1143 ),31047,(+/- 2508 ),20713,(+/- 2066 ),19967,(+/- 1797 ),4513,(+/- 951 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),2121,(+/- 36 ),1778,(+/- 31 ),1499,(+/- 27 ),1280,(+/- 30 ),1263,(+/- 28 ),1570,(+/- 27 ),2343,(+/- 41 ),1943,(+/- 34 ),2057,(+/- 53 ),1653,(+/- 29 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,49110,(+/- 2932 ),50210,(+/- 2764 ),58364,(+/- 2485 ),60498,(+/- 2824 ),66464,(+/- 3596 ),60973,(+/- 2481 ),50520,(+/- 2831 ),48187,(+/- 3051 ),43866,(+/- 2373 ),47814,(+/- 2728 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,3531,(+/- 769 ),2889,(+/- 964 ),6691,(+/- 1112 ),10240,(+/- 1572 ),11579,(+/- 1460 ),7888,(+/- 1188 ),1254,(+/- 585 ),4072,(+/- 941 ),1667,(+/- 520 ),3677,(+/- 800 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,4804,(+/- 1008 ),9604,(+/- 1279 ),14718,(+/- 1725 ),19502,(+/- 2094 ),17860,(+/- 1681 ),12982,(+/- 1341 ),2744,(+/- 649 ),5850,(+/- 1102 ),3135,(+/- 883 ),7775,(+/- 1296 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,14263,(+/- 1932 ),19818,(+/- 1819 ),22684,(+/- 1963 ),20729,(+/- 2247 ),23761,(+/- 2259 ),21410,(+/- 1612 ),8633,(+/- 1412 ),15770,(+/- 1910 ),11677,(+/- 1566 ),17021,(+/- 1832 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,12122,(+/- 1621 ),11659,(+/- 1527 ),9531,(+/- 1314 ),7771,(+/- 1198 ),8732,(+/- 1189 ),12177,(+/- 1479 ),14972,(+/- 1560 ),11630,(+/- 1504 ),11865,(+/- 1468 ),11166,(+/- 1490 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,7327,(+/- 1220 ),4438,(+/- 845 ),3432,(+/- 1009 ),1388,(+/- 446 ),2558,(+/- 764 ),3759,(+/- 808 ),9338,(+/- 1576 ),5539,(+/- 950 ),7492,(+/- 1089 ),5417,(+/- 1057 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",7063,(+/- 1155 ),1802,(+/- 462 ),1308,(+/- 403 ),868,(+/- 396 ),1974,(+/- 575 ),2757,(+/- 711 ),13579,(+/- 1888 ),5326,(+/- 876 ),8030,(+/- 1241 ),2758,(+/- 602 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),633,(+/- 23 ),529,(+/- 14 ),468,(+/- 14 ),405,(+/- 16 ),429,(+/- 13 ),480,(+/- 14 ),767,(+/- 22 ),579,(+/- 20 ),685,(+/- 23 ),550,(+/- 15 )
Housing,Gross Rent,Occupied units paying rent,75211,(+/- 3858 ),106852,(+/- 4338 ),79589,(+/- 3741 ),73171,(+/- 3134 ),96156,(+/- 4007 ),94265,(+/- 4079 ),168079,(+/- 6247 ),68270,(+/- 4169 ),126376,(+/- 4642 ),111564,(+/- 4300 )
Housing,Gross Rent,Less than $500,3798,(+/- 1065 ),8242,(+/- 1388 ),6974,(+/- 1280 ),11168,(+/- 1814 ),9403,(+/- 1170 ),8680,(+/- 1385 ),9168,(+/- 1891 ),5432,(+/- 1246 ),7509,(+/- 1462 ),4466,(+/- 1118 )
Housing,Gross Rent,$500 to $999,15975,(+/- 2194 ),31983,(+/- 2636 ),33719,(+/- 2622 ),43251,(+/- 2954 ),57457,(+/- 3458 ),36385,(+/- 2894 ),27082,(+/- 2955 ),21080,(+/- 2711 ),24249,(+/- 2737 ),37519,(+/- 2843 )
Housing,Gross Rent,"$1,000 to $1,499",19705,(+/- 2403 ),40002,(+/- 2761 ),26538,(+/- 2329 ),14952,(+/- 2045 ),20470,(+/- 2136 ),32051,(+/- 2829 ),56056,(+/- 3772 ),21327,(+/- 2980 ),45405,(+/- 3201 ),44113,(+/- 3285 )
Housing,Gross Rent,"$1,500 to $1,999",21112,(+/- 2325 ),17783,(+/- 2106 ),9317,(+/- 1745 ),2542,(+/- 758 ),6386,(+/- 1477 ),12867,(+/- 2044 ),43058,(+/- 3696 ),11458,(+/- 1992 ),30154,(+/- 3069 ),19678,(+/- 2220 )
Housing,Gross Rent,"$2,000 to $2,499",8700,(+/- 1474 ),6124,(+/- 1333 ),1507,(+/- 729 ),1068,(+/- 712 ),1230,(+/- 467 ),2841,(+/- 929 ),17026,(+/- 2266 ),5694,(+/- 1501 ),11499,(+/- 1668 ),4114,(+/- 1257 )
