Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE,District 28 Estimate,District 28 MOE,District 29 Estimate,District 29 MOE,District 30 Estimate,District 30 MOE,District 31 Estimate,District 31 MOE,District 32 Estimate,District 32 MOE,District 33 Estimate,District 33 MOE,District 34 Estimate,District 34 MOE,District 35 Estimate,District 35 MOE,District 36 Estimate,District 36 MOE
People,Ancestry,West Indian (excluding Hispanic origin groups),1443,(+/- 1067 ),4173,(+/- 1673 ),1595,(+/- 919 ),812,(+/- 457 ),1185,(+/- 588 ),2414,(+/- 909 ),4546,(+/- 2785 ),5831,(+/- 3245 ),3642,(+/- 1520 ),2661,(+/- 1453 ),1878,(+/- 1165 ),1525,(+/- 809 ),1746,(+/- 774 ),1754,(+/- 978 ),259,(+/- 278 ),420,(+/- 457 ),629,(+/- 549 ),3139,(+/- 1255 ),1755,(+/- 746 ),1983,(+/- 1166 ),1129,(+/- 822 ),5643,(+/- 2340 ),964,(+/- 551 ),2837,(+/- 1057 ),2549,(+/- 939 ),2369,(+/- 1349 ),843,(+/- 434 ),117,(+/- 129 ),787,(+/- 470 ),1040,(+/- 955 ),3765,(+/- 1615 ),1866,(+/- 1106 ),1831,(+/- 1607 ),167,(+/- 200 ),2264,(+/- 1129 ),854,(+/- 545 )
People,Veteran Status,Civilian population 18 years and over,541407,(+/- 3203 ),585490,(+/- 18978 ),621002,(+/- 4402 ),556166,(+/- 4413 ),563525,(+/- 8483 ),570859,(+/- 10654 ),574588,(+/- 19221 ),612186,(+/- 8049 ),582804,(+/- 16291 ),615508,(+/- 15500 ),562075,(+/- 4508 ),578099,(+/- 11208 ),526034,(+/- 4255 ),566387,(+/- 6832 ),529370,(+/- 9195 ),515182,(+/- 5622 ),583657,(+/- 8353 ),573460,(+/- 15372 ),547263,(+/- 5112 ),582432,(+/- 14676 ),637742,(+/- 13567 ),638661,(+/- 12798 ),553385,(+/- 13293 ),606633,(+/- 12248 ),570216,(+/- 11821 ),614072,(+/- 7230 ),549589,(+/- 4814 ),504205,(+/- 10842 ),531037,(+/- 15655 ),544945,(+/- 10490 ),595086,(+/- 3442 ),566982,(+/- 9321 ),522262,(+/- 14892 ),509349,(+/- 7092 ),603156,(+/- 16032 ),546764,(+/- 9696 )
People,Veteran Status,Civilian veterans,42665,(+/- 3387 ),31956,(+/- 3048 ),36032,(+/- 2900 ),54769,(+/- 3300 ),39144,(+/- 2823 ),40436,(+/- 2960 ),26460,(+/- 3482 ),47688,(+/- 4950 ),26405,(+/- 3397 ),39722,(+/- 3131 ),47625,(+/- 3554 ),50988,(+/- 3463 ),45569,(+/- 2729 ),46013,(+/- 3187 ),26197,(+/- 2545 ),42871,(+/- 3500 ),41303,(+/- 3690 ),26364,(+/- 2990 ),38257,(+/- 2473 ),55966,(+/- 3922 ),64732,(+/- 4003 ),33193,(+/- 3402 ),46992,(+/- 3254 ),32421,(+/- 2917 ),56707,(+/- 3555 ),44595,(+/- 3188 ),52441,(+/- 3328 ),33371,(+/- 2546 ),17066,(+/- 2243 ),29690,(+/- 2382 ),78832,(+/- 4136 ),29096,(+/- 2846 ),18232,(+/- 2295 ),25933,(+/- 3019 ),46771,(+/- 4132 ),44125,(+/- 2971 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,702591,(+/- 4507 ),774747,(+/- 27684 ),840428,(+/- 5969 ),720945,(+/- 6647 ),741049,(+/- 11502 ),765204,(+/- 13730 ),769295,(+/- 28156 ),787690,(+/- 10263 ),792141,(+/- 24126 ),816523,(+/- 24239 ),740792,(+/- 6717 ),761299,(+/- 17036 ),673518,(+/- 5780 ),722879,(+/- 10338 ),764025,(+/- 14180 ),710251,(+/- 7702 ),747237,(+/- 12351 ),778524,(+/- 22063 ),702421,(+/- 6247 ),780671,(+/- 22175 ),794769,(+/- 17414 ),875249,(+/- 20632 ),752027,(+/- 19418 ),787874,(+/- 14160 ),734544,(+/- 15690 ),840573,(+/- 10761 ),725649,(+/- 6306 ),728310,(+/- 15442 ),764336,(+/- 23391 ),738783,(+/- 16945 ),809494,(+/- 5829 ),751449,(+/- 12171 ),760515,(+/- 25135 ),707104,(+/- 11132 ),810197,(+/- 23348 ),712920,(+/- 13192 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,120182,(+/- 6000 ),65235,(+/- 5332 ),53048,(+/- 4245 ),112782,(+/- 5640 ),89966,(+/- 5285 ),85095,(+/- 4662 ),55987,(+/- 5183 ),92935,(+/- 6129 ),75700,(+/- 5309 ),81277,(+/- 5391 ),102967,(+/- 4705 ),89736,(+/- 5803 ),100575,(+/- 4431 ),96985,(+/- 5319 ),104789,(+/- 6656 ),102938,(+/- 5789 ),89404,(+/- 4930 ),88885,(+/- 6127 ),112662,(+/- 5861 ),114261,(+/- 6856 ),83262,(+/- 4947 ),63588,(+/- 4169 ),120890,(+/- 6512 ),64836,(+/- 3604 ),88653,(+/- 4810 ),69248,(+/- 3527 ),105240,(+/- 5180 ),100518,(+/- 6467 ),69532,(+/- 5247 ),85667,(+/- 5453 ),90567,(+/- 5210 ),65408,(+/- 4847 ),73316,(+/- 4536 ),92944,(+/- 6185 ),106541,(+/- 7395 ),106426,(+/- 5873 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,175145,(+/- 2083 ),193660,(+/- 12436 ),221330,(+/- 3565 ),179119,(+/- 3387 ),200884,(+/- 7002 ),198571,(+/- 7527 ),195651,(+/- 11816 ),200728,(+/- 4293 ),211020,(+/- 12369 ),207216,(+/- 11435 ),193172,(+/- 3305 ),191340,(+/- 9481 ),173708,(+/- 2293 ),185893,(+/- 4620 ),246745,(+/- 7699 ),201757,(+/- 3584 ),176750,(+/- 5451 ),213582,(+/- 10962 ),182802,(+/- 2966 ),201415,(+/- 10985 ),162330,(+/- 8572 ),242165,(+/- 9943 ),215751,(+/- 8575 ),183383,(+/- 7344 ),180904,(+/- 7137 ),230702,(+/- 6184 ),184714,(+/- 2781 ),229165,(+/- 8366 ),234342,(+/- 11213 ),204008,(+/- 10398 ),220278,(+/- 3158 ),186462,(+/- 8002 ),241841,(+/- 13152 ),212955,(+/- 6491 ),216818,(+/- 11463 ),185727,(+/- 7033 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,10592,(+/- 1892 ),6605,(+/- 1777 ),4179,(+/- 1229 ),8072,(+/- 1484 ),6544,(+/- 1382 ),8718,(+/- 1838 ),5747,(+/- 1938 ),9308,(+/- 2536 ),7929,(+/- 2252 ),8456,(+/- 1845 ),8605,(+/- 1603 ),7727,(+/- 1821 ),6590,(+/- 1337 ),8476,(+/- 1874 ),13953,(+/- 2687 ),11959,(+/- 2030 ),7916,(+/- 2011 ),7790,(+/- 1715 ),10724,(+/- 2457 ),13901,(+/- 2617 ),3462,(+/- 820 ),6336,(+/- 1572 ),13215,(+/- 2334 ),5001,(+/- 1375 ),7034,(+/- 1706 ),8512,(+/- 1661 ),9683,(+/- 1600 ),9833,(+/- 2357 ),7202,(+/- 1876 ),7353,(+/- 1645 ),8404,(+/- 1580 ),7806,(+/- 2026 ),8014,(+/- 1818 ),8110,(+/- 1838 ),12580,(+/- 2378 ),10577,(+/- 1871 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,417027,(+/- 4039 ),500275,(+/- 17331 ),531738,(+/- 4019 ),422678,(+/- 4703 ),442150,(+/- 8591 ),478638,(+/- 9139 ),490920,(+/- 18201 ),481434,(+/- 8098 ),507345,(+/- 15632 ),515502,(+/- 15523 ),435324,(+/- 4952 ),475664,(+/- 9873 ),396890,(+/- 4640 ),442043,(+/- 6744 ),431385,(+/- 8259 ),421307,(+/- 5808 ),482276,(+/- 8299 ),492291,(+/- 14620 ),424416,(+/- 4324 ),496176,(+/- 14136 ),510758,(+/- 13370 ),541114,(+/- 12585 ),441526,(+/- 13521 ),523273,(+/- 11160 ),450384,(+/- 10763 ),532720,(+/- 7885 ),433148,(+/- 4729 ),417050,(+/- 9713 ),470544,(+/- 15386 ),460429,(+/- 9917 ),493480,(+/- 4395 ),480288,(+/- 9162 ),459198,(+/- 13934 ),395996,(+/- 6772 ),519134,(+/- 15493 ),429362,(+/- 9190 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,62831,(+/- 4609 ),35466,(+/- 4251 ),24476,(+/- 3017 ),54996,(+/- 3716 ),46428,(+/- 3571 ),44189,(+/- 3419 ),28106,(+/- 3062 ),47057,(+/- 4759 ),40320,(+/- 4249 ),41921,(+/- 4318 ),49101,(+/- 3800 ),46918,(+/- 4336 ),50142,(+/- 4043 ),48731,(+/- 4214 ),47583,(+/- 4571 ),53569,(+/- 4654 ),46820,(+/- 3451 ),47008,(+/- 4449 ),59517,(+/- 4515 ),64011,(+/- 5052 ),41563,(+/- 3802 ),29137,(+/- 3324 ),62133,(+/- 4904 ),32517,(+/- 3162 ),43284,(+/- 3499 ),36149,(+/- 3074 ),50435,(+/- 4182 ),52669,(+/- 5287 ),40589,(+/- 3864 ),48129,(+/- 4224 ),47370,(+/- 3872 ),31815,(+/- 3087 ),41639,(+/- 3328 ),42262,(+/- 4445 ),61264,(+/- 5363 ),53717,(+/- 4133 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,110419,(+/- 2062 ),80812,(+/- 4861 ),87360,(+/- 1928 ),119148,(+/- 2256 ),98015,(+/- 3645 ),87995,(+/- 4046 ),82724,(+/- 4576 ),105528,(+/- 2775 ),73776,(+/- 3762 ),93805,(+/- 4214 ),112296,(+/- 2545 ),94295,(+/- 4120 ),102920,(+/- 2227 ),94943,(+/- 2372 ),85895,(+/- 3120 ),87187,(+/- 1829 ),88211,(+/- 3237 ),72651,(+/- 4204 ),95203,(+/- 1902 ),83080,(+/- 3865 ),121681,(+/- 4341 ),91970,(+/- 3586 ),94750,(+/- 4132 ),81218,(+/- 4879 ),103256,(+/- 3061 ),77151,(+/- 2939 ),107787,(+/- 2689 ),82095,(+/- 3744 ),59450,(+/- 3637 ),74346,(+/- 3522 ),95736,(+/- 999 ),84699,(+/- 3736 ),59476,(+/- 3649 ),98153,(+/- 3766 ),74245,(+/- 4241 ),97831,(+/- 3524 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,46759,(+/- 2803 ),23164,(+/- 2494 ),24393,(+/- 2294 ),49714,(+/- 3121 ),36994,(+/- 3178 ),32188,(+/- 2910 ),22134,(+/- 2904 ),36570,(+/- 3068 ),27451,(+/- 2545 ),30900,(+/- 2391 ),45261,(+/- 2595 ),35091,(+/- 2957 ),43843,(+/- 2452 ),39778,(+/- 2716 ),43253,(+/- 3107 ),37410,(+/- 2179 ),34668,(+/- 2668 ),34087,(+/- 3203 ),42421,(+/- 2367 ),36349,(+/- 2668 ),38237,(+/- 2946 ),28115,(+/- 2848 ),45542,(+/- 3109 ),27318,(+/- 2128 ),38335,(+/- 2707 ),24587,(+/- 2232 ),45122,(+/- 2802 ),38016,(+/- 2345 ),21741,(+/- 2565 ),30185,(+/- 2612 ),34793,(+/- 2483 ),25787,(+/- 2614 ),23663,(+/- 2179 ),42572,(+/- 2884 ),32697,(+/- 2848 ),42132,(+/- 3133 )
People,Residence 1 Year Ago,Population 1 year and over,708795,(+/- 4270 ),771447,(+/- 27542 ),833883,(+/- 6014 ),727460,(+/- 6838 ),753907,(+/- 11471 ),759617,(+/- 13291 ),760177,(+/- 27895 ),802034,(+/- 11015 ),781148,(+/- 23631 ),813991,(+/- 24122 ),749567,(+/- 6059 ),757874,(+/- 16504 ),699702,(+/- 4781 ),743058,(+/- 10250 ),764884,(+/- 14353 ),722758,(+/- 7597 ),751318,(+/- 11162 ),771639,(+/- 21233 ),723363,(+/- 6427 ),779384,(+/- 22098 ),795190,(+/- 17279 ),870880,(+/- 19653 ),762328,(+/- 18760 ),779568,(+/- 13885 ),753431,(+/- 15607 ),836163,(+/- 10417 ),727237,(+/- 6350 ),723725,(+/- 15328 ),751480,(+/- 23023 ),739889,(+/- 16622 ),818795,(+/- 5587 ),741961,(+/- 12329 ),750575,(+/- 24502 ),711927,(+/- 10396 ),810796,(+/- 23407 ),722675,(+/- 12995 )
People,Residence 1 Year Ago,Same house,591530,(+/- 9357 ),636486,(+/- 26277 ),720301,(+/- 9766 ),634265,(+/- 10434 ),626340,(+/- 13268 ),639595,(+/- 13567 ),636782,(+/- 27764 ),681646,(+/- 14972 ),659195,(+/- 23144 ),698865,(+/- 22224 ),626117,(+/- 11871 ),621939,(+/- 17786 ),567857,(+/- 10481 ),627123,(+/- 13129 ),675808,(+/- 15778 ),606975,(+/- 10829 ),590340,(+/- 14766 ),628559,(+/- 21465 ),576507,(+/- 9280 ),658674,(+/- 20184 ),643050,(+/- 16402 ),756196,(+/- 22050 ),652158,(+/- 18626 ),620484,(+/- 16181 ),639099,(+/- 13773 ),681264,(+/- 13137 ),610702,(+/- 10039 ),646760,(+/- 16316 ),651873,(+/- 23846 ),655858,(+/- 16403 ),647119,(+/- 11563 ),612051,(+/- 15746 ),661208,(+/- 26064 ),642593,(+/- 10498 ),678715,(+/- 20820 ),601950,(+/- 15583 )
People,Residence 1 Year Ago,Different house in the U.S.,114727,(+/- 8544 ),127148,(+/- 9642 ),104739,(+/- 7063 ),90647,(+/- 7755 ),122364,(+/- 10534 ),114034,(+/- 9795 ),104773,(+/- 11084 ),114177,(+/- 10493 ),105144,(+/- 10929 ),107191,(+/- 9583 ),121192,(+/- 9211 ),129466,(+/- 9502 ),129744,(+/- 9186 ),113492,(+/- 8813 ),82606,(+/- 10074 ),105755,(+/- 9536 ),155874,(+/- 9688 ),135914,(+/- 11501 ),140032,(+/- 9412 ),114835,(+/- 10343 ),145602,(+/- 10991 ),105209,(+/- 11808 ),103629,(+/- 9675 ),148704,(+/- 10820 ),110803,(+/- 9213 ),150407,(+/- 12126 ),112457,(+/- 9359 ),71251,(+/- 7610 ),92337,(+/- 10500 ),81017,(+/- 7344 ),162899,(+/- 11042 ),122308,(+/- 10368 ),83273,(+/- 8500 ),65456,(+/- 7551 ),126250,(+/- 10464 ),116437,(+/- 9828 )
People,Residence 1 Year Ago,Same county,59312,(+/- 6207 ),84291,(+/- 7993 ),47499,(+/- 5856 ),47332,(+/- 5851 ),77874,(+/- 8961 ),73514,(+/- 8785 ),81888,(+/- 10460 ),60170,(+/- 8340 ),72232,(+/- 9126 ),60825,(+/- 8134 ),68382,(+/- 6722 ),83969,(+/- 8078 ),65421,(+/- 6206 ),68910,(+/- 7835 ),59437,(+/- 8885 ),74035,(+/- 7987 ),94266,(+/- 9051 ),106337,(+/- 9956 ),82165,(+/- 7459 ),84981,(+/- 9975 ),85170,(+/- 9307 ),56525,(+/- 7944 ),61903,(+/- 7151 ),83157,(+/- 7467 ),53735,(+/- 6086 ),78073,(+/- 7895 ),66536,(+/- 7850 ),48443,(+/- 5900 ),79245,(+/- 10204 ),58868,(+/- 6598 ),80786,(+/- 9072 ),86759,(+/- 8795 ),58995,(+/- 7931 ),44273,(+/- 6621 ),77200,(+/- 8142 ),67523,(+/- 8129 )
People,Residence 1 Year Ago,Different county,55415,(+/- 6490 ),42857,(+/- 6880 ),57240,(+/- 6057 ),43315,(+/- 4825 ),44490,(+/- 5691 ),40520,(+/- 6088 ),22885,(+/- 4294 ),54007,(+/- 7166 ),32912,(+/- 5698 ),46366,(+/- 5762 ),52810,(+/- 6515 ),45497,(+/- 5502 ),64323,(+/- 5983 ),44582,(+/- 4620 ),23169,(+/- 4129 ),31720,(+/- 4995 ),61608,(+/- 4975 ),29577,(+/- 5459 ),57867,(+/- 6012 ),29854,(+/- 4972 ),60432,(+/- 5315 ),48684,(+/- 8311 ),41726,(+/- 5610 ),65547,(+/- 6812 ),57068,(+/- 7458 ),72334,(+/- 9819 ),45921,(+/- 5961 ),22808,(+/- 5044 ),13092,(+/- 2653 ),22149,(+/- 3037 ),82113,(+/- 7681 ),35549,(+/- 5047 ),24278,(+/- 4425 ),21183,(+/- 3372 ),49050,(+/- 6242 ),48914,(+/- 5915 )
People,Residence 1 Year Ago,Same state,44846,(+/- 6323 ),21006,(+/- 4702 ),34957,(+/- 4545 ),32984,(+/- 4286 ),33860,(+/- 4502 ),26616,(+/- 4118 ),10135,(+/- 2509 ),38101,(+/- 5630 ),19400,(+/- 4406 ),29893,(+/- 5215 ),35873,(+/- 5405 ),28379,(+/- 4153 ),47050,(+/- 5522 ),35445,(+/- 4263 ),13192,(+/- 2645 ),9624,(+/- 2874 ),47534,(+/- 4291 ),16312,(+/- 4137 ),46440,(+/- 5176 ),19550,(+/- 4515 ),40072,(+/- 4863 ),30562,(+/- 5886 ),27447,(+/- 4697 ),42549,(+/- 5736 ),40588,(+/- 6663 ),44535,(+/- 5503 ),37224,(+/- 5607 ),15215,(+/- 4458 ),7547,(+/- 2154 ),14084,(+/- 2273 ),46936,(+/- 5949 ),20854,(+/- 3532 ),15403,(+/- 3436 ),16724,(+/- 3070 ),31204,(+/- 4643 ),37725,(+/- 5853 )
People,Residence 1 Year Ago,Different state,10569,(+/- 2434 ),21851,(+/- 5347 ),22283,(+/- 3857 ),10331,(+/- 2753 ),10630,(+/- 3736 ),13904,(+/- 3978 ),12750,(+/- 3611 ),15906,(+/- 4696 ),13512,(+/- 3013 ),16473,(+/- 4035 ),16937,(+/- 3412 ),17118,(+/- 3837 ),17273,(+/- 3314 ),9137,(+/- 2525 ),9977,(+/- 3121 ),22096,(+/- 4150 ),14074,(+/- 2998 ),13265,(+/- 3250 ),11427,(+/- 2377 ),10304,(+/- 1797 ),20360,(+/- 4003 ),18122,(+/- 4841 ),14279,(+/- 3189 ),22998,(+/- 4001 ),16480,(+/- 2667 ),27799,(+/- 7299 ),8697,(+/- 1961 ),7593,(+/- 2027 ),5545,(+/- 1562 ),8065,(+/- 2215 ),35177,(+/- 5361 ),14695,(+/- 3656 ),8875,(+/- 3065 ),4459,(+/- 1936 ),17846,(+/- 4507 ),11189,(+/- 3008 )
People,Residence 1 Year Ago,Abroad,2538,(+/- 1113 ),7813,(+/- 2375 ),8843,(+/- 2490 ),2548,(+/- 999 ),5203,(+/- 2055 ),5988,(+/- 2514 ),18622,(+/- 5431 ),6211,(+/- 3282 ),16809,(+/- 4152 ),7935,(+/- 3079 ),2258,(+/- 1609 ),6469,(+/- 3302 ),2101,(+/- 1261 ),2443,(+/- 1169 ),6470,(+/- 2816 ),10028,(+/- 3611 ),5104,(+/- 1769 ),7166,(+/- 2133 ),6824,(+/- 2339 ),5875,(+/- 1858 ),6538,(+/- 2034 ),9475,(+/- 3122 ),6541,(+/- 2111 ),10380,(+/- 2535 ),3529,(+/- 1105 ),4492,(+/- 1550 ),4078,(+/- 1795 ),5714,(+/- 2012 ),7270,(+/- 2774 ),3014,(+/- 1161 ),8777,(+/- 2945 ),7602,(+/- 3202 ),6094,(+/- 1722 ),3878,(+/- 1621 ),5831,(+/- 2144 ),4288,(+/- 1981 )
Workers,Employment Status,Population 16 years and over,561032,(+/- 3381 ),604687,(+/- 19774 ),646740,(+/- 4923 ),575708,(+/- 4790 ),583389,(+/- 9037 ),597071,(+/- 10966 ),593908,(+/- 19914 ),634748,(+/- 8428 ),605842,(+/- 17489 ),637601,(+/- 16030 ),586955,(+/- 4475 ),601050,(+/- 11719 ),551707,(+/- 4553 ),586669,(+/- 7631 ),555595,(+/- 10246 ),556352,(+/- 5196 ),603843,(+/- 8904 ),597674,(+/- 16328 ),569525,(+/- 5185 ),611545,(+/- 15730 ),660288,(+/- 13198 ),666288,(+/- 13509 ),581207,(+/- 13723 ),628230,(+/- 12543 ),604190,(+/- 12180 ),640336,(+/- 7328 ),573402,(+/- 4862 ),531710,(+/- 11566 ),555786,(+/- 15788 ),566534,(+/- 10530 ),633861,(+/- 3456 ),587220,(+/- 9729 ),545914,(+/- 16416 ),536182,(+/- 7510 ),627500,(+/- 16890 ),568018,(+/- 9987 )
Workers,Employment Status,In labor force,319088,(+/- 6355 ),425782,(+/- 15355 ),453475,(+/- 5871 ),341215,(+/- 5638 ),354457,(+/- 8754 ),402672,(+/- 9664 ),418730,(+/- 16457 ),384014,(+/- 9456 ),411248,(+/- 12164 ),434423,(+/- 13392 ),365035,(+/- 6240 ),400970,(+/- 9931 ),341028,(+/- 6116 ),356722,(+/- 7655 ),320712,(+/- 8533 ),344778,(+/- 7334 ),383729,(+/- 9406 ),390796,(+/- 13299 ),343577,(+/- 7254 ),401474,(+/- 12668 ),435675,(+/- 11091 ),443745,(+/- 11882 ),349004,(+/- 11572 ),461763,(+/- 11794 ),382492,(+/- 9306 ),463173,(+/- 8709 ),356047,(+/- 6328 ),310756,(+/- 9752 ),355752,(+/- 12207 ),362028,(+/- 9947 ),431722,(+/- 7241 ),421441,(+/- 9032 ),355209,(+/- 11992 ),291947,(+/- 8435 ),421605,(+/- 13209 ),340760,(+/- 9670 )
Workers,Employment Status,Civilian labor force,318256,(+/- 6518 ),425381,(+/- 15296 ),453013,(+/- 5936 ),341079,(+/- 5619 ),354457,(+/- 8754 ),402101,(+/- 9656 ),418506,(+/- 16491 ),383729,(+/- 9460 ),411166,(+/- 12148 ),434335,(+/- 13429 ),361862,(+/- 6391 ),400154,(+/- 9936 ),334204,(+/- 6427 ),356201,(+/- 7632 ),320096,(+/- 8503 ),325948,(+/- 7526 ),382955,(+/- 9498 ),390590,(+/- 13331 ),339574,(+/- 7465 ),394269,(+/- 12574 ),432045,(+/- 11134 ),443312,(+/- 11854 ),345538,(+/- 11711 ),461566,(+/- 11769 ),370923,(+/- 9388 ),462704,(+/- 8613 ),354036,(+/- 6446 ),308042,(+/- 9550 ),355752,(+/- 12207 ),362028,(+/- 9947 ),416445,(+/- 7198 ),421203,(+/- 9014 ),355069,(+/- 12002 ),291183,(+/- 8467 ),419446,(+/- 12966 ),340535,(+/- 9664 )
Workers,Employment Status,Employed,295210,(+/- 6695 ),403151,(+/- 15062 ),435134,(+/- 6193 ),321452,(+/- 5758 ),336020,(+/- 8544 ),384075,(+/- 9526 ),398270,(+/- 15209 ),365547,(+/- 9285 ),378527,(+/- 12199 ),411258,(+/- 12794 ),337696,(+/- 6373 ),380873,(+/- 9999 ),318582,(+/- 6579 ),333620,(+/- 7064 ),300164,(+/- 8355 ),307359,(+/- 7910 ),365192,(+/- 8915 ),358905,(+/- 12507 ),323140,(+/- 7046 ),368545,(+/- 11694 ),415700,(+/- 11155 ),415988,(+/- 11210 ),322447,(+/- 10845 ),446059,(+/- 11781 ),353091,(+/- 9574 ),444440,(+/- 9115 ),334428,(+/- 6611 ),284838,(+/- 9421 ),332483,(+/- 11436 ),340338,(+/- 9942 ),391610,(+/- 7362 ),402735,(+/- 9065 ),335938,(+/- 11906 ),270063,(+/- 8339 ),398991,(+/- 12294 ),315587,(+/- 9798 )
Workers,Employment Status,Unemployed,23046,(+/- 3193 ),22230,(+/- 2796 ),17879,(+/- 2584 ),19627,(+/- 2638 ),18437,(+/- 2555 ),18026,(+/- 2970 ),20236,(+/- 2951 ),18182,(+/- 2648 ),32639,(+/- 4456 ),23077,(+/- 3256 ),24166,(+/- 3749 ),19281,(+/- 2924 ),15622,(+/- 2291 ),22581,(+/- 2981 ),19932,(+/- 2446 ),18589,(+/- 2367 ),17763,(+/- 2212 ),31685,(+/- 3564 ),16434,(+/- 2073 ),25724,(+/- 3151 ),16345,(+/- 2621 ),27324,(+/- 4233 ),23091,(+/- 2835 ),15507,(+/- 2307 ),17832,(+/- 1981 ),18264,(+/- 2753 ),19608,(+/- 2285 ),23204,(+/- 3055 ),23269,(+/- 2849 ),21690,(+/- 2931 ),24835,(+/- 3935 ),18468,(+/- 2685 ),19131,(+/- 2739 ),21120,(+/- 2748 ),20455,(+/- 2497 ),24948,(+/- 2876 )
Workers,Employment Status,Armed Forces,832,(+/- 703 ),401,(+/- 476 ),462,(+/- 525 ),136,(+/- 163 ),0,(+/- 220 ),571,(+/- 447 ),224,(+/- 260 ),285,(+/- 396 ),82,(+/- 135 ),88,(+/- 149 ),3173,(+/- 1365 ),816,(+/- 460 ),6824,(+/- 2398 ),521,(+/- 350 ),616,(+/- 335 ),18830,(+/- 3160 ),774,(+/- 466 ),206,(+/- 228 ),4003,(+/- 988 ),7205,(+/- 1160 ),3630,(+/- 866 ),433,(+/- 435 ),3466,(+/- 953 ),197,(+/- 190 ),11569,(+/- 1425 ),469,(+/- 314 ),2011,(+/- 818 ),2714,(+/- 868 ),0,(+/- 220 ),0,(+/- 220 ),15277,(+/- 2540 ),238,(+/- 178 ),140,(+/- 135 ),764,(+/- 587 ),2159,(+/- 800 ),225,(+/- 204 )
Workers,Employment Status,Not in labor force,241944,(+/- 5706 ),178905,(+/- 8883 ),193265,(+/- 6161 ),234493,(+/- 5773 ),228932,(+/- 7488 ),194399,(+/- 7713 ),175178,(+/- 8464 ),250734,(+/- 8740 ),194594,(+/- 10634 ),203178,(+/- 7654 ),221920,(+/- 5735 ),200080,(+/- 8111 ),210679,(+/- 6048 ),229947,(+/- 6670 ),234883,(+/- 8239 ),211574,(+/- 6847 ),220114,(+/- 6735 ),206878,(+/- 9257 ),225948,(+/- 6818 ),210071,(+/- 8972 ),224613,(+/- 7650 ),222543,(+/- 8347 ),232203,(+/- 7705 ),166467,(+/- 6139 ),221698,(+/- 8812 ),177163,(+/- 6892 ),217355,(+/- 5616 ),220954,(+/- 7778 ),200034,(+/- 8170 ),204506,(+/- 7174 ),202139,(+/- 7252 ),165779,(+/- 6115 ),190705,(+/- 8630 ),244235,(+/- 7893 ),205895,(+/- 8794 ),227258,(+/- 7448 )
Workers,Employment Status,Civilian labor force,318256,(+/- 6518 ),425381,(+/- 15296 ),453013,(+/- 5936 ),341079,(+/- 5619 ),354457,(+/- 8754 ),402101,(+/- 9656 ),418506,(+/- 16491 ),383729,(+/- 9460 ),411166,(+/- 12148 ),434335,(+/- 13429 ),361862,(+/- 6391 ),400154,(+/- 9936 ),334204,(+/- 6427 ),356201,(+/- 7632 ),320096,(+/- 8503 ),325948,(+/- 7526 ),382955,(+/- 9498 ),390590,(+/- 13331 ),339574,(+/- 7465 ),394269,(+/- 12574 ),432045,(+/- 11134 ),443312,(+/- 11854 ),345538,(+/- 11711 ),461566,(+/- 11769 ),370923,(+/- 9388 ),462704,(+/- 8613 ),354036,(+/- 6446 ),308042,(+/- 9550 ),355752,(+/- 12207 ),362028,(+/- 9947 ),416445,(+/- 7198 ),421203,(+/- 9014 ),355069,(+/- 12002 ),291183,(+/- 8467 ),419446,(+/- 12966 ),340535,(+/- 9664 )
