Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE
Workers,Industry,Construction,11282,(+/- 1687 ),20925,(+/- 2120 ),31536,(+/- 2685 ),22945,(+/- 2244 ),25758,(+/- 2659 ),21123,(+/- 2108 ),25348,(+/- 2390 ),19596,(+/- 2548 )
Workers,Industry,Manufacturing,34910,(+/- 3249 ),42931,(+/- 2935 ),48363,(+/- 3140 ),40443,(+/- 2743 ),38487,(+/- 2901 ),49793,(+/- 3469 ),41512,(+/- 3208 ),41973,(+/- 2703 )
Workers,Industry,Wholesale trade,7298,(+/- 1478 ),13854,(+/- 1957 ),10431,(+/- 1283 ),8707,(+/- 1540 ),9255,(+/- 1819 ),11069,(+/- 1705 ),11481,(+/- 2058 ),8077,(+/- 1374 )
Workers,Industry,Retail trade,36124,(+/- 3016 ),40795,(+/- 3177 ),49015,(+/- 3683 ),39711,(+/- 3120 ),42331,(+/- 3393 ),42608,(+/- 2954 ),51139,(+/- 3716 ),39509,(+/- 3211 )
Workers,Industry,"Transportation and warehousing, and utilities",20099,(+/- 2873 ),15391,(+/- 2109 ),19646,(+/- 2360 ),16108,(+/- 2084 ),23299,(+/- 2873 ),21889,(+/- 2511 ),20282,(+/- 2597 ),17737,(+/- 2002 )
Workers,Industry,Information,8221,(+/- 1706 ),10078,(+/- 1646 ),7440,(+/- 1484 ),4926,(+/- 1693 ),10016,(+/- 1729 ),6435,(+/- 1199 ),6134,(+/- 1452 ),4258,(+/- 1156 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",28561,(+/- 3434 ),41667,(+/- 3312 ),26359,(+/- 2727 ),18209,(+/- 1921 ),25237,(+/- 2347 ),21741,(+/- 2385 ),18818,(+/- 2329 ),13978,(+/- 2067 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",41873,(+/- 3213 ),52486,(+/- 3715 ),32340,(+/- 2885 ),23625,(+/- 2866 ),49128,(+/- 4310 ),30849,(+/- 2709 ),28665,(+/- 2739 ),17523,(+/- 2289 )
Workers,Industry,"Educational services, and health care and social assistance",102212,(+/- 5046 ),91881,(+/- 4829 ),81547,(+/- 4067 ),86592,(+/- 4721 ),82843,(+/- 3862 ),91568,(+/- 4453 ),79459,(+/- 4460 ),76467,(+/- 3878 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",40816,(+/- 4178 ),37098,(+/- 3249 ),37023,(+/- 3385 ),29745,(+/- 3068 ),37697,(+/- 3147 ),28505,(+/- 3085 ),40394,(+/- 3549 ),23540,(+/- 2533 )
Workers,Industry,"Other services, except public administration",16470,(+/- 2271 ),18513,(+/- 2652 ),16740,(+/- 1909 ),18881,(+/- 2600 ),17067,(+/- 2236 ),14994,(+/- 1958 ),20487,(+/- 2480 ),14637,(+/- 1799 )
Workers,Industry,Public administration,13913,(+/- 1988 ),8340,(+/- 1452 ),21387,(+/- 2258 ),15691,(+/- 2184 ),15485,(+/- 1863 ),22130,(+/- 2162 ),9913,(+/- 1886 ),14876,(+/- 1710 )
Workers,Class of Worker,Civilian employed population 16 years and over,362548,(+/- 7786 ),395785,(+/- 8048 ),384872,(+/- 7375 ),335064,(+/- 6049 ),379040,(+/- 6388 ),372410,(+/- 6267 ),360221,(+/- 5065 ),302924,(+/- 5686 )
Workers,Class of Worker,Private wage and salary workers,308904,(+/- 7664 ),345422,(+/- 7550 ),319707,(+/- 7321 ),259627,(+/- 5452 ),318037,(+/- 6817 ),293776,(+/- 6756 ),299574,(+/- 6103 ),237162,(+/- 5505 )
Workers,Class of Worker,Government workers,37397,(+/- 3524 ),32045,(+/- 2934 ),46793,(+/- 3630 ),49440,(+/- 3910 ),38639,(+/- 3243 ),57346,(+/- 3412 ),36458,(+/- 3385 ),44346,(+/- 3061 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,15589,(+/- 2299 ),17248,(+/- 1922 ),17948,(+/- 1960 ),24761,(+/- 2203 ),21556,(+/- 2576 ),20664,(+/- 2037 ),23100,(+/- 2322 ),20895,(+/- 2539 )
Workers,Class of Worker,Unpaid family workers,658,(+/- 324 ),1070,(+/- 521 ),424,(+/- 246 ),1236,(+/- 563 ),808,(+/- 484 ),624,(+/- 291 ),1089,(+/- 528 ),521,(+/- 345 )
Housing,Housing Occupancy,Total housing units,369922,(+/- 3435 ),320459,(+/- 4425 ),340626,(+/- 3248 ),347981,(+/- 1549 ),358960,(+/- 2606 ),330336,(+/- 2627 ),353035,(+/- 1499 ),338907,(+/- 1773 )
Housing,Housing Occupancy,Occupied housing units,308116,(+/- 4447 ),305616,(+/- 4634 ),286456,(+/- 3917 ),283792,(+/- 3692 ),313859,(+/- 4467 ),284610,(+/- 3870 ),305390,(+/- 3851 ),284351,(+/- 3885 )
Housing,Housing Occupancy,Vacant housing units,61806,(+/- 4564 ),14843,(+/- 2660 ),54170,(+/- 3193 ),64189,(+/- 3671 ),45101,(+/- 3728 ),45726,(+/- 3230 ),47645,(+/- 3556 ),54556,(+/- 3683 )
Housing,Housing Occupancy,Homeowner vacancy rate,3.2,(+/- 0.7 ),0.5,(+/- 0.3 ),1.6,(+/- 0.5 ),2.3,(+/- 0.6 ),1.7,(+/- 0.5 ),1.6,(+/- 0.4 ),2.0,(+/- 0.7 ),1.9,(+/- 0.5 )
Housing,Housing Occupancy,Rental vacancy rate,7.1,(+/- 1.3 ),6.2,(+/- 1.8 ),8.1,(+/- 2.2 ),6.5,(+/- 1.8 ),6.2,(+/- 1.3 ),7.9,(+/- 1.7 ),6.1,(+/- 1.3 ),7.0,(+/- 1.7 )
Housing,Housing Tenure,Occupied housing units,308116,(+/- 4447 ),305616,(+/- 4634 ),286456,(+/- 3917 ),283792,(+/- 3692 ),313859,(+/- 4467 ),284610,(+/- 3870 ),305390,(+/- 3851 ),284351,(+/- 3885 )
Housing,Housing Tenure,Owner-occupied,154056,(+/- 4895 ),234940,(+/- 3948 ),219054,(+/- 4372 ),185541,(+/- 5166 ),176326,(+/- 4586 ),205519,(+/- 3812 ),194686,(+/- 3885 ),197475,(+/- 4378 )
Housing,Housing Tenure,Renter-occupied,154060,(+/- 5258 ),70676,(+/- 3936 ),67402,(+/- 3928 ),98251,(+/- 4207 ),137533,(+/- 4205 ),79091,(+/- 3420 ),110704,(+/- 3571 ),86876,(+/- 3705 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.46,(+/- 0.06 ),2.56,(+/- 0.03 ),2.71,(+/- 0.05 ),2.63,(+/- 0.04 ),2.54,(+/- 0.05 ),2.71,(+/- 0.04 ),2.51,(+/- 0.05 ),2.53,(+/- 0.04 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.19,(+/- 0.06 ),2.13,(+/- 0.08 ),2.51,(+/- 0.12 ),2.42,(+/- 0.08 ),2.20,(+/- 0.05 ),2.29,(+/- 0.07 ),2.42,(+/- 0.07 ),2.47,(+/- 0.08 )
Housing,Year Householder Moved into Unit,Occupied housing units,308116,(+/- 4447 ),305616,(+/- 4634 ),286456,(+/- 3917 ),283792,(+/- 3692 ),313859,(+/- 4467 ),284610,(+/- 3870 ),305390,(+/- 3851 ),284351,(+/- 3885 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,74529,(+/- 3906 ),48054,(+/- 3545 ),46316,(+/- 3716 ),61111,(+/- 3683 ),69311,(+/- 3607 ),51362,(+/- 3001 ),67964,(+/- 3927 ),46895,(+/- 3218 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,90357,(+/- 3822 ),75101,(+/- 4180 ),72786,(+/- 3903 ),76919,(+/- 3846 ),94762,(+/- 4034 ),75976,(+/- 3185 ),91849,(+/- 4320 ),74760,(+/- 3355 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,65983,(+/- 3815 ),80517,(+/- 4385 ),85643,(+/- 3603 ),76975,(+/- 3606 ),73960,(+/- 3748 ),78509,(+/- 3373 ),79698,(+/- 4161 ),79538,(+/- 3728 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,33250,(+/- 2278 ),52525,(+/- 3387 ),42371,(+/- 2752 ),35966,(+/- 2350 ),33392,(+/- 2205 ),41085,(+/- 2105 ),35471,(+/- 2217 ),38928,(+/- 2691 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,18294,(+/- 1711 ),24529,(+/- 2489 ),20671,(+/- 1889 ),17455,(+/- 1758 ),17928,(+/- 1765 ),19247,(+/- 1458 ),15398,(+/- 1712 ),21119,(+/- 1808 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,25703,(+/- 1970 ),24890,(+/- 1862 ),18669,(+/- 1552 ),15366,(+/- 1456 ),24506,(+/- 1649 ),18431,(+/- 1352 ),15010,(+/- 1649 ),23111,(+/- 2099 )
Housing,Value,Owner-occupied units,154056,(+/- 4895 ),234940,(+/- 3948 ),219054,(+/- 4372 ),185541,(+/- 5166 ),176326,(+/- 4586 ),205519,(+/- 3812 ),194686,(+/- 3885 ),197475,(+/- 4378 )
Housing,Value,"Less than $50,000",16937,(+/- 1798 ),4954,(+/- 1028 ),14893,(+/- 1848 ),23425,(+/- 1880 ),18967,(+/- 1737 ),20001,(+/- 1477 ),18638,(+/- 1859 ),34977,(+/- 2466 )
Housing,Value,"$50,000 to $99,999",51246,(+/- 2639 ),8639,(+/- 959 ),21849,(+/- 1885 ),37273,(+/- 2676 ),44111,(+/- 2602 ),37512,(+/- 2057 ),44233,(+/- 2973 ),50949,(+/- 2950 )
Housing,Value,"$100,000 to $149,999",35606,(+/- 2831 ),32026,(+/- 2259 ),47880,(+/- 2795 ),37670,(+/- 2684 ),45058,(+/- 2423 ),38498,(+/- 2589 ),49063,(+/- 2747 ),40202,(+/- 2894 )
Housing,Value,"$150,000 to $199,999",19751,(+/- 1991 ),46692,(+/- 2620 ),47752,(+/- 2824 ),33336,(+/- 2457 ),28768,(+/- 2669 ),40259,(+/- 2531 ),33348,(+/- 2486 ),31459,(+/- 2348 )
Housing,Value,"$200,000 to $299,999",14723,(+/- 1483 ),66906,(+/- 2757 ),53981,(+/- 2694 ),31752,(+/- 2382 ),22356,(+/- 1962 ),40352,(+/- 2521 ),29210,(+/- 2196 ),24967,(+/- 2459 )
Housing,Value,"$300,000 to $499,999",9712,(+/- 1015 ),49290,(+/- 2750 ),25028,(+/- 2303 ),16932,(+/- 1654 ),11858,(+/- 1222 ),22510,(+/- 1924 ),14360,(+/- 1617 ),10115,(+/- 1344 )
Housing,Value,"$500,000 to $999,999",4762,(+/- 939 ),22352,(+/- 1555 ),6420,(+/- 1166 ),4472,(+/- 765 ),4049,(+/- 681 ),4990,(+/- 960 ),4366,(+/- 1021 ),3317,(+/- 877 )
Housing,Value,"$1,000,000 or more",1319,(+/- 447 ),4081,(+/- 870 ),1251,(+/- 488 ),681,(+/- 281 ),1159,(+/- 476 ),1397,(+/- 375 ),1468,(+/- 558 ),1489,(+/- 590 )
Housing,Value,Median (dollars),109800,(+/- 2776 ),233900,(+/- 3888 ),172200,(+/- 3025 ),141800,(+/- 3753 ),126500,(+/- 2873 ),157200,(+/- 2611 ),134500,(+/- 2742 ),113600,(+/- 3094 )
Housing,Mortgage Status,Owner-occupied units,154056,(+/- 4895 ),234940,(+/- 3948 ),219054,(+/- 4372 ),185541,(+/- 5166 ),176326,(+/- 4586 ),205519,(+/- 3812 ),194686,(+/- 3885 ),197475,(+/- 4378 )
Housing,Mortgage Status,Housing units with a mortgage,102890,(+/- 4357 ),159130,(+/- 4688 ),144886,(+/- 4808 ),104039,(+/- 4410 ),110144,(+/- 3575 ),126748,(+/- 3825 ),118396,(+/- 4511 ),103675,(+/- 4353 )
Housing,Mortgage Status,Housing units without a mortgage,51166,(+/- 2934 ),75810,(+/- 3459 ),74168,(+/- 2996 ),81502,(+/- 3244 ),66182,(+/- 3129 ),78771,(+/- 2536 ),76290,(+/- 3934 ),93800,(+/- 3652 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,102890,(+/- 4357 ),159130,(+/- 4688 ),144886,(+/- 4808 ),104039,(+/- 4410 ),110144,(+/- 3575 ),126748,(+/- 3825 ),118396,(+/- 4511 ),103675,(+/- 4353 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,1146,(+/- 398 ),1205,(+/- 663 ),1435,(+/- 618 ),3083,(+/- 665 ),2014,(+/- 585 ),2994,(+/- 749 ),3519,(+/- 816 ),6081,(+/- 1121 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,35814,(+/- 2934 ),20334,(+/- 2195 ),36290,(+/- 2651 ),39252,(+/- 2596 ),33907,(+/- 2397 ),34557,(+/- 2330 ),52582,(+/- 3451 ),48293,(+/- 3670 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",41471,(+/- 2832 ),49444,(+/- 3279 ),58021,(+/- 3315 ),37719,(+/- 2922 ),44500,(+/- 3121 ),45525,(+/- 2632 ),39554,(+/- 3034 ),32981,(+/- 2503 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",13461,(+/- 1898 ),39649,(+/- 3177 ),29372,(+/- 2496 ),15055,(+/- 1950 ),16696,(+/- 1843 ),26173,(+/- 2523 ),14989,(+/- 2291 ),11537,(+/- 1696 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",5010,(+/- 809 ),21542,(+/- 1971 ),12355,(+/- 1458 ),5501,(+/- 990 ),7732,(+/- 1014 ),10557,(+/- 1404 ),4077,(+/- 888 ),2758,(+/- 819 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",2909,(+/- 676 ),12068,(+/- 1560 ),4108,(+/- 929 ),1767,(+/- 454 ),2596,(+/- 744 ),3361,(+/- 864 ),2011,(+/- 566 ),742,(+/- 491 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",3079,(+/- 763 ),14888,(+/- 1380 ),3305,(+/- 699 ),1662,(+/- 566 ),2699,(+/- 729 ),3581,(+/- 938 ),1664,(+/- 586 ),1283,(+/- 499 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1145,(+/- 22 ),1593,(+/- 26 ),1280,(+/- 29 ),1109,(+/- 20 ),1181,(+/- 20 ),1282,(+/- 25 ),1033,(+/- 27 ),969,(+/- 33 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,51166,(+/- 2934 ),75810,(+/- 3459 ),74168,(+/- 2996 ),81502,(+/- 3244 ),66182,(+/- 3129 ),78771,(+/- 2536 ),76290,(+/- 3934 ),93800,(+/- 3652 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,5494,(+/- 1066 ),1689,(+/- 521 ),10011,(+/- 1534 ),17513,(+/- 1914 ),5343,(+/- 886 ),9932,(+/- 1005 ),14815,(+/- 1751 ),28520,(+/- 2562 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,16736,(+/- 1840 ),12242,(+/- 1687 ),22684,(+/- 1751 ),29103,(+/- 2144 ),20760,(+/- 1743 ),24600,(+/- 1463 ),32276,(+/- 2910 ),37403,(+/- 2237 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,19617,(+/- 1941 ),30964,(+/- 2490 ),29826,(+/- 2251 ),25852,(+/- 2050 ),26398,(+/- 2118 ),28274,(+/- 1993 ),20402,(+/- 2191 ),20805,(+/- 1685 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,5225,(+/- 948 ),16609,(+/- 1623 ),8674,(+/- 1224 ),6486,(+/- 1070 ),8540,(+/- 1283 ),10921,(+/- 1549 ),6916,(+/- 1126 ),5528,(+/- 1197 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,2004,(+/- 606 ),6227,(+/- 990 ),1930,(+/- 615 ),1312,(+/- 543 ),2864,(+/- 724 ),3114,(+/- 696 ),845,(+/- 393 ),896,(+/- 401 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",2090,(+/- 656 ),8079,(+/- 1195 ),1043,(+/- 569 ),1236,(+/- 454 ),2277,(+/- 544 ),1930,(+/- 617 ),1036,(+/- 401 ),648,(+/- 289 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),428,(+/- 12 ),552,(+/- 11 ),425,(+/- 9 ),370,(+/- 10 ),447,(+/- 9 ),429,(+/- 9 ),357,(+/- 10 ),317,(+/- 7 )
Housing,Gross Rent,Occupied units paying rent,147835,(+/- 5207 ),67457,(+/- 3756 ),63790,(+/- 3713 ),91062,(+/- 4243 ),131541,(+/- 3934 ),73950,(+/- 3428 ),103419,(+/- 3516 ),77083,(+/- 3687 )
Housing,Gross Rent,Less than $500,15047,(+/- 1962 ),3075,(+/- 990 ),10016,(+/- 1646 ),17566,(+/- 1859 ),16676,(+/- 1981 ),17975,(+/- 1796 ),16887,(+/- 2174 ),21310,(+/- 2039 )
Housing,Gross Rent,$500 to $999,87833,(+/- 3986 ),32932,(+/- 2579 ),38342,(+/- 2775 ),54956,(+/- 3809 ),76013,(+/- 3595 ),39705,(+/- 2809 ),69427,(+/- 3431 ),48881,(+/- 3224 )
Housing,Gross Rent,"$1,000 to $1,499",37193,(+/- 3642 ),22845,(+/- 2550 ),12370,(+/- 1849 ),16033,(+/- 2216 ),32744,(+/- 2981 ),13488,(+/- 2026 ),14205,(+/- 2210 ),5661,(+/- 1098 )
Housing,Gross Rent,"$1,500 to $1,999",6047,(+/- 1343 ),4414,(+/- 1069 ),1980,(+/- 819 ),1940,(+/- 788 ),4909,(+/- 1103 ),2556,(+/- 846 ),2475,(+/- 905 ),1053,(+/- 602 )
Housing,Gross Rent,"$2,000 to $2,499",1220,(+/- 414 ),2335,(+/- 641 ),485,(+/- 371 ),452,(+/- 321 ),823,(+/- 439 ),142,(+/- 129 ),374,(+/- 308 ),151,(+/- 157 )
Housing,Gross Rent,"$2,500 to $2,999",281,(+/- 275 ),929,(+/- 564 ),528,(+/- 721 ),100,(+/- 144 ),215,(+/- 188 ),84,(+/- 138 ),0,(+/- 187 ),27,(+/- 51 )
Housing,Gross Rent,"$3,000 or more",214,(+/- 210 ),927,(+/- 420 ),69,(+/- 114 ),15,(+/- 29 ),161,(+/- 149 ),0,(+/- 187 ),51,(+/- 85 ),0,(+/- 187 )
Housing,Gross Rent,Median (dollars),838,(+/- 18 ),978,(+/- 17 ),777,(+/- 24 ),731,(+/- 21 ),808,(+/- 18 ),716,(+/- 18 ),699,(+/- 17 ),625,(+/- 17 )
Housing,Gross Rent,No rent paid,6225,(+/- 1685 ),3219,(+/- 897 ),3612,(+/- 821 ),7189,(+/- 1277 ),5992,(+/- 1165 ),5141,(+/- 1026 ),7285,(+/- 1334 ),9793,(+/- 1456 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,308116,(+/- 4447 ),305616,(+/- 4634 ),286456,(+/- 3917 ),283792,(+/- 3692 ),313859,(+/- 4467 ),284610,(+/- 3870 ),305390,(+/- 3851 ),284351,(+/- 3885 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",29958,(+/- 2663 ),7684,(+/- 1376 ),12690,(+/- 1448 ),21040,(+/- 2074 ),22320,(+/- 2143 ),14845,(+/- 1737 ),25028,(+/- 2358 ),27050,(+/- 2445 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",17195,(+/- 2198 ),5977,(+/- 974 ),11200,(+/- 1762 ),16776,(+/- 2275 ),17726,(+/- 2049 ),12532,(+/- 1345 ),17146,(+/- 2068 ),24097,(+/- 2018 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",34890,(+/- 2884 ),22021,(+/- 2466 ),24198,(+/- 2450 ),31800,(+/- 2496 ),35676,(+/- 2548 ),29203,(+/- 2209 ),35916,(+/- 2440 ),38355,(+/- 2201 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",37866,(+/- 2775 ),23156,(+/- 2446 ),24715,(+/- 2220 ),33021,(+/- 2966 ),33664,(+/- 2948 ),28087,(+/- 2146 ),40951,(+/- 3373 ),35193,(+/- 2647 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",47121,(+/- 3734 ),35472,(+/- 3010 ),41309,(+/- 3508 ),44322,(+/- 2882 ),50595,(+/- 3389 ),38283,(+/- 2525 ),49326,(+/- 3205 ),41675,(+/- 3234 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",57465,(+/- 3567 ),49197,(+/- 3141 ),57484,(+/- 3729 ),55280,(+/- 3365 ),61943,(+/- 3563 ),54007,(+/- 3331 ),61152,(+/- 3240 ),52044,(+/- 2942 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",31305,(+/- 2796 ),43475,(+/- 2869 ),43026,(+/- 2791 ),36185,(+/- 3038 ),38035,(+/- 2766 ),40860,(+/- 2543 ),33197,(+/- 2876 ),30354,(+/- 2614 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",30089,(+/- 2450 ),59529,(+/- 3708 ),44916,(+/- 2949 ),30196,(+/- 2429 ),33892,(+/- 2322 ),40743,(+/- 2249 ),26650,(+/- 2312 ),24719,(+/- 1865 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",10857,(+/- 1656 ),26789,(+/- 2231 ),15643,(+/- 1928 ),8637,(+/- 1064 ),10387,(+/- 1395 ),15637,(+/- 1739 ),9102,(+/- 1470 ),5618,(+/- 1229 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",11370,(+/- 1637 ),32316,(+/- 2256 ),11275,(+/- 1387 ),6535,(+/- 1280 ),9621,(+/- 1341 ),10413,(+/- 1295 ),6922,(+/- 1292 ),5246,(+/- 1211 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),45172,(+/- 1302 ),79724,(+/- 1940 ),61929,(+/- 1566 ),48065,(+/- 1664 ),48693,(+/- 1423 ),58532,(+/- 1418 ),44619,(+/- 1527 ),40639,(+/- 1140 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),66214,(+/- 2465 ),106576,(+/- 2788 ),76836,(+/- 2055 ),61358,(+/- 1655 ),66221,(+/- 2149 ),74244,(+/- 1865 ),59781,(+/- 1820 ),54697,(+/- 1727 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,726925,(+/- 8405 ),753636,(+/- 11567 ),772279,(+/- 10739 ),731162,(+/- 5336 ),755498,(+/- 6888 ),747738,(+/- 7210 ),768510,(+/- 3568 ),721451,(+/- 5060 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,652795,(+/- 9919 ),720583,(+/- 10580 ),725207,(+/- 11306 ),661882,(+/- 6713 ),671467,(+/- 9774 ),689565,(+/- 8453 ),683839,(+/- 6243 ),639938,(+/- 6615 )
Socioeconomic,Health Insurance Coverage,With private health insurance,478794,(+/- 12237 ),634086,(+/- 10233 ),601460,(+/- 12831 ),515419,(+/- 10065 ),516059,(+/- 11821 ),573232,(+/- 10661 ),511939,(+/- 8412 ),433100,(+/- 8130 )
Socioeconomic,Health Insurance Coverage,With public coverage,240059,(+/- 7547 ),174859,(+/- 5654 ),209324,(+/- 8020 ),247763,(+/- 7331 ),239875,(+/- 8943 ),211496,(+/- 6566 ),264961,(+/- 8671 ),297061,(+/- 8005 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,74130,(+/- 5078 ),33053,(+/- 4588 ),47072,(+/- 4799 ),69280,(+/- 5237 ),84031,(+/- 6023 ),58173,(+/- 4539 ),84671,(+/- 5397 ),81513,(+/- 4891 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,159685,(+/- 3897 ),166606,(+/- 5851 ),186196,(+/- 5130 ),170426,(+/- 2649 ),177258,(+/- 4043 ),181184,(+/- 4012 ),178131,(+/- 2009 ),166985,(+/- 2905 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,5967,(+/- 1905 ),4171,(+/- 1348 ),4192,(+/- 1695 ),11894,(+/- 2017 ),10359,(+/- 2560 ),9218,(+/- 2213 ),8802,(+/- 1807 ),7270,(+/- 1756 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,14.2,(+/- 1.5 ),3.0,(+/- 0.7 ),7.3,(+/- 1.0 ),10.3,(+/- 1.2 ),11.7,(+/- 1.2 ),7.6,(+/- 1.0 ),11.0,(+/- 1.2 ),14.3,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,23.2,(+/- 2.7 ),4.3,(+/- 1.3 ),11.1,(+/- 1.8 ),15.6,(+/- 1.9 ),21.0,(+/- 2.5 ),12.9,(+/- 1.8 ),18.3,(+/- 2.2 ),22.1,(+/- 2.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,19.1,(+/- 5.9 ),2.9,(+/- 2.7 ),11.3,(+/- 3.9 ),17.6,(+/- 4.9 ),19.8,(+/- 4.6 ),14.9,(+/- 4.4 ),22.1,(+/- 5.5 ),24.0,(+/- 5.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,4.5,(+/- 1.1 ),2.1,(+/- 0.6 ),2.5,(+/- 0.5 ),5.3,(+/- 1.1 ),5.0,(+/- 0.9 ),4.3,(+/- 0.9 ),6.4,(+/- 1.0 ),8.8,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,6.4,(+/- 2.3 ),2.4,(+/- 1.1 ),2.0,(+/- 0.6 ),7.0,(+/- 1.9 ),8.2,(+/- 1.9 ),6.3,(+/- 1.6 ),10.1,(+/- 2.0 ),12.1,(+/- 2.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,1.7,(+/- 1.7 ),2.5,(+/- 3.1 ),1.9,(+/- 1.2 ),11.2,(+/- 5.5 ),7.2,(+/- 3.6 ),4.8,(+/- 2.5 ),10.0,(+/- 5.2 ),9.3,(+/- 5.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",26.3,(+/- 3.0 ),8.7,(+/- 3.3 ),29.5,(+/- 4.7 ),32.0,(+/- 4.9 ),29.4,(+/- 4.3 ),26.6,(+/- 4.0 ),30.9,(+/- 4.6 ),34.7,(+/- 4.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,37.5,(+/- 4.6 ),12.1,(+/- 4.6 ),40.2,(+/- 6.5 ),38.5,(+/- 6.5 ),42.5,(+/- 5.9 ),34.4,(+/- 5.3 ),39.8,(+/- 5.4 ),46.3,(+/- 5.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,38.0,(+/- 12.1 ),7.6,(+/- 10.3 ),44.6,(+/- 14.6 ),37.5,(+/- 15.4 ),41.1,(+/- 13.2 ),42.4,(+/- 12.2 ),50.0,(+/- 13.4 ),58.5,(+/- 13.1 )
