Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",21986,(+/- 1700 ),8151,(+/- 987 ),14441,(+/- 1579 ),20118,(+/- 1678 ),17857,(+/- 1928 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",8191,(+/- 1008 ),3115,(+/- 518 ),5862,(+/- 1055 ),8210,(+/- 1345 ),9348,(+/- 1375 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",4020,(+/- 696 ),1882,(+/- 465 ),2533,(+/- 687 ),3462,(+/- 839 ),4664,(+/- 757 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",4279,(+/- 726 ),1474,(+/- 439 ),2041,(+/- 584 ),3341,(+/- 880 ),5691,(+/- 1045 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1226,(+/- 19 ),963,(+/- 16 ),1130,(+/- 20 ),1208,(+/- 25 ),1275,(+/- 29 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,69388,(+/- 2095 ),104972,(+/- 2944 ),97705,(+/- 2905 ),74695,(+/- 2678 ),73927,(+/- 3117 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,10179,(+/- 971 ),34273,(+/- 1591 ),21325,(+/- 1540 ),14729,(+/- 1152 ),14154,(+/- 1450 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,22253,(+/- 1361 ),40271,(+/- 2379 ),35570,(+/- 2380 ),24180,(+/- 1731 ),20784,(+/- 1728 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,23076,(+/- 1592 ),21840,(+/- 1718 ),27346,(+/- 1980 ),23032,(+/- 1844 ),21385,(+/- 2041 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,7900,(+/- 1085 ),6185,(+/- 942 ),10140,(+/- 1267 ),8934,(+/- 1070 ),9606,(+/- 1176 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,2782,(+/- 615 ),1801,(+/- 527 ),2457,(+/- 666 ),2442,(+/- 664 ),3829,(+/- 837 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",3198,(+/- 529 ),602,(+/- 228 ),867,(+/- 325 ),1378,(+/- 470 ),4169,(+/- 885 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),416,(+/- 10 ),311,(+/- 6 ),363,(+/- 8 ),391,(+/- 10 ),417,(+/- 13 )
Housing,Gross Rent,Occupied units paying rent,114913,(+/- 2967 ),67265,(+/- 2490 ),75416,(+/- 3070 ),94687,(+/- 3681 ),120356,(+/- 3859 )
Housing,Gross Rent,Less than $500,13156,(+/- 954 ),18142,(+/- 1337 ),14856,(+/- 1612 ),12998,(+/- 1596 ),15437,(+/- 1600 )
Housing,Gross Rent,$500 to $999,71503,(+/- 2472 ),43180,(+/- 1981 ),46452,(+/- 2956 ),56829,(+/- 3435 ),75545,(+/- 3597 )
Housing,Gross Rent,"$1,000 to $1,499",24564,(+/- 1641 ),5453,(+/- 899 ),11849,(+/- 1639 ),18737,(+/- 2358 ),22346,(+/- 1914 )
Housing,Gross Rent,"$1,500 to $1,999",4214,(+/- 765 ),453,(+/- 293 ),1713,(+/- 770 ),4656,(+/- 1043 ),4920,(+/- 1237 )
Housing,Gross Rent,"$2,000 to $2,499",622,(+/- 284 ),29,(+/- 52 ),401,(+/- 315 ),1198,(+/- 630 ),1146,(+/- 487 )
Housing,Gross Rent,"$2,500 to $2,999",280,(+/- 169 ),8,(+/- 15 ),58,(+/- 100 ),114,(+/- 191 ),438,(+/- 344 )
Housing,Gross Rent,"$3,000 or more",574,(+/- 262 ),0,(+/- 159 ),87,(+/- 113 ),155,(+/- 245 ),524,(+/- 357 )
Housing,Gross Rent,Median (dollars),798,(+/- 12 ),634,(+/- 10 ),702,(+/- 20 ),764,(+/- 20 ),775,(+/- 16 )
Housing,Gross Rent,No rent paid,6367,(+/- 865 ),12046,(+/- 1047 ),11620,(+/- 1303 ),6243,(+/- 998 ),6877,(+/- 1290 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,312495,(+/- 1842 ),275946,(+/- 2458 ),281394,(+/- 3451 ),290128,(+/- 4062 ),309379,(+/- 3015 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",23439,(+/- 1636 ),25609,(+/- 1897 ),23510,(+/- 1850 ),19437,(+/- 2316 ),23210,(+/- 2234 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",14696,(+/- 1444 ),19552,(+/- 1306 ),17865,(+/- 1641 ),14340,(+/- 1301 ),16636,(+/- 1641 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",32418,(+/- 2032 ),38361,(+/- 1905 ),32464,(+/- 2325 ),28600,(+/- 2382 ),35902,(+/- 2489 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",32561,(+/- 2097 ),36317,(+/- 1895 ),30933,(+/- 2217 ),30744,(+/- 2558 ),34398,(+/- 2478 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",45688,(+/- 2410 ),41837,(+/- 2034 ),40150,(+/- 2504 ),39103,(+/- 2659 ),45215,(+/- 2896 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",56434,(+/- 2569 ),52009,(+/- 2210 ),51553,(+/- 2998 ),58005,(+/- 3417 ),54927,(+/- 2908 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",35525,(+/- 1926 ),27003,(+/- 1912 ),34157,(+/- 2377 ),42237,(+/- 3048 ),34560,(+/- 2656 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",42610,(+/- 2019 ),23347,(+/- 1519 ),33426,(+/- 2302 ),36815,(+/- 2730 ),35520,(+/- 2778 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",14322,(+/- 1369 ),7725,(+/- 872 ),9313,(+/- 1058 ),11343,(+/- 1520 ),14087,(+/- 1717 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",14802,(+/- 1392 ),4186,(+/- 637 ),8023,(+/- 1250 ),9504,(+/- 1279 ),14924,(+/- 1611 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),52319,(+/- 961 ),40770,(+/- 708 ),47724,(+/- 1491 ),55183,(+/- 1546 ),49616,(+/- 1605 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),73741,(+/- 1672 ),54123,(+/- 1030 ),62979,(+/- 1483 ),69188,(+/- 1628 ),71129,(+/- 1653 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,791705,(+/- 2105 ),732671,(+/- 3338 ),759469,(+/- 3244 ),758776,(+/- 4167 ),803076,(+/- 4783 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,686801,(+/- 4622 ),602066,(+/- 5093 ),662852,(+/- 6855 ),675904,(+/- 6636 ),688416,(+/- 7090 )
Socioeconomic,Health Insurance Coverage,With private health insurance,523010,(+/- 6395 ),396440,(+/- 5913 ),503600,(+/- 9424 ),535664,(+/- 8881 ),502272,(+/- 9605 )
Socioeconomic,Health Insurance Coverage,With public coverage,252457,(+/- 5387 ),304691,(+/- 4800 ),254015,(+/- 6475 ),240229,(+/- 6275 ),277853,(+/- 8452 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,104904,(+/- 4286 ),130605,(+/- 4423 ),96617,(+/- 5991 ),82872,(+/- 5078 ),114660,(+/- 6076 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,201063,(+/- 1012 ),176130,(+/- 1407 ),189315,(+/- 2182 ),184017,(+/- 2824 ),209325,(+/- 2368 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,12888,(+/- 1639 ),23378,(+/- 1797 ),12910,(+/- 2121 ),10742,(+/- 1758 ),10171,(+/- 1757 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,11.2,(+/- 0.7 ),14.0,(+/- 0.8 ),11.5,(+/- 0.7 ),8.6,(+/- 0.9 ),12.3,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,19.3,(+/- 1.3 ),22.4,(+/- 1.4 ),18.3,(+/- 1.5 ),13.1,(+/- 1.6 ),20.6,(+/- 1.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,18.7,(+/- 3.2 ),24.8,(+/- 4.3 ),17.6,(+/- 4.1 ),8.8,(+/- 2.6 ),24.5,(+/- 4.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,4.9,(+/- 0.7 ),8.2,(+/- 0.8 ),5.3,(+/- 0.6 ),4.2,(+/- 0.7 ),5.2,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,7.8,(+/- 1.4 ),12.4,(+/- 1.5 ),7.1,(+/- 1.3 ),5.9,(+/- 1.2 ),7.8,(+/- 1.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,5.6,(+/- 2.3 ),10.5,(+/- 3.3 ),7.9,(+/- 4.2 ),4.9,(+/- 2.3 ),7.9,(+/- 4.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",33.6,(+/- 2.7 ),35.6,(+/- 2.9 ),38.4,(+/- 3.7 ),27.1,(+/- 4.1 ),34.5,(+/- 3.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,46.2,(+/- 3.5 ),46.6,(+/- 3.5 ),49.3,(+/- 5.1 ),33.7,(+/- 5.3 ),48.3,(+/- 5.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,51.3,(+/- 10.6 ),57.0,(+/- 9.3 ),46.7,(+/- 12.2 ),23.5,(+/- 10.5 ),65.7,(+/- 9.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,15.4,(+/- 0.7 ),18.9,(+/- 0.8 ),16.4,(+/- 0.9 ),13.5,(+/- 0.9 ),17.3,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,23.7,(+/- 1.5 ),26.3,(+/- 1.7 ),21.2,(+/- 2.0 ),16.4,(+/- 2.0 ),26.5,(+/- 2.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,23.4,(+/- 1.5 ),25.9,(+/- 1.7 ),20.8,(+/- 2.0 ),16.1,(+/- 1.9 ),26.2,(+/- 2.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,27.1,(+/- 2.8 ),28.0,(+/- 2.8 ),20.5,(+/- 3.0 ),16.0,(+/- 2.9 ),32.6,(+/- 4.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,22.0,(+/- 1.5 ),25.1,(+/- 1.8 ),20.9,(+/- 2.4 ),16.2,(+/- 2.0 ),23.4,(+/- 3.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,12.5,(+/- 0.6 ),16.6,(+/- 0.7 ),14.7,(+/- 0.7 ),12.6,(+/- 0.8 ),14.1,(+/- 0.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,7.3,(+/- 1.0 ),10.4,(+/- 1.0 ),9.1,(+/- 1.1 ),8.1,(+/- 1.3 ),7.5,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,13.1,(+/- 0.8 ),15.8,(+/- 0.9 ),12.8,(+/- 0.9 ),9.6,(+/- 1.0 ),14.9,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,24.7,(+/- 1.4 ),34.2,(+/- 1.5 ),32.5,(+/- 2.0 ),30.4,(+/- 2.0 ),26.0,(+/- 1.9 )
Education,School Enrollment,Population 3 years and over enrolled in school,203425,(+/- 3022 ),177822,(+/- 3072 ),204780,(+/- 3825 ),210411,(+/- 4891 ),208151,(+/- 4164 )
Education,School Enrollment,"Nursery school, preschool",13434,(+/- 1462 ),12631,(+/- 1070 ),12572,(+/- 1159 ),12265,(+/- 1467 ),13421,(+/- 1997 )
Education,School Enrollment,Kindergarten,9946,(+/- 1186 ),10795,(+/- 1018 ),13329,(+/- 1441 ),10694,(+/- 1513 ),10599,(+/- 1714 )
Education,School Enrollment,Elementary school (grades 1-8),91812,(+/- 1802 ),80490,(+/- 1931 ),84883,(+/- 2360 ),83547,(+/- 3411 ),94593,(+/- 2916 )
Education,School Enrollment,High school (grades 9-12),43110,(+/- 1345 ),39658,(+/- 1612 ),40905,(+/- 1996 ),40666,(+/- 2681 ),42066,(+/- 2070 )
Education,School Enrollment,College or graduate school,45123,(+/- 2545 ),34248,(+/- 2320 ),53091,(+/- 2891 ),63239,(+/- 3924 ),47472,(+/- 3364 )
Education,Educational Attainment,Population 25 years and over,525844,(+/- 1440 ),504072,(+/- 2308 ),504253,(+/- 3506 ),506434,(+/- 3438 ),531033,(+/- 2352 )
Education,Educational Attainment,Less than 9th grade,20666,(+/- 1670 ),21912,(+/- 1616 ),17455,(+/- 1832 ),13982,(+/- 1817 ),29237,(+/- 2609 )
Education,Educational Attainment,"9th to 12th grade, no diploma",34265,(+/- 2088 ),51803,(+/- 2497 ),42117,(+/- 3487 ),37917,(+/- 2667 ),43672,(+/- 3193 )
Education,Educational Attainment,High school graduate (includes equivalency),144225,(+/- 4654 ),188112,(+/- 3991 ),171287,(+/- 5823 ),160205,(+/- 5847 ),138700,(+/- 4902 )
Education,Educational Attainment,"Some college, no degree",123441,(+/- 3813 ),114405,(+/- 3239 ),118455,(+/- 4100 ),125108,(+/- 5381 ),122417,(+/- 4771 )
Education,Educational Attainment,Associate's degree,44704,(+/- 2411 ),42137,(+/- 2002 ),39559,(+/- 3110 ),40010,(+/- 2772 ),37180,(+/- 2943 )
Education,Educational Attainment,Bachelor's degree,108669,(+/- 4017 ),57441,(+/- 2692 ),79335,(+/- 3909 ),85169,(+/- 4991 ),102308,(+/- 4736 )
Education,Educational Attainment,Graduate or professional degree,49874,(+/- 2537 ),28262,(+/- 1929 ),36045,(+/- 1945 ),44043,(+/- 3111 ),57519,(+/- 3424 )
Education,Educational Attainment,Percent high school graduate or higher,89.6,(+/- 0.5 ),85.4,(+/- 0.6 ),88.2,(+/- 0.8 ),89.8,(+/- 0.6 ),86.3,(+/- 0.7 )
Education,Educational Attainment,Percent bachelor's degree or higher,30.2,(+/- 0.9 ),17.0,(+/- 0.7 ),22.9,(+/- 0.9 ),25.5,(+/- 1.2 ),30.1,(+/- 1.0 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag,District 03 Estimate,District 03 Flag,District 04 Estimate,District 04 Flag,District 05 Estimate,District 05 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,375824,G,162732,G,200544,G,212117,G,380144,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",25,H,386,G,236,G,65,G,28,H
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",7159,G,3028,G,15660,G,5561,G,14967,G
Business,Paid employees for pay period including March 12,Utilities,1932,H,1663,H,1667,H,1026,G,2252,J
Business,Paid employees for pay period including March 12,Construction,18953,G,7430,G,14387,G,11180,G,19166,G
Business,Paid employees for pay period including March 12,Manufacturing,47389,G,24278,G,25964,G,19113,G,24253,G
Business,Paid employees for pay period including March 12,Wholesale trade,18853,G,5265,G,8914,G,5900,G,20077,G
Business,Paid employees for pay period including March 12,Retail trade,44779,G,26834,G,30907,G,35526,G,45671,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,13427,G,4399,G,10276,G,6796,G,14454,G
Business,Paid employees for pay period including March 12,Information,12665,G,1814,H,2744,G,3211,G,8668,G
Business,Paid employees for pay period including March 12,Finance and insurance,16099,G,6195,G,7457,G,8167,G,20124,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,7374,G,1619,G,3741,G,3935,G,6683,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",22501,G,4145,G,6885,G,10606,G,24241,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,15254,G,1098,G,1452,G,2507,H,17379,G
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,26002,G,6780,G,7188,G,10975,G,28704,G
Business,Paid employees for pay period including March 12,Educational services,8244,G,702,H,851,G,1937,G,9553,G
Business,Paid employees for pay period including March 12,Health care and social assistance,55459,G,37984,G,26031,G,37078,G,57605,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",6515,H,3189,H,4904,H,7649,H,6237,G
Business,Paid employees for pay period including March 12,Accommodation and food services,35681,G,19313,G,21296,G,30346,G,42040,G
Business,Paid employees for pay period including March 12,Other services (except public administration),17485,G,6579,G,9949,G,10514,G,17970,G
Business,Paid employees for pay period including March 12,Industries not classified,28,J,31,J,35,J,25,H,72,G
Business,"Annual payroll ($1,000)",Total for all sectors,18085556,G,5449648,G,7709249,G,7581255,G,17916233,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",974,H,13952,G,11490,G,2018,H,1150,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",779434,H,195402,H,987098,G,310478,G,1492575,H
Business,"Annual payroll ($1,000)",Utilities,184640,H,129254,H,125423,H,71414,H,199938,J
Business,"Annual payroll ($1,000)",Construction,1159533,G,315499,G,721845,G,571309,G,992047,G
Business,"Annual payroll ($1,000)",Manufacturing,2581708,G,1126523,G,1311377,G,951451,G,1150956,G
Business,"Annual payroll ($1,000)",Wholesale trade,1157185,G,210990,G,420950,G,261915,G,1112457,G
Business,"Annual payroll ($1,000)",Retail trade,1152795,G,640233,G,780899,G,908670,G,1259511,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,826309,G,171624,G,541913,G,301947,G,806005,G
Business,"Annual payroll ($1,000)",Information,749113,G,74102,G,110639,G,156826,H,499873,G
Business,"Annual payroll ($1,000)",Finance and insurance,1161292,G,246638,G,350014,G,354700,G,1318014,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,307436,G,51238,G,163577,G,150259,G,336239,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1534057,G,162102,G,310301,G,513527,G,1559741,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,1594951,G,70649,G,74491,G,138202,H,1643959,H
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,800886,G,171645,G,237001,G,435993,H,1018106,G
Business,"Annual payroll ($1,000)",Educational services,257222,G,13317,H,22398,H,51528,G,256183,G
Business,"Annual payroll ($1,000)",Health care and social assistance,2603025,G,1336940,G,892390,G,1478999,G,2855038,H
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",180097,H,84875,H,133410,H,233560,H,266286,H
Business,"Annual payroll ($1,000)",Accommodation and food services,556030,G,300182,G,286074,G,431673,G,656340,G
Business,"Annual payroll ($1,000)",Other services (except public administration),498304,G,134033,G,227365,G,256415,G,490774,G
Business,"Annual payroll ($1,000)",Industries not classified,565,G,450,G,594,H,371,H,1041,G
Business,Total Establishments,Total for all sectors,21417,X,13066,X,17396,X,16693,X,24083,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",11,X,67,X,53,X,23,X,9,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",396,X,265,X,1086,X,587,X,816,X
Business,Total Establishments,Utilities,51,X,100,X,105,X,56,X,51,X
Business,Total Establishments,Construction,1767,X,1081,X,1788,X,1652,X,1893,X
Business,Total Establishments,Manufacturing,1010,X,604,X,661,X,484,X,751,X
Business,Total Establishments,Wholesale trade,1327,X,499,X,813,X,567,X,1329,X
Business,Total Establishments,Retail trade,2681,X,2311,X,2633,X,2580,X,3095,X
Business,Total Establishments,Transportation and warehousing,498,X,400,X,803,X,505,X,546,X
Business,Total Establishments,Information,379,X,191,X,246,X,236,X,370,X
Business,Total Establishments,Finance and insurance,1507,X,1004,X,1164,X,1181,X,1830,X
Business,Total Establishments,Real estate and rental and leasing,1037,X,447,X,694,X,833,X,1158,X
Business,Total Establishments,"Professional, scientific, and technical services",2630,X,998,X,1359,X,1695,X,3055,X
Business,Total Establishments,Management of companies and enterprises,196,X,61,X,68,X,76,X,207,X
Business,Total Establishments,Administrative and support and waste management and remediation services,1201,X,482,X,703,X,721,X,1305,X
Business,Total Establishments,Educational services,215,X,49,X,100,X,155,X,228,X
Business,Total Establishments,Health care and social assistance,2369,X,1787,X,1599,X,2063,X,3099,X
Business,Total Establishments,"Arts, entertainment, and recreation",268,X,161,X,217,X,211,X,269,X
Business,Total Establishments,Accommodation and food services,1809,X,1127,X,1417,X,1472,X,1956,X
Business,Total Establishments,Other services (except public administration),2034,X,1403,X,1855,X,1573,X,2089,X
Business,Total Establishments,Industries not classified,31,X,29,X,32,X,23,X,27,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
