Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE
Business,"Annual payroll ($1,000)",Transportation and warehousing,336935,H,291571,G
Business,"Annual payroll ($1,000)",Information,365836,H,186804,G
Business,"Annual payroll ($1,000)",Finance and insurance,1269037,G,460481,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,178761,G,78902,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1018868,G,351871,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,555693,H,154708,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,466958,G,241741,G
Business,"Annual payroll ($1,000)",Educational services,370222,G,168730,G
Business,"Annual payroll ($1,000)",Health care and social assistance,2786761,G,1959427,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",120813,G,63674,H
Business,"Annual payroll ($1,000)",Accommodation and food services,716492,G,359536,G
Business,"Annual payroll ($1,000)",Other services (except public administration),356054,G,181647,G
Business,"Annual payroll ($1,000)",Industries not classified,2161,G,1695,G
Business,Total Establishments,Total for all sectors,23151,X,17382,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",329,X,570,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",10,X,11,X
Business,Total Establishments,Utilities,43,X,44,X
Business,Total Establishments,Construction,2696,X,2137,X
Business,Total Establishments,Manufacturing,888,X,772,X
Business,Total Establishments,Wholesale trade,848,X,666,X
Business,Total Establishments,Retail trade,3329,X,2949,X
Business,Total Establishments,Transportation and warehousing,481,X,728,X
Business,Total Establishments,Information,466,X,301,X
Business,Total Establishments,Finance and insurance,1113,X,712,X
Business,Total Establishments,Real estate and rental and leasing,1006,X,623,X
Business,Total Establishments,"Professional, scientific, and technical services",2386,X,1070,X
Business,Total Establishments,Management of companies and enterprises,133,X,80,X
Business,Total Establishments,Administrative and support and waste management and remediation services,1261,X,840,X
Business,Total Establishments,Educational services,307,X,178,X
Business,Total Establishments,Health care and social assistance,2736,X,2073,X
Business,Total Establishments,"Arts, entertainment, and recreation",519,X,360,X
Business,Total Establishments,Accommodation and food services,2478,X,1643,X
Business,Total Establishments,Other services (except public administration),2052,X,1575,X
Business,Total Establishments,Industries not classified,70,X,50,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
