Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE
People,Ancestry,Irish,94839,(+/- 6584 ),49118,(+/- 4318 ),118450,(+/- 5019 ),94695,(+/- 6136 ),105355,(+/- 5415 ),146737,(+/- 8073 ),178660,(+/- 8404 ),169609,(+/- 9055 ),98737,(+/- 5331 ),109995,(+/- 6854 ),96344,(+/- 6203 ),127807,(+/- 7150 ),128184,(+/- 6788 ),119180,(+/- 6184 ),87804,(+/- 5481 ),78811,(+/- 6181 ),126771,(+/- 6919 ),128278,(+/- 6753 )
People,Ancestry,Italian,67242,(+/- 5140 ),34801,(+/- 3820 ),87335,(+/- 4875 ),45865,(+/- 5024 ),60030,(+/- 3944 ),103560,(+/- 5732 ),122191,(+/- 6867 ),109982,(+/- 6418 ),61815,(+/- 4219 ),64861,(+/- 4149 ),70807,(+/- 4261 ),115526,(+/- 6171 ),83441,(+/- 7039 ),94958,(+/- 5675 ),68674,(+/- 4895 ),48787,(+/- 4660 ),117120,(+/- 6918 ),125543,(+/- 6932 )
People,Ancestry,Lithuanian,2056,(+/- 690 ),1360,(+/- 566 ),1839,(+/- 760 ),2346,(+/- 837 ),1768,(+/- 686 ),3004,(+/- 887 ),3995,(+/- 1323 ),5356,(+/- 1937 ),1242,(+/- 520 ),2833,(+/- 887 ),8496,(+/- 1723 ),3660,(+/- 1076 ),4473,(+/- 1122 ),3597,(+/- 886 ),2994,(+/- 1081 ),3317,(+/- 1326 ),13566,(+/- 2023 ),3853,(+/- 968 )
People,Ancestry,Norwegian,1558,(+/- 561 ),992,(+/- 519 ),1742,(+/- 531 ),2666,(+/- 798 ),2328,(+/- 840 ),4435,(+/- 1108 ),3308,(+/- 1217 ),3291,(+/- 967 ),1602,(+/- 763 ),3344,(+/- 1410 ),2487,(+/- 1123 ),1449,(+/- 637 ),2268,(+/- 925 ),1657,(+/- 538 ),1531,(+/- 754 ),2256,(+/- 1083 ),3146,(+/- 1148 ),2002,(+/- 811 )
People,Ancestry,Polish,26939,(+/- 3242 ),17996,(+/- 2899 ),56281,(+/- 3860 ),26769,(+/- 3093 ),47881,(+/- 3932 ),42207,(+/- 3814 ),36603,(+/- 3853 ),56654,(+/- 5942 ),36734,(+/- 3700 ),39891,(+/- 3869 ),74544,(+/- 3618 ),63087,(+/- 4329 ),41009,(+/- 3951 ),49333,(+/- 3355 ),31448,(+/- 3077 ),21070,(+/- 3070 ),77029,(+/- 5665 ),66409,(+/- 4876 )
People,Ancestry,Portuguese,2290,(+/- 877 ),920,(+/- 371 ),389,(+/- 221 ),735,(+/- 745 ),987,(+/- 510 ),1294,(+/- 970 ),1545,(+/- 816 ),1218,(+/- 651 ),597,(+/- 478 ),1981,(+/- 1036 ),775,(+/- 540 ),324,(+/- 266 ),2626,(+/- 1639 ),639,(+/- 378 ),3343,(+/- 1808 ),950,(+/- 543 ),2221,(+/- 1006 ),683,(+/- 458 )
People,Ancestry,Russian,5336,(+/- 1163 ),12721,(+/- 1904 ),5181,(+/- 1085 ),5351,(+/- 2271 ),5589,(+/- 1413 ),8234,(+/- 1756 ),10561,(+/- 1754 ),17284,(+/- 2646 ),5367,(+/- 1185 ),9487,(+/- 2010 ),9584,(+/- 1815 ),9609,(+/- 1562 ),18862,(+/- 2756 ),11856,(+/- 1748 ),6732,(+/- 1223 ),3239,(+/- 1269 ),12292,(+/- 2426 ),11540,(+/- 2607 )
People,Ancestry,Scotch-Irish,2323,(+/- 763 ),2630,(+/- 835 ),17312,(+/- 2319 ),8587,(+/- 1414 ),12497,(+/- 1742 ),7543,(+/- 1466 ),8493,(+/- 1638 ),5458,(+/- 1059 ),11670,(+/- 1491 ),8728,(+/- 1590 ),5692,(+/- 1067 ),13369,(+/- 1874 ),3799,(+/- 1131 ),8877,(+/- 1413 ),6294,(+/- 2568 ),8473,(+/- 1498 ),3783,(+/- 1142 ),19094,(+/- 2342 )
People,Ancestry,Scottish,4645,(+/- 1635 ),4521,(+/- 923 ),12489,(+/- 1709 ),11046,(+/- 1953 ),13916,(+/- 1940 ),13821,(+/- 2167 ),11496,(+/- 1565 ),12353,(+/- 2328 ),12183,(+/- 1582 ),12821,(+/- 1785 ),10647,(+/- 2122 ),12951,(+/- 2365 ),6243,(+/- 1265 ),11036,(+/- 1694 ),9527,(+/- 1939 ),9695,(+/- 1428 ),10714,(+/- 3035 ),15067,(+/- 2005 )
People,Ancestry,Slovak,996,(+/- 467 ),1340,(+/- 835 ),18146,(+/- 2198 ),4202,(+/- 1665 ),8645,(+/- 1482 ),7955,(+/- 3007 ),3250,(+/- 976 ),4674,(+/- 1154 ),17652,(+/- 2270 ),5058,(+/- 1366 ),16389,(+/- 1999 ),26360,(+/- 2953 ),1426,(+/- 487 ),25412,(+/- 2360 ),12771,(+/- 2163 ),3313,(+/- 1149 ),13595,(+/- 1495 ),32219,(+/- 3306 )
People,Ancestry,Subsaharan African,30333,(+/- 5212 ),16362,(+/- 3520 ),4425,(+/- 1283 ),3844,(+/- 1497 ),3711,(+/- 1463 ),1878,(+/- 751 ),5425,(+/- 2058 ),4048,(+/- 1890 ),2773,(+/- 1075 ),991,(+/- 464 ),1040,(+/- 580 ),1373,(+/- 964 ),12850,(+/- 4568 ),16033,(+/- 3958 ),2048,(+/- 758 ),6931,(+/- 2743 ),4662,(+/- 2110 ),1901,(+/- 1044 )
People,Ancestry,Swedish,2111,(+/- 746 ),2261,(+/- 740 ),8995,(+/- 1934 ),3396,(+/- 852 ),17455,(+/- 2173 ),5493,(+/- 1563 ),4932,(+/- 1324 ),5433,(+/- 1847 ),4182,(+/- 1104 ),4557,(+/- 1172 ),4123,(+/- 1584 ),6265,(+/- 1495 ),3471,(+/- 1209 ),4746,(+/- 860 ),4794,(+/- 1431 ),4360,(+/- 999 ),3652,(+/- 1517 ),6849,(+/- 1175 )
People,Ancestry,Swiss,530,(+/- 381 ),1789,(+/- 877 ),3570,(+/- 1394 ),3926,(+/- 1036 ),4807,(+/- 1797 ),5213,(+/- 1895 ),4790,(+/- 1442 ),4273,(+/- 1102 ),4246,(+/- 1656 ),6012,(+/- 2194 ),2457,(+/- 744 ),2674,(+/- 853 ),1170,(+/- 489 ),1588,(+/- 626 ),4123,(+/- 1111 ),20006,(+/- 4575 ),2167,(+/- 1097 ),1510,(+/- 657 )
People,Ancestry,Ukrainian,2793,(+/- 741 ),3155,(+/- 889 ),4334,(+/- 1207 ),1894,(+/- 744 ),3007,(+/- 859 ),5396,(+/- 1398 ),7682,(+/- 1730 ),14900,(+/- 3419 ),1796,(+/- 512 ),4350,(+/- 1203 ),5974,(+/- 1099 ),9469,(+/- 2111 ),16904,(+/- 3618 ),7786,(+/- 1826 ),7546,(+/- 1280 ),2185,(+/- 1026 ),8311,(+/- 1693 ),7589,(+/- 1430 )
People,Ancestry,Welsh,2659,(+/- 837 ),2225,(+/- 673 ),9402,(+/- 2293 ),8379,(+/- 1653 ),5888,(+/- 1260 ),9453,(+/- 1956 ),8976,(+/- 1724 ),8703,(+/- 2414 ),7555,(+/- 1256 ),12422,(+/- 2148 ),18401,(+/- 2313 ),9894,(+/- 1968 ),4116,(+/- 1173 ),5742,(+/- 1180 ),10111,(+/- 1650 ),9143,(+/- 1986 ),20142,(+/- 2504 ),9545,(+/- 2191 )
People,Ancestry,West Indian (excluding Hispanic origin groups),16800,(+/- 3988 ),17955,(+/- 4239 ),1060,(+/- 844 ),1515,(+/- 835 ),963,(+/- 636 ),2240,(+/- 1340 ),3383,(+/- 1670 ),5054,(+/- 2221 ),1186,(+/- 714 ),3123,(+/- 1465 ),1576,(+/- 832 ),636,(+/- 340 ),20926,(+/- 5639 ),3770,(+/- 1420 ),5362,(+/- 2272 ),2452,(+/- 994 ),6425,(+/- 2225 ),845,(+/- 533 )
People,Veteran Status,Civilian population 18 years and over,552684,(+/- 12815 ),570897,(+/- 11250 ),552810,(+/- 3194 ),569813,(+/- 3942 ),567941,(+/- 3592 ),573195,(+/- 7982 ),553974,(+/- 7456 ),560824,(+/- 4311 ),550314,(+/- 3559 ),546921,(+/- 5503 ),562510,(+/- 6347 ),556420,(+/- 6313 ),561630,(+/- 9843 ),578787,(+/- 6372 ),567251,(+/- 5996 ),549799,(+/- 5869 ),561751,(+/- 7165 ),565977,(+/- 6811 )
People,Veteran Status,Civilian veterans,24478,(+/- 2185 ),28393,(+/- 2236 ),51591,(+/- 2448 ),51896,(+/- 2907 ),52788,(+/- 2863 ),42721,(+/- 2871 ),36057,(+/- 2521 ),40265,(+/- 2419 ),51779,(+/- 2367 ),51653,(+/- 2474 ),53327,(+/- 2957 ),52150,(+/- 2879 ),31192,(+/- 2185 ),43268,(+/- 2795 ),41589,(+/- 2360 ),38810,(+/- 2253 ),49549,(+/- 3220 ),49789,(+/- 2937 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,714216,(+/- 19459 ),704946,(+/- 16805 ),679898,(+/- 5517 ),714989,(+/- 4664 ),674737,(+/- 5609 ),728661,(+/- 11710 ),698979,(+/- 12010 ),703893,(+/- 6390 ),679517,(+/- 5543 ),672065,(+/- 7703 ),690785,(+/- 8074 ),687167,(+/- 8685 ),723784,(+/- 15396 ),686801,(+/- 8260 ),717964,(+/- 8391 ),718472,(+/- 8729 ),684769,(+/- 9703 ),697779,(+/- 9520 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,113834,(+/- 6982 ),103198,(+/- 5373 ),109901,(+/- 4438 ),100089,(+/- 4500 ),107889,(+/- 4167 ),76210,(+/- 4146 ),71076,(+/- 4308 ),82528,(+/- 4230 ),120338,(+/- 5221 ),106549,(+/- 5241 ),97369,(+/- 5274 ),98569,(+/- 4799 ),95321,(+/- 5080 ),108152,(+/- 5245 ),96637,(+/- 5532 ),100446,(+/- 4631 ),108351,(+/- 5208 ),96022,(+/- 4761 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,168881,(+/- 8509 ),139992,(+/- 7827 ),139533,(+/- 2677 ),156081,(+/- 2858 ),131638,(+/- 2697 ),163323,(+/- 6661 ),157003,(+/- 6671 ),147861,(+/- 2985 ),138904,(+/- 3186 ),141515,(+/- 3456 ),143356,(+/- 4252 ),140796,(+/- 4789 ),169417,(+/- 8577 ),117066,(+/- 4647 ),157817,(+/- 4499 ),175563,(+/- 5017 ),137894,(+/- 4559 ),140061,(+/- 5450 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,9138,(+/- 1798 ),7599,(+/- 1628 ),9182,(+/- 1414 ),10096,(+/- 1566 ),8547,(+/- 1370 ),6423,(+/- 1560 ),4960,(+/- 1062 ),6700,(+/- 1332 ),9141,(+/- 1524 ),7395,(+/- 1146 ),6771,(+/- 1419 ),7699,(+/- 1512 ),7291,(+/- 1399 ),7134,(+/- 1350 ),9029,(+/- 1386 ),11635,(+/- 1776 ),7640,(+/- 1716 ),5398,(+/- 1029 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,466646,(+/- 12539 ),469202,(+/- 10559 ),415296,(+/- 3936 ),439191,(+/- 3962 ),421428,(+/- 3795 ),453298,(+/- 7704 ),418298,(+/- 7389 ),433361,(+/- 4264 ),409688,(+/- 3680 ),399635,(+/- 5507 ),424482,(+/- 5903 ),407740,(+/- 6597 ),445727,(+/- 10116 ),454047,(+/- 6069 ),439181,(+/- 6007 ),431813,(+/- 5272 ),423622,(+/- 7640 ),419775,(+/- 7064 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,71990,(+/- 5553 ),59355,(+/- 4091 ),55254,(+/- 3165 ),48321,(+/- 3603 ),54715,(+/- 3202 ),37129,(+/- 3073 ),31747,(+/- 2895 ),39263,(+/- 2545 ),62370,(+/- 3768 ),53460,(+/- 3620 ),48631,(+/- 3425 ),41977,(+/- 3031 ),49334,(+/- 4126 ),57167,(+/- 3792 ),48993,(+/- 4597 ),50428,(+/- 3417 ),55201,(+/- 4453 ),44562,(+/- 3187 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,78689,(+/- 3893 ),95752,(+/- 2882 ),125069,(+/- 1824 ),119717,(+/- 2126 ),121671,(+/- 1880 ),112040,(+/- 3405 ),123678,(+/- 3066 ),122671,(+/- 1901 ),130925,(+/- 2064 ),130915,(+/- 2941 ),122947,(+/- 3585 ),138631,(+/- 3873 ),108640,(+/- 3832 ),115688,(+/- 3890 ),120966,(+/- 2904 ),111096,(+/- 2575 ),123253,(+/- 3651 ),137943,(+/- 3685 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,32706,(+/- 2891 ),36244,(+/- 2756 ),45465,(+/- 2340 ),41672,(+/- 2631 ),44627,(+/- 2154 ),32658,(+/- 2354 ),34369,(+/- 2319 ),36565,(+/- 2734 ),48827,(+/- 2550 ),45694,(+/- 2574 ),41967,(+/- 2636 ),48893,(+/- 2841 ),38696,(+/- 2835 ),43851,(+/- 2446 ),38615,(+/- 2789 ),38383,(+/- 2417 ),45510,(+/- 2751 ),46062,(+/- 3087 )
People,Residence 1 Year Ago,Population 1 year and over,710263,(+/- 18854 ),701542,(+/- 16747 ),686829,(+/- 4808 ),718459,(+/- 5004 ),694121,(+/- 4609 ),729666,(+/- 11566 ),706099,(+/- 11834 ),702657,(+/- 6193 ),683101,(+/- 5306 ),682759,(+/- 7304 ),699910,(+/- 8617 ),690860,(+/- 7902 ),721822,(+/- 14845 ),688553,(+/- 7881 ),717820,(+/- 8235 ),716895,(+/- 8562 ),693449,(+/- 9680 ),700688,(+/- 9659 )
People,Residence 1 Year Ago,Same house,604577,(+/- 18995 ),583728,(+/- 16423 ),602250,(+/- 8346 ),622555,(+/- 9815 ),580163,(+/- 7810 ),637714,(+/- 12285 ),636549,(+/- 11386 ),637038,(+/- 9476 ),604830,(+/- 7712 ),603055,(+/- 6698 ),609177,(+/- 8555 ),620831,(+/- 8818 ),629767,(+/- 15067 ),570859,(+/- 9512 ),610556,(+/- 10752 ),624799,(+/- 10501 ),606082,(+/- 11010 ),631831,(+/- 10783 )
People,Residence 1 Year Ago,Different house in the U.S.,97478,(+/- 8971 ),111840,(+/- 8348 ),82561,(+/- 7360 ),92819,(+/- 7623 ),110403,(+/- 6734 ),89476,(+/- 8179 ),66338,(+/- 5626 ),62830,(+/- 6660 ),77247,(+/- 6648 ),77172,(+/- 6178 ),85781,(+/- 6917 ),68072,(+/- 4814 ),84971,(+/- 8264 ),111541,(+/- 6980 ),103508,(+/- 7892 ),88545,(+/- 8490 ),83983,(+/- 6448 ),65766,(+/- 6057 )
People,Residence 1 Year Ago,Same county,65943,(+/- 8041 ),71589,(+/- 7119 ),53195,(+/- 5067 ),54705,(+/- 6558 ),62573,(+/- 5716 ),52640,(+/- 6947 ),31886,(+/- 3724 ),35157,(+/- 4844 ),46447,(+/- 5720 ),46145,(+/- 5639 ),49584,(+/- 5110 ),42832,(+/- 4512 ),50876,(+/- 7164 ),76445,(+/- 6283 ),62355,(+/- 6307 ),60970,(+/- 6894 ),50451,(+/- 5653 ),43579,(+/- 4708 )
People,Residence 1 Year Ago,Different county,31535,(+/- 4540 ),40251,(+/- 4319 ),29366,(+/- 3763 ),38114,(+/- 4237 ),47830,(+/- 3814 ),36836,(+/- 5029 ),34452,(+/- 4352 ),27673,(+/- 4739 ),30800,(+/- 3567 ),31027,(+/- 3600 ),36197,(+/- 4353 ),25240,(+/- 3287 ),34095,(+/- 4570 ),35096,(+/- 3121 ),41153,(+/- 4497 ),27575,(+/- 4390 ),33532,(+/- 4101 ),22187,(+/- 2785 )
People,Residence 1 Year Ago,Same state,17103,(+/- 3434 ),17981,(+/- 2610 ),20122,(+/- 2947 ),22795,(+/- 2920 ),33029,(+/- 2749 ),22961,(+/- 3410 ),17427,(+/- 3128 ),15534,(+/- 3024 ),23335,(+/- 3046 ),17532,(+/- 2608 ),23819,(+/- 2973 ),15693,(+/- 2877 ),18904,(+/- 2567 ),15026,(+/- 2131 ),24352,(+/- 3122 ),16058,(+/- 2708 ),17269,(+/- 2733 ),11959,(+/- 2015 )
People,Residence 1 Year Ago,Different state,14432,(+/- 2956 ),22270,(+/- 3405 ),9244,(+/- 1583 ),15319,(+/- 2735 ),14801,(+/- 2440 ),13875,(+/- 3082 ),17025,(+/- 3451 ),12139,(+/- 3088 ),7465,(+/- 1716 ),13495,(+/- 2654 ),12378,(+/- 2927 ),9547,(+/- 2099 ),15191,(+/- 3706 ),20070,(+/- 2648 ),16801,(+/- 3331 ),11517,(+/- 3469 ),16263,(+/- 3083 ),10228,(+/- 2524 )
People,Residence 1 Year Ago,Abroad,8208,(+/- 2799 ),5974,(+/- 1763 ),2018,(+/- 1047 ),3085,(+/- 1423 ),3555,(+/- 1359 ),2476,(+/- 954 ),3212,(+/- 1106 ),2789,(+/- 1121 ),1024,(+/- 363 ),2532,(+/- 943 ),4952,(+/- 1513 ),1957,(+/- 951 ),7084,(+/- 2555 ),6153,(+/- 1941 ),3756,(+/- 1607 ),3551,(+/- 1314 ),3384,(+/- 1112 ),3091,(+/- 1305 )
Workers,Employment Status,Population 16 years and over,570214,(+/- 13493 ),587116,(+/- 12124 ),570881,(+/- 3231 ),588771,(+/- 4138 ),584819,(+/- 3887 ),593639,(+/- 8221 ),572406,(+/- 7955 ),580105,(+/- 4656 ),568214,(+/- 3881 ),564013,(+/- 5692 ),580983,(+/- 6735 ),573458,(+/- 6288 ),582108,(+/- 10462 ),591334,(+/- 6530 ),587612,(+/- 6101 ),569295,(+/- 5881 ),578012,(+/- 7360 ),584424,(+/- 7053 )
Workers,Employment Status,In labor force,355430,(+/- 11668 ),339743,(+/- 9825 ),337566,(+/- 5705 ),378453,(+/- 5126 ),326691,(+/- 5373 ),405172,(+/- 6885 ),373367,(+/- 7276 ),381869,(+/- 5497 ),323308,(+/- 5067 ),326526,(+/- 6137 ),356268,(+/- 6423 ),350206,(+/- 7456 ),378711,(+/- 8827 ),380830,(+/- 7435 ),377161,(+/- 7054 ),373317,(+/- 7238 ),348268,(+/- 7351 ),364219,(+/- 7051 )
Workers,Employment Status,Civilian labor force,355156,(+/- 11698 ),339689,(+/- 9820 ),337278,(+/- 5737 ),377965,(+/- 5197 ),326450,(+/- 5387 ),404995,(+/- 6849 ),373094,(+/- 7222 ),381542,(+/- 5497 ),323117,(+/- 5073 ),326062,(+/- 6110 ),355481,(+/- 6446 ),350150,(+/- 7460 ),378190,(+/- 8767 ),380513,(+/- 7493 ),376830,(+/- 7057 ),373025,(+/- 7292 ),348239,(+/- 7357 ),363445,(+/- 7054 )
Workers,Employment Status,Employed,322273,(+/- 11462 ),309464,(+/- 8924 ),318777,(+/- 5650 ),359673,(+/- 5628 ),307588,(+/- 5219 ),386184,(+/- 6899 ),353806,(+/- 6939 ),367413,(+/- 5185 ),301405,(+/- 5586 ),309044,(+/- 6191 ),337711,(+/- 6426 ),334104,(+/- 7464 ),350761,(+/- 8165 ),354855,(+/- 7352 ),356220,(+/- 7076 ),353970,(+/- 7077 ),327108,(+/- 6863 ),346993,(+/- 7104 )
Workers,Employment Status,Unemployed,32883,(+/- 3380 ),30225,(+/- 3582 ),18501,(+/- 2020 ),18292,(+/- 2263 ),18862,(+/- 2216 ),18811,(+/- 2536 ),19288,(+/- 2173 ),14129,(+/- 2037 ),21712,(+/- 2176 ),17018,(+/- 1787 ),17770,(+/- 1997 ),16046,(+/- 1558 ),27429,(+/- 3124 ),25658,(+/- 2455 ),20610,(+/- 2345 ),19055,(+/- 2180 ),21131,(+/- 2513 ),16452,(+/- 1759 )
Workers,Employment Status,Armed Forces,274,(+/- 205 ),54,(+/- 92 ),288,(+/- 215 ),488,(+/- 332 ),241,(+/- 155 ),177,(+/- 265 ),273,(+/- 195 ),327,(+/- 224 ),191,(+/- 182 ),464,(+/- 415 ),787,(+/- 406 ),56,(+/- 61 ),521,(+/- 402 ),317,(+/- 301 ),331,(+/- 254 ),292,(+/- 249 ),29,(+/- 47 ),774,(+/- 524 )
Workers,Employment Status,Not in labor force,214784,(+/- 8739 ),247373,(+/- 8219 ),233315,(+/- 5167 ),210318,(+/- 4885 ),258128,(+/- 4827 ),188467,(+/- 5636 ),199039,(+/- 4923 ),198236,(+/- 5197 ),244906,(+/- 4948 ),237487,(+/- 6308 ),224715,(+/- 5755 ),223252,(+/- 5205 ),203397,(+/- 6312 ),210504,(+/- 5981 ),210451,(+/- 5991 ),195978,(+/- 6089 ),229744,(+/- 5578 ),220205,(+/- 5573 )
Workers,Employment Status,Civilian labor force,355156,(+/- 11698 ),339689,(+/- 9820 ),337278,(+/- 5737 ),377965,(+/- 5197 ),326450,(+/- 5387 ),404995,(+/- 6849 ),373094,(+/- 7222 ),381542,(+/- 5497 ),323117,(+/- 5073 ),326062,(+/- 6110 ),355481,(+/- 6446 ),350150,(+/- 7460 ),378190,(+/- 8767 ),380513,(+/- 7493 ),376830,(+/- 7057 ),373025,(+/- 7292 ),348239,(+/- 7357 ),363445,(+/- 7054 )
Workers,Employment Status,Unemployment Rate,9.3,(+/- 0.9 ),8.9,(+/- 1.0 ),5.5,(+/- 0.6 ),4.8,(+/- 0.6 ),5.8,(+/- 0.7 ),4.6,(+/- 0.6 ),5.2,(+/- 0.6 ),3.7,(+/- 0.5 ),6.7,(+/- 0.7 ),5.2,(+/- 0.5 ),5.0,(+/- 0.6 ),4.6,(+/- 0.4 ),7.3,(+/- 0.8 ),6.7,(+/- 0.6 ),5.5,(+/- 0.6 ),5.1,(+/- 0.6 ),6.1,(+/- 0.7 ),4.5,(+/- 0.5 )
Workers,Commuting to Work,Workers 16 years and over,314550,(+/- 10989 ),301704,(+/- 8792 ),312696,(+/- 5602 ),350445,(+/- 5866 ),302737,(+/- 5093 ),378139,(+/- 6742 ),347611,(+/- 6832 ),360193,(+/- 5113 ),295166,(+/- 5299 ),304300,(+/- 6138 ),332599,(+/- 6208 ),327865,(+/- 7393 ),342239,(+/- 7853 ),347714,(+/- 7037 ),349399,(+/- 7042 ),348414,(+/- 6992 ),320715,(+/- 6836 ),340865,(+/- 6986 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",165252,(+/- 7193 ),140927,(+/- 6215 ),254580,(+/- 5013 ),292525,(+/- 6041 ),233266,(+/- 4814 ),308517,(+/- 6252 ),267649,(+/- 6817 ),297057,(+/- 5631 ),243588,(+/- 4833 ),247903,(+/- 6510 ),273211,(+/- 6254 ),270977,(+/- 6789 ),243741,(+/- 6828 ),223987,(+/- 6720 ),283993,(+/- 7295 ),273177,(+/- 7419 ),255953,(+/- 6089 ),274624,(+/- 6259 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",28361,(+/- 3948 ),17137,(+/- 2457 ),28227,(+/- 2682 ),27761,(+/- 2853 ),30086,(+/- 2570 ),21046,(+/- 2285 ),27067,(+/- 2786 ),23503,(+/- 2656 ),26618,(+/- 2427 ),26309,(+/- 2326 ),29153,(+/- 2763 ),27152,(+/- 2491 ),33787,(+/- 3821 ),31680,(+/- 2843 ),26848,(+/- 2611 ),34753,(+/- 3083 ),32997,(+/- 3117 ),27323,(+/- 2872 )
Workers,Commuting to Work,Public transportation (excluding taxicab),71066,(+/- 5302 ),79847,(+/- 5530 ),2729,(+/- 789 ),3825,(+/- 1058 ),4010,(+/- 1235 ),9023,(+/- 1518 ),17406,(+/- 1827 ),11862,(+/- 1641 ),1513,(+/- 637 ),2168,(+/- 767 ),3485,(+/- 905 ),5859,(+/- 1180 ),39249,(+/- 3863 ),48658,(+/- 3643 ),6027,(+/- 1313 ),6487,(+/- 1299 ),6286,(+/- 1463 ),12572,(+/- 1410 )
Workers,Commuting to Work,Walked,23891,(+/- 2533 ),32398,(+/- 3182 ),9959,(+/- 2148 ),7981,(+/- 1035 ),16873,(+/- 1975 ),10060,(+/- 1618 ),9240,(+/- 2052 ),5795,(+/- 1510 ),8866,(+/- 1364 ),8110,(+/- 1256 ),8608,(+/- 1266 ),6061,(+/- 1118 ),9735,(+/- 1856 ),20209,(+/- 2348 ),11158,(+/- 1485 ),12837,(+/- 1770 ),9700,(+/- 1724 ),6554,(+/- 1032 )
Workers,Commuting to Work,Other means,12490,(+/- 2092 ),11456,(+/- 2093 ),3133,(+/- 777 ),3914,(+/- 973 ),5434,(+/- 1068 ),3941,(+/- 1115 ),1933,(+/- 710 ),3073,(+/- 772 ),2457,(+/- 568 ),3956,(+/- 1125 ),3987,(+/- 1183 ),3279,(+/- 1238 ),4103,(+/- 1186 ),7855,(+/- 1499 ),4033,(+/- 907 ),5938,(+/- 1540 ),3239,(+/- 992 ),2548,(+/- 762 )
Workers,Commuting to Work,Worked at home,13490,(+/- 2978 ),19939,(+/- 2841 ),14068,(+/- 1406 ),14439,(+/- 1993 ),13068,(+/- 1830 ),25552,(+/- 2334 ),24316,(+/- 2672 ),18903,(+/- 1959 ),12124,(+/- 1712 ),15854,(+/- 1919 ),14155,(+/- 1666 ),14537,(+/- 1942 ),11624,(+/- 1640 ),15325,(+/- 2033 ),17340,(+/- 2007 ),15222,(+/- 1788 ),12540,(+/- 1949 ),17244,(+/- 1841 )
Workers,Commuting to Work,Mean travel time to work (minutes),32.0,(+/- 0.8 ),31.6,(+/- 0.7 ),23.1,(+/- 0.5 ),25.6,(+/- 0.7 ),21.7,(+/- 0.5 ),27.5,(+/- 0.6 ),28.7,(+/- 0.6 ),29.9,(+/- 0.6 ),25.2,(+/- 0.6 ),26.8,(+/- 0.7 ),24.2,(+/- 0.6 ),25.9,(+/- 0.5 ),32.2,(+/- 0.7 ),26.1,(+/- 0.5 ),24.5,(+/- 0.6 ),24.7,(+/- 0.5 ),27.5,(+/- 0.8 ),27.2,(+/- 0.6 )
Workers,Occupation,Civilian employed population 16 years and over,322273,(+/- 11462 ),309464,(+/- 8924 ),318777,(+/- 5650 ),359673,(+/- 5628 ),307588,(+/- 5219 ),386184,(+/- 6899 ),353806,(+/- 6939 ),367413,(+/- 5185 ),301405,(+/- 5586 ),309044,(+/- 6191 ),337711,(+/- 6426 ),334104,(+/- 7464 ),350761,(+/- 8165 ),354855,(+/- 7352 ),356220,(+/- 7076 ),353970,(+/- 7077 ),327108,(+/- 6863 ),346993,(+/- 7104 )
Workers,Occupation,"Management, business, science, and arts occupations",116977,(+/- 6696 ),142598,(+/- 6648 ),106892,(+/- 3566 ),127189,(+/- 4779 ),105177,(+/- 4304 ),180264,(+/- 5722 ),165847,(+/- 5861 ),157615,(+/- 5238 ),90265,(+/- 3948 ),97034,(+/- 3762 ),110555,(+/- 5044 ),137134,(+/- 4743 ),142994,(+/- 5515 ),150495,(+/- 4836 ),128530,(+/- 4361 ),114109,(+/- 5268 ),101725,(+/- 4279 ),141530,(+/- 4379 )
Workers,Occupation,Service occupations,75272,(+/- 5240 ),65061,(+/- 4678 ),66256,(+/- 3496 ),61248,(+/- 3808 ),63704,(+/- 3382 ),54900,(+/- 3773 ),47694,(+/- 3500 ),52524,(+/- 3737 ),57727,(+/- 3320 ),56578,(+/- 3855 ),57620,(+/- 3638 ),52736,(+/- 3657 ),67458,(+/- 4521 ),72474,(+/- 4680 ),62957,(+/- 3961 ),64137,(+/- 4517 ),56423,(+/- 4442 ),57276,(+/- 4087 )
