Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,15.6,(+/- 1.1 ),14.4,(+/- 0.9 ),19.2,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,8.2,(+/- 1.3 ),10.5,(+/- 1.6 ),9.9,(+/- 1.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,13.0,(+/- 1.4 ),11.4,(+/- 1.4 ),17.2,(+/- 1.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,32.5,(+/- 2.1 ),32.2,(+/- 2.3 ),37.4,(+/- 2.5 )
Education,School Enrollment,Population 3 years and over enrolled in school,139979,(+/- 3345 ),133249,(+/- 3666 ),121653,(+/- 3761 )
Education,School Enrollment,"Nursery school, preschool",6600,(+/- 1071 ),7119,(+/- 1279 ),6063,(+/- 1251 )
Education,School Enrollment,Kindergarten,6368,(+/- 910 ),7895,(+/- 1531 ),6941,(+/- 1344 )
Education,School Enrollment,Elementary school (grades 1-8),52717,(+/- 1827 ),60944,(+/- 2605 ),53854,(+/- 1834 )
Education,School Enrollment,High school (grades 9-12),27031,(+/- 1559 ),28232,(+/- 2093 ),27544,(+/- 1887 )
Education,School Enrollment,College or graduate school,47263,(+/- 2756 ),29059,(+/- 2537 ),27251,(+/- 2951 )
Education,Educational Attainment,Population 25 years and over,430176,(+/- 3445 ),441453,(+/- 3191 ),420128,(+/- 2131 )
Education,Educational Attainment,Less than 9th grade,13492,(+/- 2015 ),17595,(+/- 2131 ),26348,(+/- 2732 )
Education,Educational Attainment,"9th to 12th grade, no diploma",33407,(+/- 3135 ),43847,(+/- 3292 ),46612,(+/- 3855 )
Education,Educational Attainment,High school graduate (includes equivalency),167466,(+/- 4653 ),174676,(+/- 5835 ),170086,(+/- 5910 )
Education,Educational Attainment,"Some college, no degree",80757,(+/- 3765 ),80288,(+/- 4422 ),72632,(+/- 4026 )
Education,Educational Attainment,Associate's degree,34136,(+/- 2834 ),30320,(+/- 2872 ),31338,(+/- 3351 )
Education,Educational Attainment,Bachelor's degree,60233,(+/- 3433 ),55529,(+/- 3244 ),46481,(+/- 3786 )
Education,Educational Attainment,Graduate or professional degree,40685,(+/- 3709 ),39198,(+/- 3048 ),26631,(+/- 2840 )
Education,Educational Attainment,Percent high school graduate or higher,89.1,(+/- 0.8 ),86.1,(+/- 1.0 ),82.6,(+/- 1.1 )
Education,Educational Attainment,Percent bachelor's degree or higher,23.5,(+/- 1.2 ),21.5,(+/- 1.0 ),17.4,(+/- 1.1 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag,District 03 Estimate,District 03 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,212349,G,185184,G,159911,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",137,G,339,H,458,G
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",9253,H,4212,H,10748,G
Business,Paid employees for pay period including March 12,Utilities,3303,H,1681,J,1410,J
Business,Paid employees for pay period including March 12,Construction,8777,G,9555,G,5583,G
Business,Paid employees for pay period including March 12,Manufacturing,20325,G,16234,H,11788,G
Business,Paid employees for pay period including March 12,Wholesale trade,6449,G,9614,H,5542,G
Business,Paid employees for pay period including March 12,Retail trade,30886,G,27592,G,27238,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,5607,H,5410,G,3017,G
Business,Paid employees for pay period including March 12,Information,3382,H,3694,H,3386,H
Business,Paid employees for pay period including March 12,Finance and insurance,5505,G,7522,G,3966,H
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,2171,G,2262,G,1459,H
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",10097,G,8647,G,5346,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,2928,G,1858,G,680,G
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,11769,G,10098,G,7862,G
Business,Paid employees for pay period including March 12,Educational services,3851,H,5232,H,872,G
Business,Paid employees for pay period including March 12,Health care and social assistance,50153,G,38314,G,42176,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",2891,H,2358,G,2157,G
Business,Paid employees for pay period including March 12,Accommodation and food services,25617,G,22234,G,19403,G
Business,Paid employees for pay period including March 12,Other services (except public administration),9217,G,8279,G,6792,G
Business,Paid employees for pay period including March 12,Industries not classified,31,J,49,J,28,H
Business,"Annual payroll ($1,000)",Total for all sectors,8488395,G,7378351,G,5884266,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",4566,G,13495,H,12844,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",687616,H,281265,H,773584,G
Business,"Annual payroll ($1,000)",Utilities,363906,G,166175,H,116258,J
Business,"Annual payroll ($1,000)",Construction,428234,G,549862,G,254335,G
Business,"Annual payroll ($1,000)",Manufacturing,1330952,G,838047,H,572655,G
Business,"Annual payroll ($1,000)",Wholesale trade,340140,G,447248,H,274740,G
Business,"Annual payroll ($1,000)",Retail trade,742877,G,680432,G,647071,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,242336,G,271223,G,123089,G
Business,"Annual payroll ($1,000)",Information,150513,H,188990,H,161201,H
Business,"Annual payroll ($1,000)",Finance and insurance,260709,G,397628,G,179283,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,77185,G,89256,G,51599,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",519766,G,468291,G,201937,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,230361,G,144966,G,47043,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,322440,G,316912,G,220301,H
Business,"Annual payroll ($1,000)",Educational services,72656,G,170060,H,20543,G
Business,"Annual payroll ($1,000)",Health care and social assistance,2076086,H,1711016,G,1718512,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",50822,H,42276,G,37083,G
Business,"Annual payroll ($1,000)",Accommodation and food services,368639,G,374885,G,305210,G
Business,"Annual payroll ($1,000)",Other services (except public administration),218270,G,225413,G,166546,G
Business,"Annual payroll ($1,000)",Industries not classified,321,G,911,G,432,H
Business,Total Establishments,Total for all sectors,13082,X,12374,X,11242,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",49,X,70,X,153,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",201,X,199,X,194,X
Business,Total Establishments,Utilities,83,X,75,X,80,X
Business,Total Establishments,Construction,1084,X,1174,X,892,X
Business,Total Establishments,Manufacturing,417,X,372,X,407,X
Business,Total Establishments,Wholesale trade,468,X,496,X,460,X
Business,Total Establishments,Retail trade,2135,X,1964,X,2049,X
Business,Total Establishments,Transportation and warehousing,416,X,408,X,371,X
Business,Total Establishments,Information,204,X,240,X,196,X
Business,Total Establishments,Finance and insurance,728,X,706,X,619,X
Business,Total Establishments,Real estate and rental and leasing,470,X,522,X,398,X
Business,Total Establishments,"Professional, scientific, and technical services",1047,X,1069,X,755,X
Business,Total Establishments,Management of companies and enterprises,73,X,88,X,61,X
Business,Total Establishments,Administrative and support and waste management and remediation services,517,X,507,X,409,X
Business,Total Establishments,Educational services,115,X,88,X,60,X
Business,Total Establishments,Health care and social assistance,1689,X,1531,X,1648,X
Business,Total Establishments,"Arts, entertainment, and recreation",335,X,220,X,203,X
Business,Total Establishments,Accommodation and food services,1388,X,1174,X,993,X
Business,Total Establishments,Other services (except public administration),1633,X,1444,X,1273,X
Business,Total Establishments,Industries not classified,30,X,27,X,21,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
