Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE
Workers,Class of Worker,Government workers,38146,(+/- 3145 ),49474,(+/- 3562 ),50508,(+/- 4074 ),39161,(+/- 2993 ),57954,(+/- 4361 ),42854,(+/- 3210 ),41466,(+/- 3205 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,15991,(+/- 2290 ),14715,(+/- 1682 ),16405,(+/- 2206 ),17876,(+/- 2197 ),16173,(+/- 2097 ),14552,(+/- 2045 ),11859,(+/- 1905 )
Workers,Class of Worker,Unpaid family workers,375,(+/- 404 ),418,(+/- 260 ),784,(+/- 495 ),941,(+/- 610 ),829,(+/- 425 ),687,(+/- 401 ),205,(+/- 227 )
Housing,Housing Occupancy,Total housing units,333004,(+/- 1504 ),313602,(+/- 2521 ),325956,(+/- 2269 ),311748,(+/- 1960 ),315647,(+/- 1032 ),303544,(+/- 3913 ),326679,(+/- 3996 )
Housing,Housing Occupancy,Occupied housing units,264399,(+/- 4299 ),259766,(+/- 3730 ),270850,(+/- 4642 ),256036,(+/- 3945 ),278329,(+/- 4056 ),267123,(+/- 4039 ),256015,(+/- 4403 )
Housing,Housing Occupancy,Vacant housing units,68605,(+/- 4163 ),53836,(+/- 3333 ),55106,(+/- 3865 ),55712,(+/- 3691 ),37318,(+/- 3979 ),36421,(+/- 3701 ),70664,(+/- 3963 )
Housing,Housing Occupancy,Homeowner vacancy rate,2.7,(+/- 0.8 ),2.3,(+/- 0.6 ),2.3,(+/- 0.7 ),1.6,(+/- 0.6 ),2.4,(+/- 0.8 ),1.7,(+/- 0.5 ),1.8,(+/- 0.7 )
Housing,Housing Occupancy,Rental vacancy rate,19.5,(+/- 2.4 ),8.3,(+/- 1.4 ),9.2,(+/- 1.9 ),7.9,(+/- 1.9 ),9.5,(+/- 2.3 ),8.6,(+/- 2.2 ),8.0,(+/- 1.3 )
Housing,Housing Tenure,Occupied housing units,264399,(+/- 4299 ),259766,(+/- 3730 ),270850,(+/- 4642 ),256036,(+/- 3945 ),278329,(+/- 4056 ),267123,(+/- 4039 ),256015,(+/- 4403 )
Housing,Housing Tenure,Owner-occupied,180068,(+/- 4651 ),169304,(+/- 4320 ),188290,(+/- 5021 ),190857,(+/- 4616 ),196531,(+/- 4301 ),199853,(+/- 4192 ),143235,(+/- 4460 )
Housing,Housing Tenure,Renter-occupied,84331,(+/- 4777 ),90462,(+/- 4088 ),82560,(+/- 4189 ),65179,(+/- 4048 ),81798,(+/- 4216 ),67270,(+/- 4160 ),112780,(+/- 4174 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.67,(+/- 0.06 ),2.58,(+/- 0.05 ),2.59,(+/- 0.04 ),2.66,(+/- 0.04 ),2.55,(+/- 0.05 ),2.67,(+/- 0.05 ),2.56,(+/- 0.06 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.45,(+/- 0.09 ),2.50,(+/- 0.08 ),2.45,(+/- 0.08 ),2.58,(+/- 0.10 ),2.37,(+/- 0.08 ),2.38,(+/- 0.10 ),2.41,(+/- 0.07 )
Housing,Year Householder Moved into Unit,Occupied housing units,264399,(+/- 4299 ),259766,(+/- 3730 ),270850,(+/- 4642 ),256036,(+/- 3945 ),278329,(+/- 4056 ),267123,(+/- 4039 ),256015,(+/- 4403 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,40570,(+/- 3451 ),51287,(+/- 3146 ),51047,(+/- 3391 ),35283,(+/- 2839 ),51252,(+/- 3276 ),43855,(+/- 3334 ),48284,(+/- 3593 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,76510,(+/- 4286 ),65595,(+/- 3913 ),65153,(+/- 3813 ),63430,(+/- 4013 ),73643,(+/- 4198 ),67795,(+/- 3866 ),66038,(+/- 3133 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,69097,(+/- 4023 ),68319,(+/- 3154 ),74255,(+/- 3932 ),70064,(+/- 2995 ),79597,(+/- 3741 ),80222,(+/- 3932 ),60039,(+/- 3652 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,39490,(+/- 2738 ),37107,(+/- 2510 ),37649,(+/- 2950 ),39438,(+/- 2698 ),35918,(+/- 2623 ),40597,(+/- 2370 ),37057,(+/- 3015 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,16210,(+/- 1465 ),17704,(+/- 1758 ),18725,(+/- 2079 ),19916,(+/- 1823 ),18231,(+/- 1619 ),16677,(+/- 1726 ),17191,(+/- 1732 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,22522,(+/- 2168 ),19754,(+/- 1523 ),24021,(+/- 2195 ),27905,(+/- 1951 ),19688,(+/- 1662 ),17977,(+/- 2060 ),27406,(+/- 1924 )
Housing,Value,Owner-occupied units,180068,(+/- 4651 ),169304,(+/- 4320 ),188290,(+/- 5021 ),190857,(+/- 4616 ),196531,(+/- 4301 ),199853,(+/- 4192 ),143235,(+/- 4460 )
Housing,Value,"Less than $50,000",20426,(+/- 2169 ),26726,(+/- 2047 ),30863,(+/- 2690 ),35476,(+/- 2394 ),18522,(+/- 2437 ),15012,(+/- 1842 ),27226,(+/- 2564 )
Housing,Value,"$50,000 to $99,999",35369,(+/- 2729 ),42977,(+/- 2948 ),41691,(+/- 3115 ),48746,(+/- 3077 ),36765,(+/- 3321 ),27095,(+/- 2441 ),46307,(+/- 3169 )
Housing,Value,"$100,000 to $149,999",40642,(+/- 2920 ),35338,(+/- 2615 ),31697,(+/- 2946 ),36951,(+/- 2459 ),38883,(+/- 3277 ),35860,(+/- 2818 ),24267,(+/- 2431 )
Housing,Value,"$150,000 to $199,999",32022,(+/- 2528 ),25237,(+/- 2154 ),28702,(+/- 2749 ),27441,(+/- 2464 ),33988,(+/- 2674 ),35826,(+/- 2413 ),20435,(+/- 2129 )
Housing,Value,"$200,000 to $299,999",28966,(+/- 2703 ),23723,(+/- 2128 ),30903,(+/- 2885 ),23233,(+/- 2039 ),37929,(+/- 3000 ),41770,(+/- 2513 ),15366,(+/- 1738 )
Housing,Value,"$300,000 to $499,999",15694,(+/- 1976 ),11087,(+/- 1522 ),17424,(+/- 1712 ),13614,(+/- 1966 ),23082,(+/- 2239 ),30146,(+/- 2092 ),6766,(+/- 1072 )
Housing,Value,"$500,000 to $999,999",5357,(+/- 910 ),3202,(+/- 844 ),6205,(+/- 1161 ),4552,(+/- 1064 ),5993,(+/- 1036 ),10884,(+/- 1449 ),2203,(+/- 620 )
Housing,Value,"$1,000,000 or more",1592,(+/- 500 ),1014,(+/- 381 ),805,(+/- 291 ),844,(+/- 354 ),1369,(+/- 461 ),3260,(+/- 802 ),665,(+/- 317 )
Housing,Value,Median (dollars),141600,(+/- 4148 ),119900,(+/- 4191 ),132600,(+/- 5340 ),113500,(+/- 3026 ),155100,(+/- 4067 ),174600,(+/- 4223 ),97000,(+/- 4671 )
Housing,Mortgage Status,Owner-occupied units,180068,(+/- 4651 ),169304,(+/- 4320 ),188290,(+/- 5021 ),190857,(+/- 4616 ),196531,(+/- 4301 ),199853,(+/- 4192 ),143235,(+/- 4460 )
Housing,Mortgage Status,Housing units with a mortgage,104062,(+/- 4128 ),96466,(+/- 3504 ),101989,(+/- 4300 ),92961,(+/- 4001 ),122332,(+/- 4360 ),125053,(+/- 3666 ),74980,(+/- 4054 )
Housing,Mortgage Status,Housing units without a mortgage,76006,(+/- 3155 ),72838,(+/- 3011 ),86301,(+/- 4209 ),97896,(+/- 3615 ),74199,(+/- 3709 ),74800,(+/- 3438 ),68255,(+/- 3327 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,104062,(+/- 4128 ),96466,(+/- 3504 ),101989,(+/- 4300 ),92961,(+/- 4001 ),122332,(+/- 4360 ),125053,(+/- 3666 ),74980,(+/- 4054 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,3011,(+/- 816 ),4059,(+/- 843 ),3505,(+/- 769 ),4097,(+/- 797 ),4142,(+/- 1085 ),2436,(+/- 695 ),2655,(+/- 773 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,34315,(+/- 2505 ),41497,(+/- 2718 ),39088,(+/- 2725 ),42005,(+/- 3079 ),42388,(+/- 3236 ),29082,(+/- 2252 ),31419,(+/- 2442 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",38708,(+/- 2949 ),30922,(+/- 2490 ),35825,(+/- 3662 ),29597,(+/- 2366 ),39953,(+/- 3066 ),47340,(+/- 2836 ),27965,(+/- 2280 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",18401,(+/- 2374 ),13121,(+/- 1925 ),13805,(+/- 1876 ),9549,(+/- 1590 ),20643,(+/- 2229 ),22517,(+/- 2269 ),8428,(+/- 1313 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",4381,(+/- 1092 ),4778,(+/- 951 ),6111,(+/- 1164 ),3850,(+/- 972 ),9630,(+/- 1427 ),12210,(+/- 1578 ),2157,(+/- 659 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",2087,(+/- 681 ),802,(+/- 282 ),2074,(+/- 701 ),1536,(+/- 505 ),1789,(+/- 548 ),5267,(+/- 931 ),1000,(+/- 482 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",3159,(+/- 987 ),1287,(+/- 508 ),1581,(+/- 501 ),2327,(+/- 782 ),3787,(+/- 797 ),6201,(+/- 1185 ),1356,(+/- 489 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1169,(+/- 25 ),1038,(+/- 32 ),1095,(+/- 22 ),1005,(+/- 28 ),1148,(+/- 26 ),1300,(+/- 29 ),1047,(+/- 24 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,76006,(+/- 3155 ),72838,(+/- 3011 ),86301,(+/- 4209 ),97896,(+/- 3615 ),74199,(+/- 3709 ),74800,(+/- 3438 ),68255,(+/- 3327 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,18629,(+/- 2659 ),21550,(+/- 1936 ),22622,(+/- 2120 ),28672,(+/- 2230 ),18890,(+/- 1850 ),14491,(+/- 1659 ),17230,(+/- 2093 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,28233,(+/- 2189 ),29285,(+/- 2233 ),35208,(+/- 2844 ),41450,(+/- 2790 ),30980,(+/- 2778 ),26497,(+/- 2764 ),26646,(+/- 1966 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,20510,(+/- 1899 ),17907,(+/- 1762 ),21698,(+/- 2186 ),20661,(+/- 2082 ),16195,(+/- 2003 ),20992,(+/- 2020 ),17532,(+/- 1887 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,5820,(+/- 1184 ),3009,(+/- 553 ),4626,(+/- 1133 ),4745,(+/- 981 ),6122,(+/- 1208 ),7040,(+/- 1275 ),4729,(+/- 998 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,1523,(+/- 561 ),749,(+/- 344 ),1510,(+/- 690 ),1339,(+/- 485 ),1457,(+/- 578 ),2507,(+/- 869 ),1314,(+/- 504 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",1291,(+/- 476 ),338,(+/- 255 ),637,(+/- 329 ),1029,(+/- 472 ),555,(+/- 229 ),3273,(+/- 767 ),804,(+/- 394 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),350,(+/- 11 ),324,(+/- 10 ),331,(+/- 8 ),317,(+/- 7 ),336,(+/- 9 ),379,(+/- 12 ),343,(+/- 9 )
Housing,Gross Rent,Occupied units paying rent,75055,(+/- 4229 ),82447,(+/- 3813 ),72719,(+/- 3943 ),55225,(+/- 3802 ),73438,(+/- 3881 ),60765,(+/- 3982 ),98174,(+/- 4171 )
Housing,Gross Rent,Less than $500,12919,(+/- 1699 ),16167,(+/- 1801 ),14155,(+/- 1927 ),17841,(+/- 1961 ),14521,(+/- 1883 ),5818,(+/- 1275 ),20966,(+/- 2212 )
Housing,Gross Rent,$500 to $999,40541,(+/- 3124 ),47583,(+/- 3067 ),43832,(+/- 3046 ),31772,(+/- 2631 ),46198,(+/- 3380 ),30329,(+/- 3342 ),55470,(+/- 3558 )
Housing,Gross Rent,"$1,000 to $1,499",18119,(+/- 2467 ),14965,(+/- 1828 ),11673,(+/- 1838 ),4664,(+/- 1261 ),10585,(+/- 1940 ),19681,(+/- 2643 ),16881,(+/- 2215 )
Housing,Gross Rent,"$1,500 to $1,999",2541,(+/- 676 ),3154,(+/- 801 ),2299,(+/- 840 ),672,(+/- 539 ),1849,(+/- 831 ),3604,(+/- 896 ),3494,(+/- 925 )
Housing,Gross Rent,"$2,000 to $2,499",659,(+/- 425 ),194,(+/- 203 ),703,(+/- 548 ),46,(+/- 89 ),128,(+/- 169 ),810,(+/- 378 ),913,(+/- 543 )
Housing,Gross Rent,"$2,500 to $2,999",0,(+/- 195 ),0,(+/- 195 ),0,(+/- 195 ),230,(+/- 179 ),31,(+/- 54 ),212,(+/- 225 ),188,(+/- 292 )
Housing,Gross Rent,"$3,000 or more",276,(+/- 227 ),384,(+/- 344 ),57,(+/- 94 ),0,(+/- 195 ),126,(+/- 144 ),311,(+/- 196 ),262,(+/- 283 )
Housing,Gross Rent,Median (dollars),808,(+/- 23 ),748,(+/- 18 ),715,(+/- 18 ),617,(+/- 19 ),723,(+/- 21 ),899,(+/- 35 ),723,(+/- 18 )
Housing,Gross Rent,No rent paid,9276,(+/- 2138 ),8015,(+/- 1248 ),9841,(+/- 1745 ),9954,(+/- 1601 ),8360,(+/- 1477 ),6505,(+/- 1583 ),14606,(+/- 2044 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,264399,(+/- 4299 ),259766,(+/- 3730 ),270850,(+/- 4642 ),256036,(+/- 3945 ),278329,(+/- 4056 ),267123,(+/- 4039 ),256015,(+/- 4403 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",26503,(+/- 2752 ),26155,(+/- 2466 ),25574,(+/- 2369 ),24410,(+/- 2298 ),22977,(+/- 2449 ),13846,(+/- 1978 ),37176,(+/- 2667 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",17281,(+/- 1866 ),18436,(+/- 1940 ),15917,(+/- 2366 ),18513,(+/- 2287 ),15974,(+/- 2416 ),13376,(+/- 2328 ),21093,(+/- 2482 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",30504,(+/- 2541 ),35241,(+/- 3092 ),34026,(+/- 2646 ),34405,(+/- 2285 ),31136,(+/- 3006 ),22425,(+/- 2229 ),38507,(+/- 2997 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",28714,(+/- 2966 ),30771,(+/- 2438 ),28856,(+/- 2522 ),30945,(+/- 2437 ),27723,(+/- 2435 ),26207,(+/- 2477 ),32230,(+/- 2777 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",36190,(+/- 2749 ),34594,(+/- 2774 ),38880,(+/- 3054 ),40686,(+/- 3268 ),35950,(+/- 2405 ),33629,(+/- 2526 ),32942,(+/- 2535 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",45142,(+/- 3646 ),44501,(+/- 2779 ),53310,(+/- 3615 ),44337,(+/- 3144 ),45842,(+/- 3252 ),48340,(+/- 2924 ),40219,(+/- 3117 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",29591,(+/- 2665 ),28416,(+/- 2494 ),30181,(+/- 2489 ),27635,(+/- 2651 ),34144,(+/- 2632 ),36018,(+/- 2705 ),24515,(+/- 2350 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",30714,(+/- 2862 ),27209,(+/- 2052 ),28409,(+/- 2766 ),22869,(+/- 2080 ),35010,(+/- 2558 ),40956,(+/- 2424 ),18573,(+/- 2004 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",10793,(+/- 1567 ),8240,(+/- 1247 ),9241,(+/- 1276 ),6380,(+/- 1231 ),16403,(+/- 1766 ),15761,(+/- 1896 ),6341,(+/- 1160 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",8967,(+/- 1367 ),6203,(+/- 1038 ),6456,(+/- 963 ),5856,(+/- 951 ),13170,(+/- 1557 ),16565,(+/- 1741 ),4419,(+/- 845 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),47083,(+/- 2274 ),42035,(+/- 1165 ),46544,(+/- 1553 ),41110,(+/- 1063 ),51690,(+/- 1204 ),61413,(+/- 2137 ),34664,(+/- 1269 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),64134,(+/- 1888 ),59826,(+/- 1885 ),61141,(+/- 1745 ),56310,(+/- 1571 ),73239,(+/- 1985 ),85670,(+/- 2910 ),50729,(+/- 1598 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,691182,(+/- 3378 ),661346,(+/- 6246 ),696843,(+/- 5474 ),677025,(+/- 5136 ),701156,(+/- 1948 ),698153,(+/- 5948 ),656824,(+/- 7705 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,618616,(+/- 7631 ),594231,(+/- 6869 ),639025,(+/- 5927 ),612803,(+/- 6550 ),643485,(+/- 3988 ),651648,(+/- 6662 ),587748,(+/- 9199 )
Socioeconomic,Health Insurance Coverage,With private health insurance,447407,(+/- 10237 ),429831,(+/- 8989 ),484991,(+/- 9280 ),442772,(+/- 9189 ),520213,(+/- 8902 ),540032,(+/- 8624 ),383991,(+/- 9451 )
Socioeconomic,Health Insurance Coverage,With public coverage,263642,(+/- 7888 ),259552,(+/- 7562 ),252022,(+/- 7133 ),271801,(+/- 7438 ),228650,(+/- 7400 ),200052,(+/- 7813 ),286688,(+/- 8211 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,72566,(+/- 7055 ),67115,(+/- 4396 ),57818,(+/- 4627 ),64222,(+/- 4285 ),57671,(+/- 4066 ),46505,(+/- 5050 ),69076,(+/- 5948 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,160912,(+/- 1758 ),153921,(+/- 3244 ),157590,(+/- 2487 ),154593,(+/- 2792 ),156949,(+/- 1138 ),166474,(+/- 3540 ),147613,(+/- 5081 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,5694,(+/- 2271 ),4913,(+/- 1339 ),1800,(+/- 690 ),3156,(+/- 1147 ),3942,(+/- 1484 ),5125,(+/- 1830 ),2102,(+/- 777 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,13.5,(+/- 1.5 ),15.2,(+/- 1.6 ),11.0,(+/- 1.3 ),13.5,(+/- 1.3 ),11.6,(+/- 1.4 ),6.8,(+/- 1.1 ),18.5,(+/- 1.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,22.8,(+/- 2.8 ),24.3,(+/- 2.9 ),16.4,(+/- 2.2 ),22.5,(+/- 2.3 ),18.7,(+/- 2.5 ),10.5,(+/- 2.1 ),31.3,(+/- 3.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,21.2,(+/- 5.7 ),28.5,(+/- 6.4 ),17.5,(+/- 5.3 ),21.9,(+/- 5.2 ),23.9,(+/- 7.4 ),7.5,(+/- 3.9 ),26.0,(+/- 7.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,6.4,(+/- 1.3 ),7.3,(+/- 1.2 ),5.0,(+/- 1.1 ),7.9,(+/- 1.1 ),5.9,(+/- 1.1 ),3.3,(+/- 0.7 ),5.6,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,8.8,(+/- 2.4 ),9.6,(+/- 2.2 ),6.3,(+/- 1.9 ),11.8,(+/- 2.4 ),8.6,(+/- 2.2 ),4.4,(+/- 1.4 ),6.7,(+/- 2.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,8.1,(+/- 4.8 ),10.6,(+/- 5.5 ),4.5,(+/- 3.8 ),7.0,(+/- 4.1 ),8.6,(+/- 5.0 ),1.2,(+/- 1.5 ),6.6,(+/- 6.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",35.0,(+/- 4.0 ),37.4,(+/- 4.3 ),28.8,(+/- 4.1 ),36.1,(+/- 5.1 ),31.6,(+/- 4.4 ),21.3,(+/- 4.9 ),38.5,(+/- 3.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,48.5,(+/- 5.6 ),51.0,(+/- 5.5 ),37.7,(+/- 6.2 ),49.7,(+/- 6.7 ),38.3,(+/- 5.9 ),29.3,(+/- 6.9 ),52.6,(+/- 4.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,45.4,(+/- 12.3 ),64.8,(+/- 10.2 ),38.9,(+/- 14.6 ),63.8,(+/- 11.8 ),51.0,(+/- 14.6 ),32.7,(+/- 16.3 ),45.2,(+/- 12.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,17.6,(+/- 1.4 ),19.3,(+/- 1.3 ),16.5,(+/- 1.1 ),17.8,(+/- 1.2 ),14.8,(+/- 1.3 ),9.9,(+/- 1.1 ),24.4,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,26.8,(+/- 2.8 ),29.5,(+/- 3.2 ),20.3,(+/- 2.5 ),26.9,(+/- 2.7 ),19.8,(+/- 2.7 ),12.6,(+/- 2.5 ),37.3,(+/- 3.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,26.7,(+/- 2.8 ),29.2,(+/- 3.3 ),20.3,(+/- 2.5 ),26.4,(+/- 2.7 ),19.5,(+/- 2.7 ),12.5,(+/- 2.5 ),37.3,(+/- 3.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,30.3,(+/- 4.7 ),33.6,(+/- 4.7 ),23.6,(+/- 3.8 ),28.6,(+/- 4.1 ),24.9,(+/- 4.4 ),10.0,(+/- 3.6 ),42.4,(+/- 6.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,25.6,(+/- 3.2 ),27.5,(+/- 3.4 ),19.1,(+/- 2.9 ),25.6,(+/- 3.1 ),17.7,(+/- 2.9 ),13.3,(+/- 2.8 ),35.3,(+/- 3.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,14.9,(+/- 1.2 ),16.3,(+/- 0.9 ),15.4,(+/- 1.1 ),15.1,(+/- 1.0 ),13.4,(+/- 1.1 ),9.0,(+/- 1.0 ),20.5,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,10.1,(+/- 1.6 ),10.9,(+/- 1.2 ),9.4,(+/- 1.4 ),9.5,(+/- 1.3 ),10.2,(+/- 1.8 ),7.4,(+/- 1.6 ),12.8,(+/- 1.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,15.1,(+/- 1.5 ),16.8,(+/- 1.5 ),12.2,(+/- 1.3 ),15.0,(+/- 1.3 ),12.3,(+/- 1.4 ),7.3,(+/- 1.2 ),20.9,(+/- 1.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,29.6,(+/- 2.3 ),30.2,(+/- 1.8 ),36.5,(+/- 2.3 ),33.0,(+/- 1.9 ),26.2,(+/- 2.3 ),22.9,(+/- 2.4 ),37.3,(+/- 2.5 )
Education,School Enrollment,Population 3 years and over enrolled in school,164401,(+/- 3751 ),157639,(+/- 4695 ),183593,(+/- 4866 ),151443,(+/- 4351 ),175896,(+/- 4445 ),176435,(+/- 4748 ),176669,(+/- 6226 )
Education,School Enrollment,"Nursery school, preschool",9591,(+/- 1582 ),8566,(+/- 1344 ),10686,(+/- 2118 ),6612,(+/- 1133 ),8668,(+/- 1670 ),11147,(+/- 1570 ),9176,(+/- 1807 )
Education,School Enrollment,Kindergarten,8644,(+/- 1654 ),8932,(+/- 1518 ),9845,(+/- 1782 ),7375,(+/- 1456 ),8789,(+/- 1666 ),9966,(+/- 1656 ),10428,(+/- 2058 )
Education,School Enrollment,Elementary school (grades 1-8),72927,(+/- 2870 ),68488,(+/- 3048 ),70240,(+/- 2784 ),69466,(+/- 2776 ),69700,(+/- 2819 ),76250,(+/- 3542 ),63874,(+/- 3168 )
Education,School Enrollment,High school (grades 9-12),38360,(+/- 2347 ),34748,(+/- 1689 ),34335,(+/- 2469 ),38422,(+/- 2390 ),37618,(+/- 2718 ),39083,(+/- 2656 ),34383,(+/- 2516 )
Education,School Enrollment,College or graduate school,34879,(+/- 3598 ),36905,(+/- 3036 ),58487,(+/- 3950 ),29568,(+/- 2970 ),51121,(+/- 3960 ),39989,(+/- 2975 ),58808,(+/- 3964 )
Education,Educational Attainment,Population 25 years and over,483628,(+/- 3025 ),464210,(+/- 4639 ),472077,(+/- 4972 ),472340,(+/- 3835 ),490229,(+/- 1989 ),483675,(+/- 4788 ),434554,(+/- 5660 )
Education,Educational Attainment,Less than 9th grade,15481,(+/- 2126 ),23067,(+/- 2204 ),22933,(+/- 2798 ),37158,(+/- 3207 ),26315,(+/- 3239 ),15422,(+/- 2701 ),17421,(+/- 2094 )
Education,Educational Attainment,"9th to 12th grade, no diploma",46984,(+/- 4086 ),51561,(+/- 3466 ),54322,(+/- 3869 ),55452,(+/- 3894 ),40250,(+/- 3781 ),32533,(+/- 3115 ),52795,(+/- 3946 )
Education,Educational Attainment,High school graduate (includes equivalency),158178,(+/- 6395 ),148183,(+/- 5081 ),144060,(+/- 6027 ),157757,(+/- 5894 ),137219,(+/- 5075 ),119956,(+/- 5686 ),145883,(+/- 6111 )
Education,Educational Attainment,"Some college, no degree",101686,(+/- 5138 ),104317,(+/- 3897 ),107250,(+/- 5294 ),102502,(+/- 4496 ),100994,(+/- 5264 ),98191,(+/- 5167 ),96291,(+/- 4376 )
Education,Educational Attainment,Associate's degree,45045,(+/- 3783 ),35913,(+/- 2693 ),36027,(+/- 3146 ),39050,(+/- 2936 ),37053,(+/- 3654 ),39884,(+/- 3217 ),38058,(+/- 3123 )
Education,Educational Attainment,Bachelor's degree,73720,(+/- 5124 ),64329,(+/- 3566 ),64031,(+/- 4625 ),51327,(+/- 3704 ),90532,(+/- 4634 ),109930,(+/- 4994 ),52811,(+/- 3547 )
Education,Educational Attainment,Graduate or professional degree,42534,(+/- 3565 ),36840,(+/- 2325 ),43454,(+/- 3373 ),29094,(+/- 2584 ),57866,(+/- 3586 ),67759,(+/- 4122 ),31295,(+/- 2298 )
