Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,82688,(+/- 3850 ),63613,(+/- 3408 ),76217,(+/- 4032 ),67217,(+/- 3533 ),63899,(+/- 3078 ),77328,(+/- 4607 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,37826,(+/- 3033 ),33787,(+/- 2185 ),35572,(+/- 3118 ),36612,(+/- 2888 ),37503,(+/- 2626 ),38695,(+/- 2752 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,20163,(+/- 1844 ),19243,(+/- 1943 ),20136,(+/- 2167 ),20631,(+/- 1850 ),20049,(+/- 2048 ),16478,(+/- 1868 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,25698,(+/- 1964 ),31788,(+/- 2255 ),32610,(+/- 2536 ),26309,(+/- 1783 ),30664,(+/- 2347 ),20359,(+/- 1637 )
Housing,Value,Owner-occupied units,207803,(+/- 4880 ),154858,(+/- 4539 ),195021,(+/- 4901 ),176744,(+/- 4884 ),168713,(+/- 4068 ),202571,(+/- 5110 )
Housing,Value,"Less than $50,000",11130,(+/- 1892 ),9437,(+/- 1358 ),33088,(+/- 2947 ),28413,(+/- 2042 ),32520,(+/- 2796 ),19287,(+/- 2732 )
Housing,Value,"$50,000 to $99,999",19942,(+/- 2044 ),25511,(+/- 2074 ),34892,(+/- 2754 ),41103,(+/- 2539 ),42899,(+/- 3031 ),18851,(+/- 1974 )
Housing,Value,"$100,000 to $149,999",31685,(+/- 2789 ),38400,(+/- 3267 ),34033,(+/- 2711 ),28950,(+/- 2173 ),30844,(+/- 2193 ),29970,(+/- 2876 )
Housing,Value,"$150,000 to $199,999",41408,(+/- 2919 ),31821,(+/- 2847 ),33571,(+/- 2721 ),31319,(+/- 2548 ),22144,(+/- 1911 ),48442,(+/- 3569 )
Housing,Value,"$200,000 to $299,999",55080,(+/- 3612 ),25577,(+/- 2239 ),34535,(+/- 2925 ),28546,(+/- 2617 ),24424,(+/- 2214 ),47693,(+/- 3259 )
Housing,Value,"$300,000 to $499,999",33059,(+/- 2548 ),16042,(+/- 1634 ),16851,(+/- 2156 ),12340,(+/- 1710 ),10977,(+/- 1671 ),28566,(+/- 2695 )
Housing,Value,"$500,000 to $999,999",12248,(+/- 1262 ),6460,(+/- 985 ),6442,(+/- 1350 ),4648,(+/- 949 ),4188,(+/- 988 ),7626,(+/- 1359 )
Housing,Value,"$1,000,000 or more",3251,(+/- 826 ),1610,(+/- 409 ),1609,(+/- 534 ),1425,(+/- 617 ),717,(+/- 330 ),2136,(+/- 735 )
Housing,Value,Median (dollars),199600,(+/- 4453 ),154600,(+/- 3617 ),143100,(+/- 5462 ),128900,(+/- 6061 ),112800,(+/- 4196 ),178800,(+/- 4570 )
Housing,Mortgage Status,Owner-occupied units,207803,(+/- 4880 ),154858,(+/- 4539 ),195021,(+/- 4901 ),176744,(+/- 4884 ),168713,(+/- 4068 ),202571,(+/- 5110 )
Housing,Mortgage Status,Housing units with a mortgage,122928,(+/- 4542 ),82543,(+/- 3679 ),94872,(+/- 4930 ),85455,(+/- 3976 ),74250,(+/- 2828 ),119243,(+/- 4629 )
Housing,Mortgage Status,Housing units without a mortgage,84875,(+/- 4004 ),72315,(+/- 2941 ),100149,(+/- 4246 ),91289,(+/- 3483 ),94463,(+/- 3714 ),83328,(+/- 4674 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,122928,(+/- 4542 ),82543,(+/- 3679 ),94872,(+/- 4930 ),85455,(+/- 3976 ),74250,(+/- 2828 ),119243,(+/- 4629 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,1937,(+/- 688 ),1743,(+/- 694 ),2842,(+/- 862 ),3871,(+/- 958 ),3043,(+/- 765 ),1416,(+/- 569 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,24665,(+/- 2682 ),20418,(+/- 1977 ),35776,(+/- 3460 ),34309,(+/- 2581 ),33795,(+/- 2603 ),30911,(+/- 3522 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",42282,(+/- 3227 ),29591,(+/- 2717 ),29919,(+/- 3108 ),26873,(+/- 2357 ),20898,(+/- 1950 ),46037,(+/- 3377 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",26363,(+/- 2790 ),16166,(+/- 1824 ),15739,(+/- 2074 ),11244,(+/- 1782 ),9651,(+/- 1429 ),22963,(+/- 2351 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",13202,(+/- 1709 ),6593,(+/- 1164 ),6146,(+/- 1288 ),4825,(+/- 894 ),3968,(+/- 965 ),9321,(+/- 1508 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",5828,(+/- 1061 ),3670,(+/- 896 ),2348,(+/- 764 ),2104,(+/- 659 ),1635,(+/- 597 ),4529,(+/- 966 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",8651,(+/- 1419 ),4362,(+/- 831 ),2102,(+/- 814 ),2229,(+/- 748 ),1260,(+/- 503 ),4066,(+/- 1102 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1417,(+/- 26 ),1288,(+/- 41 ),1130,(+/- 39 ),1064,(+/- 22 ),1006,(+/- 37 ),1268,(+/- 38 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,84875,(+/- 4004 ),72315,(+/- 2941 ),100149,(+/- 4246 ),91289,(+/- 3483 ),94463,(+/- 3714 ),83328,(+/- 4674 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,21168,(+/- 2379 ),19271,(+/- 1944 ),35406,(+/- 3245 ),34201,(+/- 2697 ),37212,(+/- 2837 ),25003,(+/- 2900 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,22342,(+/- 2130 ),25295,(+/- 2527 ),37779,(+/- 3191 ),32357,(+/- 2313 ),35923,(+/- 2765 ),28142,(+/- 2857 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,22918,(+/- 2206 ),17009,(+/- 1441 ),18931,(+/- 2000 ),17797,(+/- 2010 ),15910,(+/- 1841 ),19646,(+/- 2352 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,8996,(+/- 1371 ),5787,(+/- 834 ),4846,(+/- 975 ),4972,(+/- 929 ),3229,(+/- 816 ),6427,(+/- 1280 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,4901,(+/- 1028 ),2085,(+/- 431 ),1074,(+/- 415 ),766,(+/- 372 ),999,(+/- 519 ),2379,(+/- 672 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",4550,(+/- 908 ),2868,(+/- 707 ),2113,(+/- 649 ),1196,(+/- 530 ),1190,(+/- 545 ),1731,(+/- 672 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),394,(+/- 12 ),347,(+/- 11 ),297,(+/- 10 ),293,(+/- 9 ),283,(+/- 8 ),338,(+/- 13 )
Housing,Gross Rent,Occupied units paying rent,88380,(+/- 4643 ),132773,(+/- 4952 ),80902,(+/- 4533 ),91829,(+/- 4359 ),80375,(+/- 4034 ),80262,(+/- 4700 )
Housing,Gross Rent,Less than $500,6655,(+/- 1419 ),20204,(+/- 1983 ),13998,(+/- 1963 ),19074,(+/- 1932 ),21831,(+/- 2724 ),5686,(+/- 1235 )
Housing,Gross Rent,$500 to $999,44823,(+/- 3315 ),67398,(+/- 4028 ),49463,(+/- 3750 ),53111,(+/- 3418 ),49589,(+/- 3696 ),42577,(+/- 4008 )
Housing,Gross Rent,"$1,000 to $1,499",28147,(+/- 3089 ),35409,(+/- 2737 ),12818,(+/- 2417 ),16055,(+/- 2147 ),7650,(+/- 1560 ),22417,(+/- 2766 )
Housing,Gross Rent,"$1,500 to $1,999",5522,(+/- 1257 ),6953,(+/- 1073 ),3918,(+/- 1358 ),2474,(+/- 773 ),1305,(+/- 733 ),7426,(+/- 1658 )
Housing,Gross Rent,"$2,000 to $2,499",2028,(+/- 866 ),1690,(+/- 496 ),566,(+/- 483 ),722,(+/- 485 ),0,(+/- 208 ),1765,(+/- 682 )
Housing,Gross Rent,"$2,500 to $2,999",458,(+/- 288 ),677,(+/- 353 ),0,(+/- 208 ),393,(+/- 440 ),0,(+/- 208 ),247,(+/- 252 )
Housing,Gross Rent,"$3,000 or more",747,(+/- 429 ),442,(+/- 352 ),139,(+/- 162 ),0,(+/- 208 ),0,(+/- 208 ),144,(+/- 112 )
Housing,Gross Rent,Median (dollars),927,(+/- 25 ),865,(+/- 20 ),769,(+/- 27 ),733,(+/- 16 ),668,(+/- 17 ),900,(+/- 29 )
Housing,Gross Rent,No rent paid,5679,(+/- 1225 ),8095,(+/- 1143 ),13407,(+/- 1956 ),10822,(+/- 1615 ),16254,(+/- 1820 ),6313,(+/- 1457 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,301862,(+/- 4765 ),295726,(+/- 4790 ),289330,(+/- 4445 ),279395,(+/- 4295 ),265342,(+/- 4881 ),289146,(+/- 5312 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",17659,(+/- 2557 ),38615,(+/- 2668 ),29589,(+/- 2731 ),34158,(+/- 3048 ),37200,(+/- 3025 ),20436,(+/- 2917 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",15605,(+/- 2085 ),25993,(+/- 2365 ),17011,(+/- 1926 ),19928,(+/- 2260 ),19900,(+/- 2393 ),13160,(+/- 2200 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",34137,(+/- 3675 ),44051,(+/- 3762 ),34064,(+/- 2934 ),41965,(+/- 3414 ),40912,(+/- 3134 ),26967,(+/- 2634 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",28268,(+/- 2677 ),33494,(+/- 2698 ),32749,(+/- 3062 ),31234,(+/- 2749 ),29261,(+/- 2821 ),26300,(+/- 2612 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",37149,(+/- 3117 ),39191,(+/- 2984 ),44341,(+/- 3259 ),40366,(+/- 2962 ),35809,(+/- 3015 ),38173,(+/- 3214 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",54119,(+/- 3115 ),45970,(+/- 3540 ),46116,(+/- 3929 ),43790,(+/- 2758 ),40624,(+/- 2823 ),49239,(+/- 3649 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",38020,(+/- 2858 ),24825,(+/- 2142 ),30027,(+/- 3125 ),25905,(+/- 2368 ),24460,(+/- 2731 ),35654,(+/- 3209 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",41735,(+/- 2973 ),25553,(+/- 2666 ),35592,(+/- 2987 ),24633,(+/- 2405 ),22473,(+/- 2259 ),43983,(+/- 3453 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",18570,(+/- 2449 ),9344,(+/- 1237 ),10206,(+/- 1649 ),9681,(+/- 1900 ),8537,(+/- 1765 ),19053,(+/- 2416 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",16600,(+/- 2020 ),8690,(+/- 1338 ),9635,(+/- 1616 ),7735,(+/- 1348 ),6166,(+/- 1164 ),16181,(+/- 1879 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),56938,(+/- 2504 ),36798,(+/- 1311 ),44668,(+/- 2075 ),39748,(+/- 1891 ),36718,(+/- 1254 ),59270,(+/- 3070 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),79470,(+/- 2517 ),57958,(+/- 2072 ),62828,(+/- 2022 ),58002,(+/- 2193 ),54376,(+/- 1868 ),79923,(+/- 2583 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,796265,(+/- 12598 ),776000,(+/- 14135 ),777852,(+/- 3069 ),725164,(+/- 4220 ),708540,(+/- 7431 ),793361,(+/- 10573 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,717387,(+/- 12338 ),689003,(+/- 12983 ),693938,(+/- 6726 ),647610,(+/- 7129 ),634280,(+/- 8729 ),725132,(+/- 10912 )
Socioeconomic,Health Insurance Coverage,With private health insurance,526350,(+/- 13190 ),415706,(+/- 12731 ),475936,(+/- 9937 ),431597,(+/- 11143 ),403787,(+/- 9328 ),557437,(+/- 13669 )
Socioeconomic,Health Insurance Coverage,With public coverage,280449,(+/- 10836 ),346616,(+/- 11323 ),304418,(+/- 9669 ),310808,(+/- 9215 ),318186,(+/- 8841 ),250077,(+/- 10538 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,78878,(+/- 6441 ),86997,(+/- 6703 ),83914,(+/- 6752 ),77554,(+/- 5777 ),74260,(+/- 5641 ),68229,(+/- 6275 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,187666,(+/- 6164 ),179813,(+/- 6696 ),196373,(+/- 1921 ),185099,(+/- 2076 ),176999,(+/- 3609 ),189507,(+/- 5964 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,8652,(+/- 2479 ),5110,(+/- 1809 ),4926,(+/- 1524 ),5998,(+/- 1966 ),4901,(+/- 1684 ),4039,(+/- 1335 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,10.4,(+/- 1.4 ),19.4,(+/- 1.5 ),15.6,(+/- 1.6 ),18.3,(+/- 1.4 ),19.1,(+/- 1.6 ),10.6,(+/- 1.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,14.9,(+/- 2.1 ),29.7,(+/- 2.9 ),23.5,(+/- 2.6 ),28.8,(+/- 2.4 ),29.5,(+/- 2.6 ),16.6,(+/- 2.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,19.0,(+/- 5.4 ),28.7,(+/- 6.2 ),23.5,(+/- 6.4 ),28.8,(+/- 7.2 ),24.8,(+/- 6.2 ),15.7,(+/- 5.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,5.2,(+/- 1.1 ),8.8,(+/- 1.7 ),6.0,(+/- 1.1 ),7.2,(+/- 1.3 ),7.8,(+/- 1.2 ),3.8,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,5.5,(+/- 1.8 ),12.9,(+/- 3.5 ),7.4,(+/- 2.0 ),9.9,(+/- 2.6 ),10.1,(+/- 2.7 ),4.2,(+/- 1.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,5.4,(+/- 4.9 ),5.1,(+/- 4.4 ),3.0,(+/- 3.1 ),12.8,(+/- 7.7 ),9.2,(+/- 5.7 ),2.0,(+/- 2.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",29.5,(+/- 4.0 ),36.7,(+/- 3.1 ),40.2,(+/- 3.9 ),44.9,(+/- 3.9 ),44.5,(+/- 4.0 ),30.9,(+/- 4.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,38.3,(+/- 5.2 ),48.0,(+/- 4.6 ),50.9,(+/- 4.9 ),59.4,(+/- 5.0 ),55.6,(+/- 4.4 ),41.3,(+/- 5.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,56.3,(+/- 14.6 ),54.2,(+/- 10.2 ),55.1,(+/- 15.1 ),53.9,(+/- 15.5 ),42.5,(+/- 11.7 ),44.4,(+/- 15.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,13.8,(+/- 1.4 ),24.9,(+/- 1.4 ),20.5,(+/- 1.3 ),23.4,(+/- 1.3 ),24.8,(+/- 1.4 ),14.6,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,18.6,(+/- 3.0 ),38.5,(+/- 3.8 ),28.2,(+/- 2.7 ),33.2,(+/- 2.9 ),35.3,(+/- 2.9 ),18.8,(+/- 3.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,18.3,(+/- 3.0 ),38.4,(+/- 3.9 ),27.8,(+/- 2.8 ),33.0,(+/- 2.9 ),35.2,(+/- 3.0 ),18.2,(+/- 3.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,23.5,(+/- 4.7 ),43.5,(+/- 5.9 ),29.8,(+/- 4.8 ),32.8,(+/- 4.7 ),35.9,(+/- 5.2 ),17.8,(+/- 4.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,16.3,(+/- 3.0 ),36.3,(+/- 3.9 ),27.0,(+/- 3.0 ),33.1,(+/- 3.1 ),34.9,(+/- 3.4 ),18.4,(+/- 3.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,12.3,(+/- 1.1 ),20.8,(+/- 1.1 ),18.0,(+/- 1.2 ),20.2,(+/- 1.1 ),21.4,(+/- 1.2 ),13.3,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,9.3,(+/- 1.4 ),15.9,(+/- 1.9 ),13.4,(+/- 2.0 ),13.9,(+/- 1.6 ),16.9,(+/- 1.7 ),8.5,(+/- 1.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,11.4,(+/- 1.6 ),22.0,(+/- 1.7 ),17.3,(+/- 1.5 ),20.4,(+/- 1.5 ),21.3,(+/- 1.6 ),11.0,(+/- 1.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,24.3,(+/- 2.0 ),34.7,(+/- 1.9 ),33.5,(+/- 2.4 ),36.2,(+/- 2.3 ),41.0,(+/- 2.6 ),30.0,(+/- 2.5 )
Education,School Enrollment,Population 3 years and over enrolled in school,201104,(+/- 6577 ),199135,(+/- 7600 ),195591,(+/- 5299 ),180914,(+/- 4117 ),182687,(+/- 6287 ),213485,(+/- 7130 )
Education,School Enrollment,"Nursery school, preschool",14859,(+/- 2619 ),13022,(+/- 1999 ),11931,(+/- 1855 ),12872,(+/- 1827 ),10511,(+/- 1845 ),13320,(+/- 2407 )
Education,School Enrollment,Kindergarten,9479,(+/- 1710 ),10081,(+/- 1883 ),9595,(+/- 1659 ),10414,(+/- 1802 ),10928,(+/- 1884 ),8067,(+/- 1917 )
Education,School Enrollment,Elementary school (grades 1-8),82922,(+/- 4861 ),81639,(+/- 4211 ),87565,(+/- 2971 ),81703,(+/- 2983 ),82371,(+/- 3129 ),92187,(+/- 4837 )
Education,School Enrollment,High school (grades 9-12),44745,(+/- 2892 ),38803,(+/- 3034 ),47342,(+/- 2860 ),41495,(+/- 2210 ),39488,(+/- 3150 ),40194,(+/- 3088 )
Education,School Enrollment,College or graduate school,49099,(+/- 3872 ),55590,(+/- 4121 ),39158,(+/- 3210 ),34430,(+/- 3142 ),39389,(+/- 4170 ),59717,(+/- 4321 )
Education,Educational Attainment,Population 25 years and over,545519,(+/- 8276 ),538055,(+/- 8239 ),514979,(+/- 3042 ),497252,(+/- 3206 ),496174,(+/- 5779 ),523041,(+/- 6581 )
Education,Educational Attainment,Less than 9th grade,26760,(+/- 2983 ),30891,(+/- 2967 ),30832,(+/- 3089 ),23278,(+/- 2457 ),29871,(+/- 2574 ),19297,(+/- 2635 )
Education,Educational Attainment,"9th to 12th grade, no diploma",42796,(+/- 4226 ),69042,(+/- 5323 ),54233,(+/- 4379 ),50213,(+/- 3749 ),65061,(+/- 4414 ),44164,(+/- 4410 )
Education,Educational Attainment,High school graduate (includes equivalency),158932,(+/- 7368 ),167216,(+/- 7069 ),191678,(+/- 7222 ),180310,(+/- 6487 ),192895,(+/- 6295 ),168242,(+/- 6591 )
Education,Educational Attainment,"Some college, no degree",121145,(+/- 6396 ),118871,(+/- 5098 ),101018,(+/- 6433 ),107509,(+/- 5135 ),96706,(+/- 4988 ),108866,(+/- 5418 )
Education,Educational Attainment,Associate's degree,30417,(+/- 3162 ),25936,(+/- 2391 ),29032,(+/- 3281 ),37079,(+/- 2766 ),28422,(+/- 2953 ),36402,(+/- 3727 )
Education,Educational Attainment,Bachelor's degree,107513,(+/- 5559 ),79609,(+/- 3775 ),73318,(+/- 4690 ),63568,(+/- 3851 ),54235,(+/- 3711 ),95056,(+/- 5300 )
Education,Educational Attainment,Graduate or professional degree,57956,(+/- 3552 ),46490,(+/- 3430 ),34868,(+/- 3493 ),35295,(+/- 2910 ),28984,(+/- 2783 ),51014,(+/- 3560 )
Education,Educational Attainment,Percent high school graduate or higher,87.2,(+/- 0.9 ),81.4,(+/- 1.0 ),83.5,(+/- 1.0 ),85.2,(+/- 0.9 ),80.9,(+/- 1.0 ),87.9,(+/- 0.9 )
Education,Educational Attainment,Percent bachelor's degree or higher,30.3,(+/- 1.2 ),23.4,(+/- 0.9 ),21.0,(+/- 1.1 ),19.9,(+/- 0.9 ),16.8,(+/- 0.9 ),27.9,(+/- 1.2 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag,District 03 Estimate,District 03 Flag,District 04 Estimate,District 04 Flag,District 05 Estimate,District 05 Flag,District 06 Estimate,District 06 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,320713,G,294953,G,301403,G,218177,G,209785,G,325892,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",202,G,229,G,229,H,1757,G,1459,G,238,J
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",7194,G,2851,G,18689,G,6328,G,1649,G,2215,G
Business,Paid employees for pay period including March 12,Utilities,1006,J,h,D,1288,H,2053,G,2471,J,1504,H
Business,Paid employees for pay period including March 12,Construction,18777,G,16387,G,19225,G,13864,G,10519,G,58288,H
Business,Paid employees for pay period including March 12,Manufacturing,18650,G,26177,G,28668,G,18381,G,16954,G,16524,G
Business,Paid employees for pay period including March 12,Wholesale trade,17369,G,10622,G,16767,G,9929,G,8348,G,13625,G
Business,Paid employees for pay period including March 12,Retail trade,47441,G,31139,G,42510,G,34083,G,34873,G,48118,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,19646,G,17420,G,12509,G,8382,G,6244,G,7939,H
Business,Paid employees for pay period including March 12,Information,4404,G,3742,H,3891,H,3392,G,5996,G,4615,G
Business,Paid employees for pay period including March 12,Finance and insurance,14422,G,10506,G,8131,G,7078,H,8761,G,13427,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,7109,G,4800,G,9105,G,3497,G,2947,G,4435,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",16636,G,22146,G,17450,G,8405,G,7693,G,23713,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,5767,G,5405,G,3780,G,1688,H,1542,G,5205,G
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,17083,G,18550,G,12971,G,9261,G,7390,G,17646,G
Business,Paid employees for pay period including March 12,Educational services,12371,G,15536,G,3934,G,2771,G,3271,G,5957,G
Business,Paid employees for pay period including March 12,Health care and social assistance,55734,G,36773,G,50707,G,45916,G,55114,G,44921,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",6174,G,6955,G,2736,G,2403,G,1815,G,5077,H
Business,Paid employees for pay period including March 12,Accommodation and food services,36265,G,50416,G,36173,G,28058,G,22411,G,37536,G
Business,Paid employees for pay period including March 12,Other services (except public administration),14418,G,12501,G,12616,G,10884,G,10271,G,14874,G
Business,Paid employees for pay period including March 12,Industries not classified,45,J,38,G,24,J,47,J,57,J,35,J
Business,"Annual payroll ($1,000)",Total for all sectors,14841706,G,14734232,G,13412884,G,8271605,G,7404011,G,15070111,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",4637,G,11955,H,10119,G,79813,G,64944,G,7694,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",607117,G,263445,G,1355316,G,371859,G,90810,G,156408,G
Business,"Annual payroll ($1,000)",Utilities,79979,J,D,D,107588,H,157677,H,224383,J,121447,H
Business,"Annual payroll ($1,000)",Construction,1046251,G,960022,G,1013093,G,673429,G,483614,G,3640771,H
Business,"Annual payroll ($1,000)",Manufacturing,1130292,G,2424688,G,1798275,G,1011922,G,892262,G,1221318,G
Business,"Annual payroll ($1,000)",Wholesale trade,1017590,G,613449,G,937932,G,494839,G,383983,G,818781,G
Business,"Annual payroll ($1,000)",Retail trade,1263199,G,837987,G,1082563,G,855032,G,849743,G,1209608,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,1289891,G,974212,G,758787,G,389996,G,285591,G,451417,H
Business,"Annual payroll ($1,000)",Information,233012,G,214346,H,179410,H,147600,G,313640,H,221288,G
Business,"Annual payroll ($1,000)",Finance and insurance,1033316,G,883317,G,463684,G,370441,G,412624,G,947384,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,373375,G,215661,G,494268,G,135958,G,100951,G,200511,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1047543,G,1682298,G,1158948,G,394080,G,364482,G,1646268,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,525823,G,786390,G,289304,H,98884,H,84469,G,512345,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,615089,G,639262,G,575450,G,258748,G,206177,G,694341,G
Business,"Annual payroll ($1,000)",Educational services,470062,G,606778,G,111652,G,81092,G,76465,G,177087,G
Business,"Annual payroll ($1,000)",Health care and social assistance,2682421,G,1547583,G,2020811,G,2003781,G,1965643,G,1878472,G
