Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,69045,(+/- 3611 ),70762,(+/- 3392 ),74737,(+/- 3600 ),78158,(+/- 3742 ),75748,(+/- 3145 ),75023,(+/- 3232 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,41812,(+/- 2499 ),43202,(+/- 2737 ),36721,(+/- 2201 ),37514,(+/- 2706 ),45139,(+/- 3037 ),36220,(+/- 1960 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,22834,(+/- 1878 ),19254,(+/- 1714 ),16570,(+/- 1571 ),19991,(+/- 1864 ),25904,(+/- 2425 ),17154,(+/- 1738 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,29027,(+/- 1755 ),20571,(+/- 1771 ),25737,(+/- 1557 ),17566,(+/- 1884 ),27950,(+/- 1986 ),16652,(+/- 1494 )
Housing,Value,Owner-occupied units,191397,(+/- 4382 ),197905,(+/- 4348 ),181559,(+/- 4326 ),200059,(+/- 3997 ),195825,(+/- 4727 ),181430,(+/- 4361 )
Housing,Value,"Less than $50,000",35463,(+/- 2289 ),16590,(+/- 2202 ),8421,(+/- 1086 ),13523,(+/- 1561 ),58904,(+/- 2843 ),11897,(+/- 1689 )
Housing,Value,"$50,000 to $99,999",56072,(+/- 2500 ),43175,(+/- 2949 ),28545,(+/- 1982 ),33613,(+/- 2167 ),56865,(+/- 3349 ),27275,(+/- 2050 )
Housing,Value,"$100,000 to $149,999",38088,(+/- 2686 ),46297,(+/- 3024 ),45271,(+/- 3286 ),42010,(+/- 3043 ),36002,(+/- 3241 ),45474,(+/- 3194 )
Housing,Value,"$150,000 to $199,999",27227,(+/- 2168 ),37321,(+/- 2471 ),33863,(+/- 2662 ),36594,(+/- 2630 ),21150,(+/- 2078 ),35742,(+/- 2967 )
Housing,Value,"$200,000 to $299,999",21787,(+/- 2299 ),32364,(+/- 2546 ),34394,(+/- 2136 ),39753,(+/- 2938 ),12914,(+/- 1401 ),33670,(+/- 2402 )
Housing,Value,"$300,000 to $499,999",7717,(+/- 1303 ),15841,(+/- 1651 ),22820,(+/- 1895 ),25684,(+/- 1566 ),7053,(+/- 1397 ),18995,(+/- 1947 )
Housing,Value,"$500,000 to $999,999",3384,(+/- 859 ),4859,(+/- 1088 ),6912,(+/- 879 ),7332,(+/- 1071 ),2378,(+/- 707 ),6657,(+/- 840 )
Housing,Value,"$1,000,000 or more",1659,(+/- 714 ),1458,(+/- 546 ),1333,(+/- 397 ),1550,(+/- 569 ),559,(+/- 370 ),1720,(+/- 545 )
Housing,Value,Median (dollars),104700,(+/- 3157 ),142000,(+/- 3713 ),160300,(+/- 3506 ),163400,(+/- 3776 ),81000,(+/- 2574 ),157300,(+/- 3616 )
Housing,Mortgage Status,Owner-occupied units,191397,(+/- 4382 ),197905,(+/- 4348 ),181559,(+/- 4326 ),200059,(+/- 3997 ),195825,(+/- 4727 ),181430,(+/- 4361 )
Housing,Mortgage Status,Housing units with a mortgage,98142,(+/- 4291 ),124522,(+/- 3959 ),120207,(+/- 3460 ),133800,(+/- 4065 ),79551,(+/- 3765 ),117823,(+/- 3955 )
Housing,Mortgage Status,Housing units without a mortgage,93255,(+/- 3260 ),73383,(+/- 3547 ),61352,(+/- 2963 ),66259,(+/- 3186 ),116274,(+/- 4227 ),63607,(+/- 2948 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,98142,(+/- 4291 ),124522,(+/- 3959 ),120207,(+/- 3460 ),133800,(+/- 4065 ),79551,(+/- 3765 ),117823,(+/- 3955 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,6832,(+/- 1245 ),3265,(+/- 864 ),2366,(+/- 623 ),2724,(+/- 780 ),7339,(+/- 1486 ),3537,(+/- 885 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,48712,(+/- 2778 ),51148,(+/- 3421 ),34749,(+/- 2327 ),35693,(+/- 2359 ),40867,(+/- 2937 ),36897,(+/- 2460 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",28298,(+/- 2304 ),44139,(+/- 2877 ),45425,(+/- 2677 ),51472,(+/- 3375 ),20616,(+/- 1882 ),46639,(+/- 2439 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",9375,(+/- 1514 ),15671,(+/- 1818 ),21581,(+/- 2004 ),23562,(+/- 1973 ),6237,(+/- 1071 ),17420,(+/- 1736 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",3036,(+/- 839 ),5706,(+/- 1193 ),8227,(+/- 1365 ),10877,(+/- 1352 ),2660,(+/- 784 ),7095,(+/- 1141 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",727,(+/- 342 ),1767,(+/- 579 ),3884,(+/- 837 ),4104,(+/- 746 ),956,(+/- 449 ),2770,(+/- 646 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",1162,(+/- 513 ),2826,(+/- 780 ),3975,(+/- 795 ),5368,(+/- 1036 ),876,(+/- 403 ),3465,(+/- 740 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),942,(+/- 18 ),1079,(+/- 26 ),1210,(+/- 20 ),1249,(+/- 26 ),898,(+/- 22 ),1168,(+/- 19 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,93255,(+/- 3260 ),73383,(+/- 3547 ),61352,(+/- 2963 ),66259,(+/- 3186 ),116274,(+/- 4227 ),63607,(+/- 2948 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,28761,(+/- 1968 ),17695,(+/- 1880 ),5250,(+/- 964 ),9453,(+/- 1314 ),46644,(+/- 2934 ),11940,(+/- 1487 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,37135,(+/- 2236 ),30015,(+/- 2539 ),20424,(+/- 1829 ),24510,(+/- 1889 ),43354,(+/- 3246 ),23351,(+/- 1875 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,19175,(+/- 1853 ),18528,(+/- 1974 ),22785,(+/- 2043 ),20954,(+/- 1950 ),20017,(+/- 2119 ),19532,(+/- 1941 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,5329,(+/- 1043 ),4224,(+/- 860 ),7917,(+/- 1007 ),7148,(+/- 1187 ),4271,(+/- 1046 ),5749,(+/- 884 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,1846,(+/- 602 ),1481,(+/- 527 ),2398,(+/- 545 ),2597,(+/- 799 ),1445,(+/- 677 ),1888,(+/- 663 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",1009,(+/- 422 ),1440,(+/- 574 ),2578,(+/- 570 ),1597,(+/- 528 ),543,(+/- 354 ),1147,(+/- 416 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),311,(+/- 7 ),349,(+/- 10 ),436,(+/- 10 ),395,(+/- 11 ),285,(+/- 6 ),380,(+/- 10 )
Housing,Gross Rent,Occupied units paying rent,76003,(+/- 3619 ),80512,(+/- 3629 ),121557,(+/- 4149 ),73509,(+/- 3191 ),57758,(+/- 3587 ),108729,(+/- 3713 )
Housing,Gross Rent,Less than $500,24009,(+/- 2508 ),17783,(+/- 2115 ),18358,(+/- 2041 ),13346,(+/- 1987 ),20337,(+/- 1973 ),19820,(+/- 2017 )
Housing,Gross Rent,$500 to $999,44433,(+/- 3115 ),50528,(+/- 3886 ),73391,(+/- 3768 ),42478,(+/- 2612 ),34775,(+/- 3060 ),65682,(+/- 3448 )
Housing,Gross Rent,"$1,000 to $1,499",6299,(+/- 1511 ),10332,(+/- 1898 ),24561,(+/- 2415 ),14592,(+/- 2031 ),2503,(+/- 780 ),18767,(+/- 2000 )
Housing,Gross Rent,"$1,500 to $1,999",948,(+/- 455 ),1555,(+/- 633 ),4104,(+/- 1242 ),2213,(+/- 749 ),10,(+/- 23 ),2822,(+/- 891 )
Housing,Gross Rent,"$2,000 to $2,499",63,(+/- 120 ),200,(+/- 212 ),640,(+/- 293 ),534,(+/- 351 ),96,(+/- 124 ),1514,(+/- 731 )
Housing,Gross Rent,"$2,500 to $2,999",53,(+/- 87 ),114,(+/- 119 ),458,(+/- 354 ),250,(+/- 245 ),37,(+/- 63 ),124,(+/- 109 )
Housing,Gross Rent,"$3,000 or more",198,(+/- 220 ),0,(+/- 190 ),45,(+/- 66 ),96,(+/- 115 ),0,(+/- 190 ),0,(+/- 190 )
Housing,Gross Rent,Median (dollars),626,(+/- 14 ),685,(+/- 18 ),805,(+/- 19 ),781,(+/- 24 ),575,(+/- 15 ),748,(+/- 16 )
Housing,Gross Rent,No rent paid,11496,(+/- 1677 ),5764,(+/- 1174 ),2831,(+/- 890 ),7385,(+/- 1344 ),16722,(+/- 2278 ),7265,(+/- 1250 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,278896,(+/- 4290 ),284181,(+/- 4033 ),305947,(+/- 2890 ),280953,(+/- 2787 ),270305,(+/- 4442 ),297424,(+/- 3338 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",29474,(+/- 2759 ),21715,(+/- 2262 ),22467,(+/- 2471 ),19979,(+/- 1951 ),47485,(+/- 3266 ),23763,(+/- 2190 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",22204,(+/- 1918 ),16884,(+/- 2018 ),13112,(+/- 1710 ),10954,(+/- 1476 ),26188,(+/- 2532 ),18376,(+/- 1926 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",37981,(+/- 2763 ),29059,(+/- 2429 ),33349,(+/- 2609 ),26275,(+/- 2052 ),43677,(+/- 2934 ),31395,(+/- 2828 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",33985,(+/- 2587 ),31066,(+/- 2333 ),34912,(+/- 2978 ),25622,(+/- 2145 ),32141,(+/- 2576 ),30473,(+/- 3073 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",42345,(+/- 3188 ),43464,(+/- 3383 ),45617,(+/- 3363 ),33099,(+/- 2813 ),35324,(+/- 3039 ),42269,(+/- 2885 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",49538,(+/- 3441 ),54891,(+/- 3168 ),57429,(+/- 3955 ),50479,(+/- 3331 ),38522,(+/- 3154 ),57599,(+/- 3364 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",29109,(+/- 2214 ),35915,(+/- 2470 ),37118,(+/- 2981 ),38424,(+/- 3049 ),21487,(+/- 2213 ),34142,(+/- 2650 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",23409,(+/- 1884 ),32817,(+/- 2350 ),37762,(+/- 2648 ),43547,(+/- 3093 ),17319,(+/- 1901 ),35888,(+/- 2771 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",5444,(+/- 988 ),9517,(+/- 1253 ),11364,(+/- 1382 ),17338,(+/- 1876 ),3404,(+/- 935 ),11986,(+/- 1586 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",5407,(+/- 1212 ),8853,(+/- 1633 ),12817,(+/- 1349 ),15236,(+/- 1630 ),4758,(+/- 1120 ),11533,(+/- 1493 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),40253,(+/- 958 ),49960,(+/- 1559 ),51070,(+/- 1339 ),60912,(+/- 1455 ),30585,(+/- 1098 ),50659,(+/- 966 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),55494,(+/- 2007 ),65927,(+/- 2279 ),70994,(+/- 1817 ),79776,(+/- 1987 ),46293,(+/- 1950 ),69053,(+/- 1695 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,695679,(+/- 3674 ),741652,(+/- 5014 ),732661,(+/- 3261 ),740961,(+/- 4636 ),687222,(+/- 3884 ),756205,(+/- 5282 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,648260,(+/- 5016 ),711176,(+/- 5910 ),700495,(+/- 4245 ),710066,(+/- 5198 ),650088,(+/- 5526 ),710945,(+/- 6794 )
Socioeconomic,Health Insurance Coverage,With private health insurance,425983,(+/- 8962 ),519940,(+/- 9424 ),514974,(+/- 9564 ),539141,(+/- 8776 ),336863,(+/- 11285 ),504947,(+/- 9536 )
Socioeconomic,Health Insurance Coverage,With public coverage,324840,(+/- 8268 ),297514,(+/- 8706 ),287184,(+/- 9400 ),268475,(+/- 8268 ),401474,(+/- 9743 ),294010,(+/- 9433 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,47419,(+/- 4284 ),30476,(+/- 3666 ),32166,(+/- 3419 ),30895,(+/- 3193 ),37134,(+/- 4040 ),45260,(+/- 4529 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,161781,(+/- 2407 ),175261,(+/- 2590 ),163253,(+/- 2036 ),183781,(+/- 2802 ),155961,(+/- 2847 ),169949,(+/- 3190 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,8313,(+/- 2143 ),4948,(+/- 1359 ),2777,(+/- 1052 ),4877,(+/- 1688 ),4068,(+/- 1308 ),7012,(+/- 2015 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,14.6,(+/- 1.2 ),11.6,(+/- 1.2 ),9.9,(+/- 1.3 ),9.8,(+/- 1.2 ),24.7,(+/- 1.6 ),13.6,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,22.9,(+/- 2.4 ),18.2,(+/- 2.2 ),16.7,(+/- 2.3 ),14.8,(+/- 1.9 ),35.3,(+/- 2.3 ),22.2,(+/- 2.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,18.8,(+/- 5.0 ),18.6,(+/- 5.7 ),14.4,(+/- 4.5 ),18.3,(+/- 5.6 ),36.3,(+/- 6.7 ),16.3,(+/- 4.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,7.1,(+/- 1.1 ),6.2,(+/- 1.1 ),4.0,(+/- 0.9 ),4.1,(+/- 0.7 ),15.1,(+/- 1.6 ),5.5,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,9.1,(+/- 2.0 ),8.1,(+/- 2.2 ),6.8,(+/- 1.9 ),4.9,(+/- 1.3 ),19.2,(+/- 2.4 ),7.6,(+/- 1.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,7.5,(+/- 3.8 ),7.9,(+/- 5.8 ),5.8,(+/- 4.4 ),4.7,(+/- 3.3 ),13.5,(+/- 5.9 ),3.1,(+/- 2.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",42.0,(+/- 4.4 ),31.7,(+/- 4.0 ),27.5,(+/- 4.0 ),31.5,(+/- 4.8 ),51.0,(+/- 4.2 ),38.9,(+/- 3.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,54.3,(+/- 5.6 ),40.2,(+/- 5.4 ),34.8,(+/- 5.5 ),40.8,(+/- 6.0 ),66.2,(+/- 4.9 ),50.8,(+/- 5.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,50.5,(+/- 10.5 ),48.1,(+/- 17.2 ),30.1,(+/- 10.6 ),49.2,(+/- 14.5 ),75.5,(+/- 11.5 ),52.4,(+/- 12.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,20.0,(+/- 1.3 ),16.1,(+/- 1.2 ),14.7,(+/- 1.3 ),12.9,(+/- 1.0 ),29.3,(+/- 1.4 ),18.6,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,26.7,(+/- 2.6 ),21.4,(+/- 2.5 ),21.7,(+/- 3.1 ),18.1,(+/- 2.2 ),36.8,(+/- 2.8 ),27.3,(+/- 2.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,26.1,(+/- 2.6 ),20.7,(+/- 2.5 ),21.1,(+/- 3.1 ),17.8,(+/- 2.3 ),36.3,(+/- 2.8 ),26.9,(+/- 2.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,26.1,(+/- 4.1 ),25.2,(+/- 4.1 ),22.8,(+/- 4.8 ),22.1,(+/- 3.8 ),41.3,(+/- 4.3 ),27.5,(+/- 4.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,26.1,(+/- 3.0 ),19.0,(+/- 2.5 ),20.4,(+/- 3.2 ),16.3,(+/- 2.4 ),34.5,(+/- 3.2 ),26.7,(+/- 3.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,18.0,(+/- 1.1 ),14.5,(+/- 1.1 ),12.7,(+/- 1.0 ),11.2,(+/- 0.9 ),27.1,(+/- 1.4 ),16.1,(+/- 0.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,12.1,(+/- 1.4 ),11.4,(+/- 1.4 ),8.2,(+/- 1.2 ),8.7,(+/- 1.3 ),17.0,(+/- 2.3 ),8.7,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,16.3,(+/- 1.4 ),12.6,(+/- 1.3 ),11.9,(+/- 1.6 ),10.6,(+/- 1.2 ),25.6,(+/- 1.5 ),15.1,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,36.0,(+/- 2.4 ),31.8,(+/- 2.4 ),23.3,(+/- 1.6 ),25.5,(+/- 2.1 ),47.0,(+/- 2.5 ),31.3,(+/- 1.8 )
Education,School Enrollment,Population 3 years and over enrolled in school,165286,(+/- 4393 ),192545,(+/- 5051 ),172864,(+/- 3805 ),187781,(+/- 4601 ),159103,(+/- 4431 ),207454,(+/- 4841 )
Education,School Enrollment,"Nursery school, preschool",11357,(+/- 1416 ),10339,(+/- 1431 ),9338,(+/- 1388 ),12196,(+/- 1568 ),8160,(+/- 1682 ),10719,(+/- 1599 )
Education,School Enrollment,Kindergarten,7587,(+/- 1446 ),8992,(+/- 1448 ),8014,(+/- 1628 ),10106,(+/- 1421 ),6816,(+/- 1274 ),10924,(+/- 1774 )
Education,School Enrollment,Elementary school (grades 1-8),72208,(+/- 3040 ),79700,(+/- 2950 ),73817,(+/- 2445 ),83030,(+/- 2590 ),74604,(+/- 2220 ),76322,(+/- 2694 )
Education,School Enrollment,High school (grades 9-12),39155,(+/- 2470 ),41598,(+/- 2791 ),34931,(+/- 2234 ),45188,(+/- 2048 ),37135,(+/- 2446 ),36073,(+/- 2494 )
Education,School Enrollment,College or graduate school,34979,(+/- 3123 ),51916,(+/- 3441 ),46764,(+/- 2971 ),37261,(+/- 3443 ),32388,(+/- 2852 ),73416,(+/- 3723 )
Education,Educational Attainment,Population 25 years and over,485520,(+/- 3813 ),500359,(+/- 3462 ),512367,(+/- 1682 ),506069,(+/- 3548 ),486901,(+/- 3644 ),504293,(+/- 3558 )
Education,Educational Attainment,Less than 9th grade,31413,(+/- 2512 ),23909,(+/- 2283 ),14908,(+/- 2350 ),20132,(+/- 2293 ),52523,(+/- 3747 ),27840,(+/- 3045 )
Education,Educational Attainment,"9th to 12th grade, no diploma",46797,(+/- 4079 ),40541,(+/- 2708 ),37093,(+/- 3113 ),33425,(+/- 2604 ),62990,(+/- 4339 ),36889,(+/- 2901 )
Education,Educational Attainment,High school graduate (includes equivalency),185966,(+/- 5266 ),169587,(+/- 5134 ),135588,(+/- 5059 ),150480,(+/- 5443 ),182741,(+/- 6164 ),143937,(+/- 5398 )
Education,Educational Attainment,"Some college, no degree",100147,(+/- 4967 ),108823,(+/- 4714 ),123825,(+/- 4965 ),117198,(+/- 4892 ),91795,(+/- 4080 ),98252,(+/- 4635 )
Education,Educational Attainment,Associate's degree,45086,(+/- 2991 ),53000,(+/- 3662 ),42611,(+/- 3130 ),41660,(+/- 3153 ),36315,(+/- 3235 ),37697,(+/- 2972 )
Education,Educational Attainment,Bachelor's degree,45830,(+/- 3422 ),60792,(+/- 3943 ),94622,(+/- 3985 ),91382,(+/- 3812 ),33630,(+/- 3142 ),92825,(+/- 4874 )
Education,Educational Attainment,Graduate or professional degree,30281,(+/- 2458 ),43707,(+/- 3338 ),63720,(+/- 2897 ),51792,(+/- 3666 ),26907,(+/- 2675 ),66853,(+/- 3743 )
Education,Educational Attainment,Percent high school graduate or higher,83.9,(+/- 1.0 ),87.1,(+/- 0.7 ),89.9,(+/- 0.8 ),89.4,(+/- 0.7 ),76.3,(+/- 1.1 ),87.2,(+/- 0.8 )
Education,Educational Attainment,Percent bachelor's degree or higher,15.7,(+/- 0.8 ),20.9,(+/- 0.9 ),30.9,(+/- 0.9 ),28.3,(+/- 1.0 ),12.4,(+/- 0.7 ),31.7,(+/- 1.2 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag,District 03 Estimate,District 03 Flag,District 04 Estimate,District 04 Flag,District 05 Estimate,District 05 Flag,District 06 Estimate,District 06 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,217235,G,229605,G,412801,G,240159,G,161299,G,280770,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",182,G,139,H,22,H,160,G,95,J,714,G
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",4887,G,576,G,134,H,334,H,7487,G,358,G
Business,Paid employees for pay period including March 12,Utilities,1303,H,1154,G,g,D,1524,H,1162,H,1321,H
Business,Paid employees for pay period including March 12,Construction,8718,G,10309,G,16999,G,9879,G,4493,G,14061,G
Business,Paid employees for pay period including March 12,Manufacturing,50441,G,45195,G,42794,G,34446,G,16963,G,42168,G
Business,Paid employees for pay period including March 12,Wholesale trade,8112,G,6677,G,20306,G,14122,G,5620,G,13373,G
Business,Paid employees for pay period including March 12,Retail trade,31392,G,32082,G,43632,G,32074,G,29146,G,38958,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,15191,G,11568,H,32527,J,19876,H,4939,G,8520,G
Business,Paid employees for pay period including March 12,Information,2514,G,6660,H,8734,G,2813,G,7367,H,7771,G
Business,Paid employees for pay period including March 12,Finance and insurance,7603,G,8561,G,28980,H,12836,G,5611,G,8421,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,1914,G,2412,G,5338,G,2784,G,1414,G,3347,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",5880,G,7187,G,23078,G,8873,G,5873,G,17222,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,956,G,3271,G,17870,G,4512,H,1231,H,2811,G
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,9615,G,14071,G,27136,G,16747,G,8180,H,19181,G
Business,Paid employees for pay period including March 12,Educational services,2678,H,5133,H,8019,G,4130,G,3641,G,4913,G
Business,Paid employees for pay period including March 12,Health care and social assistance,34631,G,37533,G,64710,G,33634,H,35439,G,46653,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",1619,H,2102,G,6046,G,2895,G,726,G,3543,G
Business,Paid employees for pay period including March 12,Accommodation and food services,20844,G,25069,G,44754,G,28268,G,17213,G,34194,G
Business,Paid employees for pay period including March 12,Other services (except public administration),8662,G,9680,G,19645,G,10192,G,4521,G,13067,G
Business,Paid employees for pay period including March 12,Industries not classified,93,H,226,H,128,H,60,G,178,H,174,J
Business,"Annual payroll ($1,000)",Total for all sectors,7863216,G,8280523,G,19880666,G,10017004,G,5221216,G,11525715,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",5474,G,2937,H,706,G,7000,H,2460,G,25631,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",367640,G,27681,G,10655,H,21193,H,427496,G,17689,G
Business,"Annual payroll ($1,000)",Utilities,99854,H,89037,G,D,D,136784,H,80325,H,112901,G
Business,"Annual payroll ($1,000)",Construction,440874,G,494847,G,893392,G,538672,G,197265,G,765786,G
Business,"Annual payroll ($1,000)",Manufacturing,2261685,G,2318245,G,2629147,G,2081267,G,635618,G,2349018,G
Business,"Annual payroll ($1,000)",Wholesale trade,343000,G,314610,G,1245194,G,813982,G,221342,G,979187,H
Business,"Annual payroll ($1,000)",Retail trade,776881,G,782962,G,1153057,G,807720,G,688350,G,964050,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,691649,G,481797,G,1912942,J,940952,H,189826,G,392182,G
Business,"Annual payroll ($1,000)",Information,106094,H,174115,G,495023,G,140560,G,161648,G,326841,G
Business,"Annual payroll ($1,000)",Finance and insurance,303748,G,395584,G,2386007,H,774343,G,227010,G,528120,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,57299,G,79189,G,261843,G,117490,G,44672,G,116790,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",233932,G,257882,G,1317887,G,420253,G,188379,G,898352,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,49004,G,245199,G,1735206,H,402173,H,60859,H,227331,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,261242,G,343252,G,762606,G,455066,G,218775,H,596782,H
Business,"Annual payroll ($1,000)",Educational services,58130,H,104590,G,265157,G,104940,G,74154,G,136743,H
Business,"Annual payroll ($1,000)",Health care and social assistance,1291753,G,1548765,G,3092073,G,1530985,H,1454231,G,2096179,G
