Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE
People,Place of Birth,Total population,762506,(+/- 1571 ),720418,(+/- 9374 ),732088,(+/- 6986 ),778620,(+/- 11856 ),728346,(+/- 12994 ),765005,(+/- 9769 ),762326,(+/- 13747 ),744430,(+/- 3535 ),832753,(+/- 15714 ),791447,(+/- 16014 ),758331,(+/- 11136 ),760472,(+/- 8232 ),728996,(+/- 7696 ),769968,(+/- 11969 ),762822,(+/- 18653 ),803454,(+/- 11632 ),768138,(+/- 11789 ),754652,(+/- 10080 ),799332,(+/- 10769 ),794621,(+/- 16410 ),758201,(+/- 13284 ),737019,(+/- 10420 ),749377,(+/- 8009 ),749624,(+/- 18637 ),763628,(+/- 14209 ),788816,(+/- 17401 ),747049,(+/- 15095 )
People,Place of Birth,Native,721321,(+/- 3757 ),678487,(+/- 9236 ),675076,(+/- 8315 ),705089,(+/- 12292 ),676912,(+/- 13234 ),704885,(+/- 11829 ),660838,(+/- 13496 ),673035,(+/- 6940 ),695777,(+/- 14219 ),586553,(+/- 15804 ),708463,(+/- 11971 ),687347,(+/- 8853 ),644467,(+/- 9207 ),613514,(+/- 13135 ),675622,(+/- 17608 ),694660,(+/- 10656 ),681593,(+/- 11822 ),639837,(+/- 10383 ),664173,(+/- 11130 ),516082,(+/- 14146 ),554528,(+/- 12314 ),538323,(+/- 11405 ),481350,(+/- 10035 ),430796,(+/- 11840 ),318971,(+/- 12071 ),411878,(+/- 12909 ),336351,(+/- 12271 )
People,Place of Birth,Born in United States,703075,(+/- 4382 ),659803,(+/- 9318 ),658524,(+/- 8417 ),683882,(+/- 11998 ),655853,(+/- 13069 ),679060,(+/- 11422 ),605201,(+/- 12378 ),652427,(+/- 6861 ),576552,(+/- 13044 ),524776,(+/- 15274 ),688309,(+/- 12205 ),665744,(+/- 8838 ),630521,(+/- 9114 ),568939,(+/- 12558 ),632848,(+/- 16132 ),675144,(+/- 10459 ),664499,(+/- 11709 ),621401,(+/- 9884 ),646632,(+/- 10937 ),488238,(+/- 14256 ),536063,(+/- 12237 ),517695,(+/- 11501 ),455952,(+/- 9775 ),408280,(+/- 11431 ),305116,(+/- 11342 ),388012,(+/- 12811 ),312520,(+/- 10727 )
People,Place of Birth,State of residence,302802,(+/- 9177 ),368301,(+/- 7819 ),367612,(+/- 10198 ),315995,(+/- 13003 ),434194,(+/- 12590 ),264266,(+/- 9751 ),287551,(+/- 11167 ),242086,(+/- 8948 ),248544,(+/- 10455 ),273309,(+/- 11428 ),227439,(+/- 10690 ),246159,(+/- 8596 ),253017,(+/- 8480 ),298029,(+/- 9874 ),322277,(+/- 12891 ),256616,(+/- 9870 ),249162,(+/- 11566 ),244896,(+/- 9448 ),193522,(+/- 8358 ),335722,(+/- 11953 ),209238,(+/- 8606 ),205235,(+/- 9080 ),245998,(+/- 8354 ),315909,(+/- 10910 ),190720,(+/- 8533 ),282788,(+/- 11812 ),206357,(+/- 9737 )
People,Place of Birth,Different state,400273,(+/- 8222 ),291502,(+/- 7923 ),290912,(+/- 9240 ),367887,(+/- 11245 ),221659,(+/- 9225 ),414794,(+/- 10900 ),317650,(+/- 10636 ),410341,(+/- 7982 ),328008,(+/- 11267 ),251467,(+/- 10040 ),460870,(+/- 10394 ),419585,(+/- 10141 ),377504,(+/- 8692 ),270910,(+/- 9419 ),310571,(+/- 10151 ),418528,(+/- 8782 ),415337,(+/- 9055 ),376505,(+/- 10551 ),453110,(+/- 10780 ),152516,(+/- 8490 ),326825,(+/- 10494 ),312460,(+/- 9355 ),209954,(+/- 7998 ),92371,(+/- 6630 ),114396,(+/- 7497 ),105224,(+/- 5457 ),106163,(+/- 6077 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",18246,(+/- 2771 ),18684,(+/- 3513 ),16552,(+/- 2719 ),21207,(+/- 3348 ),21059,(+/- 3299 ),25825,(+/- 3641 ),55637,(+/- 5586 ),20608,(+/- 3177 ),119225,(+/- 10313 ),61777,(+/- 6824 ),20154,(+/- 3705 ),21603,(+/- 3005 ),13946,(+/- 2576 ),44575,(+/- 4842 ),42774,(+/- 5848 ),19516,(+/- 2952 ),17094,(+/- 3713 ),18436,(+/- 3374 ),17541,(+/- 2792 ),27844,(+/- 4750 ),18465,(+/- 3487 ),20628,(+/- 3839 ),25398,(+/- 3314 ),22516,(+/- 3631 ),13855,(+/- 2835 ),23866,(+/- 4217 ),23831,(+/- 4259 )
People,Place of Birth,Foreign born,41185,(+/- 3146 ),41931,(+/- 3885 ),57012,(+/- 5447 ),73531,(+/- 6602 ),51434,(+/- 4990 ),60120,(+/- 5727 ),101488,(+/- 7873 ),71395,(+/- 6697 ),136976,(+/- 10744 ),204894,(+/- 11877 ),49868,(+/- 5487 ),73125,(+/- 5973 ),84529,(+/- 5231 ),156454,(+/- 10165 ),87200,(+/- 7087 ),108794,(+/- 6111 ),86545,(+/- 6874 ),114815,(+/- 8498 ),135159,(+/- 8076 ),278539,(+/- 13060 ),203673,(+/- 11654 ),198696,(+/- 9746 ),268027,(+/- 10226 ),318828,(+/- 14122 ),444657,(+/- 12019 ),376938,(+/- 14638 ),410698,(+/- 11076 )
People,Ancestry,Total population,762506,(+/- 1571 ),720418,(+/- 9374 ),732088,(+/- 6986 ),778620,(+/- 11856 ),728346,(+/- 12994 ),765005,(+/- 9769 ),762326,(+/- 13747 ),744430,(+/- 3535 ),832753,(+/- 15714 ),791447,(+/- 16014 ),758331,(+/- 11136 ),760472,(+/- 8232 ),728996,(+/- 7696 ),769968,(+/- 11969 ),762822,(+/- 18653 ),803454,(+/- 11632 ),768138,(+/- 11789 ),754652,(+/- 10080 ),799332,(+/- 10769 ),794621,(+/- 16410 ),758201,(+/- 13284 ),737019,(+/- 10420 ),749377,(+/- 8009 ),749624,(+/- 18637 ),763628,(+/- 14209 ),788816,(+/- 17401 ),747049,(+/- 15095 )
People,Ancestry,American,63288,(+/- 5983 ),106849,(+/- 7731 ),46701,(+/- 4701 ),79072,(+/- 7759 ),32696,(+/- 4535 ),44981,(+/- 5100 ),72677,(+/- 9143 ),69216,(+/- 9063 ),82247,(+/- 9833 ),45930,(+/- 6936 ),66889,(+/- 7039 ),99269,(+/- 8922 ),46819,(+/- 5307 ),47198,(+/- 5500 ),61013,(+/- 6863 ),78445,(+/- 6678 ),100699,(+/- 8739 ),51271,(+/- 6189 ),114312,(+/- 9114 ),44828,(+/- 7727 ),48115,(+/- 6140 ),36724,(+/- 5104 ),59843,(+/- 5765 ),61770,(+/- 5918 ),29276,(+/- 5175 ),37917,(+/- 6320 ),32437,(+/- 5012 )
People,Ancestry,Arab,2071,(+/- 1307 ),1370,(+/- 635 ),2450,(+/- 1055 ),7270,(+/- 2157 ),4432,(+/- 1643 ),1173,(+/- 495 ),6180,(+/- 2477 ),4334,(+/- 1762 ),5934,(+/- 2635 ),7379,(+/- 2554 ),2642,(+/- 1849 ),5925,(+/- 2372 ),4649,(+/- 1993 ),9666,(+/- 3388 ),4733,(+/- 1427 ),2024,(+/- 844 ),1549,(+/- 750 ),2428,(+/- 1197 ),1993,(+/- 802 ),2941,(+/- 1938 ),4651,(+/- 1834 ),9099,(+/- 3260 ),9954,(+/- 2871 ),2290,(+/- 887 ),2094,(+/- 761 ),3091,(+/- 1314 ),7104,(+/- 1988 )
People,Ancestry,Czech,1873,(+/- 751 ),1292,(+/- 592 ),1346,(+/- 637 ),2566,(+/- 1236 ),651,(+/- 340 ),2185,(+/- 833 ),1877,(+/- 844 ),2511,(+/- 838 ),4005,(+/- 2613 ),1712,(+/- 797 ),3427,(+/- 1321 ),3968,(+/- 1501 ),3591,(+/- 1023 ),2414,(+/- 925 ),1720,(+/- 1001 ),3495,(+/- 1348 ),3145,(+/- 1311 ),2081,(+/- 698 ),3299,(+/- 1219 ),602,(+/- 506 ),2147,(+/- 925 ),1739,(+/- 829 ),994,(+/- 484 ),245,(+/- 185 ),849,(+/- 741 ),435,(+/- 258 ),553,(+/- 321 )
People,Ancestry,Danish,2450,(+/- 1061 ),1196,(+/- 446 ),605,(+/- 415 ),1483,(+/- 695 ),826,(+/- 520 ),2032,(+/- 684 ),1643,(+/- 696 ),2889,(+/- 1180 ),2170,(+/- 867 ),663,(+/- 384 ),3536,(+/- 1721 ),2032,(+/- 807 ),2241,(+/- 650 ),1698,(+/- 732 ),1197,(+/- 612 ),2550,(+/- 990 ),2166,(+/- 713 ),1879,(+/- 856 ),2022,(+/- 563 ),581,(+/- 468 ),891,(+/- 497 ),2581,(+/- 1029 ),863,(+/- 409 ),164,(+/- 198 ),488,(+/- 413 ),394,(+/- 269 ),381,(+/- 271 )
People,Ancestry,Dutch,10262,(+/- 2727 ),8661,(+/- 2239 ),7088,(+/- 1680 ),8884,(+/- 1607 ),3920,(+/- 1145 ),9479,(+/- 1751 ),7997,(+/- 1486 ),12086,(+/- 2279 ),5595,(+/- 1489 ),6853,(+/- 2247 ),14172,(+/- 2761 ),11043,(+/- 1929 ),10911,(+/- 1665 ),6937,(+/- 1511 ),7061,(+/- 1482 ),12209,(+/- 1896 ),9509,(+/- 1716 ),9907,(+/- 2967 ),12960,(+/- 2385 ),2012,(+/- 759 ),4733,(+/- 1178 ),6438,(+/- 2248 ),4760,(+/- 1887 ),1009,(+/- 406 ),2151,(+/- 771 ),1963,(+/- 736 ),1519,(+/- 670 )
People,Ancestry,English,80428,(+/- 6415 ),69878,(+/- 5000 ),75680,(+/- 6859 ),79610,(+/- 6851 ),35174,(+/- 3680 ),72877,(+/- 6185 ),56931,(+/- 4504 ),81501,(+/- 7024 ),44600,(+/- 6266 ),36836,(+/- 4627 ),87772,(+/- 5231 ),68505,(+/- 4928 ),67848,(+/- 5463 ),43270,(+/- 4390 ),58734,(+/- 5630 ),74958,(+/- 5667 ),74659,(+/- 5021 ),66807,(+/- 5683 ),65814,(+/- 4772 ),13538,(+/- 2476 ),34786,(+/- 2817 ),39944,(+/- 3949 ),25776,(+/- 3206 ),5953,(+/- 1303 ),16573,(+/- 2947 ),15168,(+/- 2213 ),13197,(+/- 2496 )
People,Ancestry,French (except Basque),23186,(+/- 3837 ),16472,(+/- 2430 ),20961,(+/- 3895 ),19151,(+/- 3143 ),8423,(+/- 2035 ),23454,(+/- 2797 ),16953,(+/- 2682 ),24315,(+/- 2845 ),13473,(+/- 2593 ),11786,(+/- 3187 ),28652,(+/- 3678 ),23642,(+/- 2990 ),24031,(+/- 3323 ),20254,(+/- 3743 ),17455,(+/- 2413 ),18627,(+/- 2607 ),22786,(+/- 3283 ),24071,(+/- 3927 ),20728,(+/- 3319 ),4715,(+/- 1637 ),14836,(+/- 2598 ),12743,(+/- 2352 ),11236,(+/- 2129 ),3766,(+/- 1148 ),6746,(+/- 2517 ),6473,(+/- 1235 ),10333,(+/- 2478 )
People,Ancestry,French Canadian,5138,(+/- 1686 ),2926,(+/- 1018 ),3507,(+/- 1267 ),5396,(+/- 1506 ),2755,(+/- 1046 ),6546,(+/- 1284 ),3448,(+/- 931 ),8107,(+/- 1680 ),3364,(+/- 1145 ),1585,(+/- 720 ),6878,(+/- 2062 ),5743,(+/- 1400 ),7075,(+/- 1235 ),4182,(+/- 1326 ),5624,(+/- 1681 ),6874,(+/- 1879 ),7669,(+/- 1593 ),5512,(+/- 1159 ),6126,(+/- 1374 ),3570,(+/- 2536 ),2948,(+/- 936 ),5305,(+/- 1581 ),2987,(+/- 885 ),759,(+/- 497 ),1280,(+/- 630 ),565,(+/- 373 ),605,(+/- 374 )
People,Ancestry,German,94588,(+/- 7212 ),75205,(+/- 6426 ),79753,(+/- 6251 ),94631,(+/- 6055 ),47659,(+/- 4715 ),93494,(+/- 6889 ),85726,(+/- 5675 ),107459,(+/- 6119 ),60869,(+/- 5967 ),59141,(+/- 5403 ),118192,(+/- 6781 ),123322,(+/- 8716 ),111389,(+/- 6976 ),68601,(+/- 4867 ),82636,(+/- 5975 ),118071,(+/- 6454 ),110260,(+/- 8341 ),102441,(+/- 7859 ),114875,(+/- 7802 ),22701,(+/- 3596 ),58987,(+/- 5212 ),71789,(+/- 5282 ),41204,(+/- 4643 ),11516,(+/- 2447 ),26717,(+/- 4905 ),19216,(+/- 2470 ),21520,(+/- 2166 )
People,Ancestry,Greek,4012,(+/- 2050 ),3611,(+/- 1478 ),4052,(+/- 1429 ),4666,(+/- 1221 ),830,(+/- 499 ),2685,(+/- 988 ),4134,(+/- 1717 ),4289,(+/- 1404 ),2516,(+/- 1578 ),2089,(+/- 867 ),3544,(+/- 1211 ),11387,(+/- 2143 ),5572,(+/- 1437 ),3623,(+/- 1311 ),1903,(+/- 858 ),4197,(+/- 2242 ),3728,(+/- 1806 ),3588,(+/- 1208 ),6215,(+/- 2360 ),1307,(+/- 726 ),3254,(+/- 1060 ),7433,(+/- 2031 ),3594,(+/- 1292 ),664,(+/- 486 ),759,(+/- 406 ),281,(+/- 227 ),2413,(+/- 866 )
People,Ancestry,Hungarian,4154,(+/- 2891 ),3749,(+/- 1543 ),2801,(+/- 1246 ),3343,(+/- 1681 ),1127,(+/- 550 ),3499,(+/- 1119 ),3896,(+/- 1235 ),5629,(+/- 1615 ),2058,(+/- 879 ),1735,(+/- 718 ),6023,(+/- 1716 ),6339,(+/- 1533 ),5318,(+/- 1260 ),2126,(+/- 741 ),1803,(+/- 971 ),5284,(+/- 1601 ),3727,(+/- 1013 ),8268,(+/- 1832 ),4152,(+/- 1160 ),1281,(+/- 748 ),6184,(+/- 1257 ),8312,(+/- 1942 ),5476,(+/- 1394 ),1698,(+/- 765 ),2434,(+/- 1123 ),1074,(+/- 706 ),2697,(+/- 1318 )
People,Ancestry,Irish,84258,(+/- 6347 ),75488,(+/- 6208 ),70822,(+/- 5976 ),90800,(+/- 6423 ),43643,(+/- 5500 ),94730,(+/- 6046 ),69962,(+/- 5378 ),103589,(+/- 8028 ),53794,(+/- 5406 ),53678,(+/- 7076 ),108983,(+/- 7909 ),100729,(+/- 7291 ),88175,(+/- 5922 ),68101,(+/- 5538 ),73288,(+/- 6299 ),86992,(+/- 5991 ),86554,(+/- 7063 ),91512,(+/- 7865 ),87603,(+/- 6474 ),23112,(+/- 3631 ),64688,(+/- 5929 ),64476,(+/- 4534 ),41346,(+/- 4431 ),9414,(+/- 2106 ),20075,(+/- 3231 ),17817,(+/- 3629 ),19091,(+/- 2410 )
People,Ancestry,Italian,36694,(+/- 5331 ),23746,(+/- 3347 ),36749,(+/- 5095 ),45113,(+/- 5510 ),15467,(+/- 2294 ),57502,(+/- 5208 ),47620,(+/- 4513 ),58508,(+/- 5827 ),33402,(+/- 4590 ),37266,(+/- 5124 ),64843,(+/- 6607 ),72798,(+/- 7518 ),57673,(+/- 5272 ),47541,(+/- 4453 ),39173,(+/- 4803 ),56555,(+/- 5176 ),48193,(+/- 5896 ),67539,(+/- 6539 ),65610,(+/- 5089 ),20761,(+/- 3315 ),74125,(+/- 7313 ),73203,(+/- 7071 ),55966,(+/- 5560 ),10366,(+/- 1676 ),19697,(+/- 3733 ),14274,(+/- 2509 ),27132,(+/- 3125 )
People,Ancestry,Lithuanian,470,(+/- 299 ),744,(+/- 462 ),837,(+/- 450 ),878,(+/- 407 ),656,(+/- 431 ),1225,(+/- 489 ),1169,(+/- 590 ),1845,(+/- 939 ),659,(+/- 438 ),1100,(+/- 869 ),1798,(+/- 701 ),1975,(+/- 919 ),1621,(+/- 628 ),1117,(+/- 527 ),411,(+/- 258 ),1888,(+/- 633 ),2001,(+/- 743 ),2301,(+/- 929 ),2063,(+/- 810 ),245,(+/- 199 ),2343,(+/- 762 ),2432,(+/- 846 ),1237,(+/- 533 ),207,(+/- 176 ),404,(+/- 350 ),362,(+/- 225 ),820,(+/- 488 )
People,Ancestry,Norwegian,4438,(+/- 1521 ),4572,(+/- 1115 ),4104,(+/- 1152 ),6048,(+/- 1537 ),3157,(+/- 1577 ),5189,(+/- 1532 ),4734,(+/- 1497 ),6594,(+/- 1543 ),4496,(+/- 1498 ),3640,(+/- 1288 ),7215,(+/- 1677 ),7453,(+/- 1763 ),6739,(+/- 1452 ),3092,(+/- 1081 ),3412,(+/- 1185 ),5669,(+/- 1137 ),5554,(+/- 1561 ),6312,(+/- 3333 ),8193,(+/- 1790 ),825,(+/- 403 ),2393,(+/- 695 ),3904,(+/- 1039 ),1851,(+/- 662 ),670,(+/- 372 ),1221,(+/- 599 ),1301,(+/- 629 ),1400,(+/- 643 )
People,Ancestry,Polish,12520,(+/- 2900 ),11816,(+/- 2030 ),14383,(+/- 2693 ),17956,(+/- 3060 ),7200,(+/- 1756 ),19690,(+/- 2462 ),21621,(+/- 3367 ),21411,(+/- 3307 ),11766,(+/- 2792 ),12999,(+/- 2637 ),27763,(+/- 3937 ),31002,(+/- 3578 ),28198,(+/- 4171 ),14843,(+/- 2307 ),14395,(+/- 2542 ),22587,(+/- 2480 ),25660,(+/- 3797 ),28435,(+/- 3951 ),28895,(+/- 3481 ),7210,(+/- 1916 ),31562,(+/- 3380 ),27708,(+/- 3693 ),21885,(+/- 4248 ),4010,(+/- 1375 ),9545,(+/- 3786 ),4733,(+/- 1516 ),8424,(+/- 1682 )
People,Ancestry,Portuguese,4241,(+/- 2254 ),2002,(+/- 997 ),1609,(+/- 629 ),3052,(+/- 1216 ),1127,(+/- 658 ),5623,(+/- 1649 ),2450,(+/- 1285 ),3406,(+/- 1211 ),2519,(+/- 1193 ),3456,(+/- 1637 ),3350,(+/- 1132 ),1846,(+/- 696 ),3439,(+/- 998 ),3615,(+/- 1962 ),1819,(+/- 843 ),3532,(+/- 1427 ),4881,(+/- 2547 ),5229,(+/- 2296 ),3658,(+/- 1259 ),1001,(+/- 587 ),3350,(+/- 1136 ),5588,(+/- 1827 ),2391,(+/- 804 ),1108,(+/- 554 ),1183,(+/- 663 ),1455,(+/- 765 ),2728,(+/- 820 )
People,Ancestry,Russian,3449,(+/- 1882 ),3170,(+/- 1302 ),6416,(+/- 2206 ),5717,(+/- 2305 ),1927,(+/- 1027 ),6996,(+/- 2272 ),6799,(+/- 1776 ),5511,(+/- 1462 ),3586,(+/- 1570 ),2872,(+/- 1163 ),5403,(+/- 1552 ),7956,(+/- 2346 ),6669,(+/- 2073 ),7018,(+/- 1669 ),2998,(+/- 1251 ),8610,(+/- 2033 ),4622,(+/- 1330 ),11419,(+/- 2767 ),7939,(+/- 1870 ),4309,(+/- 1591 ),29445,(+/- 4050 ),25253,(+/- 3604 ),24987,(+/- 3753 ),3617,(+/- 900 ),2734,(+/- 1241 ),2283,(+/- 1255 ),7819,(+/- 1479 )
People,Ancestry,Scotch-Irish,12368,(+/- 2251 ),10597,(+/- 1815 ),7091,(+/- 1486 ),11459,(+/- 2221 ),5810,(+/- 1421 ),6683,(+/- 1354 ),7328,(+/- 1560 ),9232,(+/- 1981 ),5470,(+/- 1736 ),4874,(+/- 1416 ),9798,(+/- 1941 ),7798,(+/- 1517 ),8311,(+/- 1425 ),5698,(+/- 1521 ),7416,(+/- 1770 ),8775,(+/- 1595 ),7144,(+/- 1745 ),7651,(+/- 1959 ),7940,(+/- 1619 ),1669,(+/- 826 ),4666,(+/- 1240 ),3842,(+/- 983 ),2676,(+/- 1139 ),760,(+/- 461 ),2109,(+/- 1059 ),1141,(+/- 495 ),2262,(+/- 840 )
People,Ancestry,Scottish,17603,(+/- 3056 ),20389,(+/- 3989 ),15479,(+/- 2108 ),21447,(+/- 4068 ),9128,(+/- 1717 ),17048,(+/- 3326 ),14355,(+/- 2284 ),17004,(+/- 2819 ),8685,(+/- 1872 ),8870,(+/- 2393 ),21459,(+/- 3565 ),17917,(+/- 3115 ),17351,(+/- 2481 ),12436,(+/- 2490 ),13320,(+/- 2502 ),16978,(+/- 1961 ),15494,(+/- 2734 ),12263,(+/- 2300 ),14861,(+/- 2199 ),3816,(+/- 1655 ),9018,(+/- 1625 ),10806,(+/- 2077 ),5187,(+/- 1431 ),1653,(+/- 650 ),2976,(+/- 1206 ),4035,(+/- 1489 ),3061,(+/- 852 )
People,Ancestry,Slovak,1101,(+/- 521 ),1070,(+/- 783 ),541,(+/- 528 ),959,(+/- 465 ),465,(+/- 327 ),1926,(+/- 884 ),973,(+/- 539 ),1710,(+/- 551 ),268,(+/- 224 ),731,(+/- 441 ),2229,(+/- 921 ),2042,(+/- 1046 ),1845,(+/- 796 ),1277,(+/- 668 ),1011,(+/- 639 ),1839,(+/- 670 ),1456,(+/- 759 ),2057,(+/- 1245 ),1630,(+/- 640 ),412,(+/- 359 ),654,(+/- 380 ),1804,(+/- 762 ),703,(+/- 366 ),173,(+/- 172 ),937,(+/- 796 ),320,(+/- 239 ),563,(+/- 435 )
People,Ancestry,Subsaharan African,2947,(+/- 1054 ),5415,(+/- 2321 ),9750,(+/- 3337 ),3564,(+/- 1357 ),9287,(+/- 2192 ),1833,(+/- 807 ),4174,(+/- 1472 ),1300,(+/- 723 ),7998,(+/- 3832 ),10481,(+/- 3002 ),4323,(+/- 2852 ),3848,(+/- 1851 ),4122,(+/- 1290 ),8121,(+/- 2440 ),3009,(+/- 1270 ),2447,(+/- 1300 ),675,(+/- 438 ),2356,(+/- 1158 ),1794,(+/- 1140 ),19135,(+/- 5307 ),7092,(+/- 3359 ),2829,(+/- 1043 ),4321,(+/- 1563 ),6610,(+/- 2019 ),1245,(+/- 763 ),5614,(+/- 2192 ),1738,(+/- 1037 )
People,Ancestry,Swedish,6675,(+/- 1612 ),6103,(+/- 1596 ),7088,(+/- 2545 ),8357,(+/- 1971 ),2361,(+/- 788 ),5914,(+/- 1536 ),6147,(+/- 1422 ),8199,(+/- 1583 ),3338,(+/- 1180 ),4048,(+/- 1333 ),8781,(+/- 2357 ),7677,(+/- 1479 ),8211,(+/- 1407 ),5480,(+/- 1492 ),5104,(+/- 1291 ),9884,(+/- 1738 ),7503,(+/- 1723 ),8425,(+/- 3308 ),10284,(+/- 1632 ),1244,(+/- 479 ),6318,(+/- 1499 ),6447,(+/- 1948 ),2396,(+/- 749 ),1141,(+/- 642 ),1750,(+/- 692 ),1584,(+/- 621 ),1225,(+/- 476 )
People,Ancestry,Swiss,947,(+/- 505 ),1002,(+/- 447 ),1313,(+/- 734 ),1812,(+/- 887 ),877,(+/- 429 ),1961,(+/- 1047 ),1137,(+/- 641 ),1167,(+/- 440 ),1532,(+/- 1269 ),1564,(+/- 704 ),1773,(+/- 773 ),2473,(+/- 961 ),2027,(+/- 709 ),1151,(+/- 454 ),1237,(+/- 442 ),3776,(+/- 1121 ),2912,(+/- 1116 ),2087,(+/- 1131 ),1743,(+/- 547 ),480,(+/- 362 ),1289,(+/- 523 ),1876,(+/- 1049 ),656,(+/- 452 ),394,(+/- 385 ),764,(+/- 488 ),625,(+/- 551 ),1257,(+/- 645 )
People,Ancestry,Ukrainian,1754,(+/- 1027 ),1138,(+/- 593 ),1727,(+/- 996 ),1605,(+/- 624 ),249,(+/- 209 ),2600,(+/- 1085 ),2640,(+/- 1161 ),1643,(+/- 573 ),736,(+/- 396 ),1311,(+/- 734 ),3115,(+/- 1191 ),3285,(+/- 1121 ),2192,(+/- 768 ),1559,(+/- 730 ),923,(+/- 459 ),2125,(+/- 803 ),2954,(+/- 1304 ),4013,(+/- 1703 ),2990,(+/- 1239 ),1317,(+/- 734 ),2885,(+/- 974 ),3293,(+/- 1012 ),5299,(+/- 1737 ),360,(+/- 267 ),1518,(+/- 986 ),1078,(+/- 661 ),1333,(+/- 589 )
People,Ancestry,Welsh,6475,(+/- 1434 ),3239,(+/- 955 ),4117,(+/- 1175 ),4602,(+/- 1283 ),1754,(+/- 826 ),5203,(+/- 1654 ),4386,(+/- 1064 ),5315,(+/- 1399 ),2894,(+/- 1107 ),3119,(+/- 1564 ),6194,(+/- 2770 ),4540,(+/- 1214 ),6325,(+/- 1763 ),5008,(+/- 1245 ),4881,(+/- 1484 ),6071,(+/- 1335 ),3995,(+/- 1151 ),3517,(+/- 1187 ),4778,(+/- 1065 ),1316,(+/- 580 ),2387,(+/- 784 ),2485,(+/- 1034 ),1318,(+/- 610 ),732,(+/- 709 ),779,(+/- 551 ),590,(+/- 291 ),1121,(+/- 510 )
People,Ancestry,West Indian (excluding Hispanic origin groups),2089,(+/- 964 ),7993,(+/- 2437 ),11800,(+/- 3810 ),5459,(+/- 2030 ),13371,(+/- 3506 ),8739,(+/- 3207 ),17269,(+/- 3566 ),16571,(+/- 3110 ),39415,(+/- 8120 ),72778,(+/- 8801 ),10195,(+/- 3317 ),7985,(+/- 2263 ),8213,(+/- 2623 ),20656,(+/- 5094 ),12145,(+/- 3050 ),4707,(+/- 1591 ),12730,(+/- 2740 ),39111,(+/- 6575 ),27252,(+/- 5173 ),187352,(+/- 13375 ),73532,(+/- 8639 ),70971,(+/- 8730 ),52281,(+/- 8342 ),149111,(+/- 11979 ),13365,(+/- 3111 ),28571,(+/- 5309 ),13370,(+/- 3117 )
People,Veteran Status,Civilian population 18 years and over,573148,(+/- 3408 ),575310,(+/- 7556 ),577479,(+/- 5190 ),602333,(+/- 9410 ),555856,(+/- 9877 ),626834,(+/- 7594 ),609006,(+/- 10617 ),608204,(+/- 3624 ),630145,(+/- 11820 ),607463,(+/- 12207 ),641747,(+/- 7665 ),614957,(+/- 6960 ),602791,(+/- 6522 ),599648,(+/- 8806 ),587158,(+/- 13891 ),648610,(+/- 8734 ),634732,(+/- 9885 ),610717,(+/- 7794 ),659247,(+/- 8160 ),604041,(+/- 12641 ),612705,(+/- 10753 ),599542,(+/- 9008 ),597143,(+/- 8524 ),586993,(+/- 14277 ),612827,(+/- 12511 ),612527,(+/- 13710 ),613592,(+/- 11286 )
People,Veteran Status,Civilian veterans,95305,(+/- 5433 ),65941,(+/- 3402 ),66975,(+/- 4308 ),70079,(+/- 3587 ),58464,(+/- 3879 ),70327,(+/- 3988 ),43526,(+/- 3163 ),79083,(+/- 3942 ),45021,(+/- 3544 ),37175,(+/- 3882 ),94753,(+/- 4311 ),65787,(+/- 3716 ),64148,(+/- 3816 ),41837,(+/- 3428 ),52541,(+/- 4080 ),71179,(+/- 3671 ),78267,(+/- 4374 ),61439,(+/- 4296 ),61750,(+/- 3970 ),25273,(+/- 2742 ),43978,(+/- 3142 ),39499,(+/- 3123 ),25981,(+/- 2336 ),15895,(+/- 1896 ),19643,(+/- 2567 ),20383,(+/- 2050 ),15081,(+/- 1479 )
