Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE
People,Place of Birth,Total population,718175,(+/- 4908 ),714040,(+/- 8215 ),732591,(+/- 12035 ),723377,(+/- 13136 ),794154,(+/- 15868 ),753744,(+/- 16877 ),763468,(+/- 18454 ),771711,(+/- 19644 ),738674,(+/- 19050 ),708960,(+/- 18585 ),735452,(+/- 11681 ),715471,(+/- 19247 ),812752,(+/- 17642 ),691715,(+/- 20462 ),768801,(+/- 19325 ),736806,(+/- 13874 ),744406,(+/- 5999 ),722617,(+/- 6833 ),698185,(+/- 6241 ),723416,(+/- 5531 ),711798,(+/- 3688 ),703464,(+/- 3765 ),703717,(+/- 3717 ),707479,(+/- 2961 ),720963,(+/- 2696 ),709220,(+/- 4462 ),720133,(+/- 6294 )
People,Place of Birth,Native,625624,(+/- 7782 ),582717,(+/- 10460 ),567853,(+/- 11424 ),561188,(+/- 12187 ),460336,(+/- 13053 ),368589,(+/- 9740 ),491084,(+/- 15868 ),515679,(+/- 16967 ),442420,(+/- 14728 ),483686,(+/- 14593 ),509516,(+/- 11028 ),528115,(+/- 15340 ),500972,(+/- 15269 ),374774,(+/- 14147 ),475065,(+/- 15211 ),513969,(+/- 15418 ),565239,(+/- 8933 ),634201,(+/- 7561 ),651166,(+/- 6680 ),658706,(+/- 6168 ),687723,(+/- 4056 ),667170,(+/- 5148 ),671788,(+/- 4794 ),664799,(+/- 4644 ),655942,(+/- 5219 ),654217,(+/- 5265 ),696636,(+/- 6718 )
People,Place of Birth,Born in United States,614981,(+/- 7775 ),572715,(+/- 10328 ),556799,(+/- 11078 ),550029,(+/- 11964 ),441230,(+/- 12382 ),352596,(+/- 10018 ),453674,(+/- 14694 ),493490,(+/- 15915 ),426721,(+/- 14316 ),465912,(+/- 13605 ),492606,(+/- 10341 ),506582,(+/- 15145 ),465901,(+/- 14340 ),346578,(+/- 14170 ),416623,(+/- 14548 ),486645,(+/- 14938 ),546391,(+/- 8668 ),620449,(+/- 7776 ),640122,(+/- 6903 ),646508,(+/- 6358 ),678051,(+/- 3885 ),661405,(+/- 5854 ),663593,(+/- 4898 ),657173,(+/- 4868 ),631107,(+/- 5116 ),638998,(+/- 5644 ),691803,(+/- 6757 )
People,Place of Birth,State of residence,558388,(+/- 8275 ),536416,(+/- 10024 ),510219,(+/- 10051 ),504462,(+/- 11447 ),398367,(+/- 12112 ),322736,(+/- 9697 ),355018,(+/- 14283 ),402229,(+/- 14563 ),343919,(+/- 13040 ),307067,(+/- 12321 ),455675,(+/- 10285 ),296994,(+/- 12572 ),365062,(+/- 13822 ),310261,(+/- 13380 ),378293,(+/- 13926 ),406194,(+/- 14482 ),452279,(+/- 9656 ),512478,(+/- 9119 ),521830,(+/- 7926 ),536973,(+/- 7699 ),556175,(+/- 6246 ),567698,(+/- 7425 ),523861,(+/- 6309 ),562524,(+/- 6462 ),525595,(+/- 6609 ),561039,(+/- 6523 ),614013,(+/- 7676 )
People,Place of Birth,Different state,56593,(+/- 4887 ),36299,(+/- 3142 ),46580,(+/- 3568 ),45567,(+/- 4037 ),42863,(+/- 3400 ),29860,(+/- 2718 ),98656,(+/- 5427 ),91261,(+/- 5172 ),82802,(+/- 5252 ),158845,(+/- 7283 ),36931,(+/- 3142 ),209588,(+/- 9404 ),100839,(+/- 6779 ),36317,(+/- 2949 ),38330,(+/- 4044 ),80451,(+/- 4644 ),94112,(+/- 5911 ),107971,(+/- 5716 ),118292,(+/- 5888 ),109535,(+/- 5946 ),121876,(+/- 4998 ),93707,(+/- 4658 ),139732,(+/- 5851 ),94649,(+/- 5375 ),105512,(+/- 5049 ),77959,(+/- 4856 ),77790,(+/- 4652 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",10643,(+/- 2768 ),10002,(+/- 1601 ),11054,(+/- 2249 ),11159,(+/- 2198 ),19106,(+/- 2208 ),15993,(+/- 2262 ),37410,(+/- 3558 ),22189,(+/- 2772 ),15699,(+/- 2182 ),17774,(+/- 3026 ),16910,(+/- 2601 ),21533,(+/- 3732 ),35071,(+/- 3950 ),28196,(+/- 3231 ),58442,(+/- 4238 ),27324,(+/- 3661 ),18848,(+/- 2710 ),13752,(+/- 2425 ),11044,(+/- 1866 ),12198,(+/- 2058 ),9672,(+/- 1595 ),5765,(+/- 1395 ),8195,(+/- 1419 ),7626,(+/- 1334 ),24835,(+/- 2594 ),15219,(+/- 2450 ),4833,(+/- 1184 )
People,Place of Birth,Foreign born,92551,(+/- 6338 ),131323,(+/- 7460 ),164738,(+/- 9193 ),162189,(+/- 9854 ),333818,(+/- 11552 ),385155,(+/- 12908 ),272384,(+/- 10223 ),256032,(+/- 10652 ),296254,(+/- 10665 ),225274,(+/- 9512 ),225936,(+/- 9710 ),187356,(+/- 12373 ),311780,(+/- 15125 ),316941,(+/- 12237 ),293736,(+/- 12116 ),222837,(+/- 9839 ),179167,(+/- 7582 ),88416,(+/- 4999 ),47019,(+/- 3588 ),64710,(+/- 4386 ),24075,(+/- 2644 ),36294,(+/- 2823 ),31929,(+/- 2655 ),42680,(+/- 3361 ),65021,(+/- 4265 ),55003,(+/- 4093 ),23497,(+/- 2556 )
People,Ancestry,Total population,718175,(+/- 4908 ),714040,(+/- 8215 ),732591,(+/- 12035 ),723377,(+/- 13136 ),794154,(+/- 15868 ),753744,(+/- 16877 ),763468,(+/- 18454 ),771711,(+/- 19644 ),738674,(+/- 19050 ),708960,(+/- 18585 ),735452,(+/- 11681 ),715471,(+/- 19247 ),812752,(+/- 17642 ),691715,(+/- 20462 ),768801,(+/- 19325 ),736806,(+/- 13874 ),744406,(+/- 5999 ),722617,(+/- 6833 ),698185,(+/- 6241 ),723416,(+/- 5531 ),711798,(+/- 3688 ),703464,(+/- 3765 ),703717,(+/- 3717 ),707479,(+/- 2961 ),720963,(+/- 2696 ),709220,(+/- 4462 ),720133,(+/- 6294 )
People,Ancestry,American,27342,(+/- 4082 ),25353,(+/- 3231 ),40607,(+/- 5027 ),27894,(+/- 4034 ),23521,(+/- 3849 ),31263,(+/- 4003 ),28659,(+/- 6019 ),47974,(+/- 5964 ),44897,(+/- 4938 ),52411,(+/- 6470 ),64710,(+/- 6084 ),67532,(+/- 10117 ),20593,(+/- 3875 ),20242,(+/- 4031 ),15973,(+/- 3624 ),34708,(+/- 4518 ),53859,(+/- 6479 ),70810,(+/- 7283 ),38307,(+/- 4326 ),28944,(+/- 3926 ),56581,(+/- 4811 ),80748,(+/- 6386 ),39296,(+/- 3380 ),22913,(+/- 2908 ),26297,(+/- 3853 ),22805,(+/- 3120 ),38641,(+/- 4948 )
People,Ancestry,Arab,2027,(+/- 1022 ),1559,(+/- 855 ),5535,(+/- 1850 ),2703,(+/- 1128 ),4073,(+/- 2221 ),8222,(+/- 2458 ),6792,(+/- 2270 ),6467,(+/- 3262 ),11491,(+/- 3182 ),10601,(+/- 3351 ),31655,(+/- 6223 ),12145,(+/- 2840 ),7705,(+/- 3266 ),9642,(+/- 2865 ),6618,(+/- 3405 ),5674,(+/- 2032 ),4541,(+/- 1675 ),4017,(+/- 2026 ),2538,(+/- 965 ),6853,(+/- 2156 ),2080,(+/- 787 ),6319,(+/- 2482 ),1849,(+/- 690 ),5313,(+/- 2138 ),6267,(+/- 2030 ),10334,(+/- 3296 ),2071,(+/- 902 )
People,Ancestry,Czech,3650,(+/- 1745 ),2053,(+/- 805 ),2339,(+/- 718 ),1909,(+/- 743 ),156,(+/- 161 ),1917,(+/- 1437 ),1009,(+/- 411 ),554,(+/- 389 ),925,(+/- 396 ),1386,(+/- 556 ),869,(+/- 509 ),2907,(+/- 1122 ),850,(+/- 537 ),764,(+/- 330 ),108,(+/- 127 ),570,(+/- 331 ),3072,(+/- 1061 ),2067,(+/- 742 ),2895,(+/- 832 ),2204,(+/- 845 ),2057,(+/- 722 ),1264,(+/- 508 ),3221,(+/- 978 ),1767,(+/- 685 ),1912,(+/- 819 ),987,(+/- 438 ),1332,(+/- 680 )
People,Ancestry,Danish,1086,(+/- 439 ),1341,(+/- 572 ),1055,(+/- 470 ),743,(+/- 484 ),68,(+/- 83 ),376,(+/- 353 ),1220,(+/- 563 ),337,(+/- 252 ),476,(+/- 317 ),1513,(+/- 893 ),481,(+/- 340 ),1593,(+/- 770 ),697,(+/- 409 ),490,(+/- 458 ),0,(+/- 192 ),778,(+/- 524 ),1225,(+/- 547 ),1174,(+/- 503 ),3055,(+/- 982 ),2008,(+/- 891 ),1810,(+/- 671 ),1841,(+/- 566 ),3017,(+/- 722 ),2059,(+/- 558 ),2164,(+/- 1064 ),840,(+/- 410 ),824,(+/- 357 )
People,Ancestry,Dutch,5173,(+/- 1543 ),5042,(+/- 1579 ),3859,(+/- 1452 ),2198,(+/- 972 ),668,(+/- 510 ),950,(+/- 538 ),1993,(+/- 661 ),2166,(+/- 1307 ),2098,(+/- 618 ),5045,(+/- 2027 ),1122,(+/- 537 ),4806,(+/- 1219 ),1563,(+/- 779 ),528,(+/- 294 ),261,(+/- 248 ),2436,(+/- 759 ),5663,(+/- 1320 ),10416,(+/- 1988 ),33512,(+/- 4100 ),24987,(+/- 4195 ),18889,(+/- 2291 ),14840,(+/- 2028 ),23027,(+/- 2315 ),25439,(+/- 3291 ),13877,(+/- 2020 ),6956,(+/- 1348 ),12447,(+/- 1916 )
People,Ancestry,English,43616,(+/- 4466 ),22450,(+/- 2778 ),24271,(+/- 2963 ),17082,(+/- 2402 ),2970,(+/- 1088 ),5474,(+/- 1367 ),14254,(+/- 1687 ),6512,(+/- 1165 ),11859,(+/- 1994 ),36192,(+/- 4845 ),8728,(+/- 1717 ),33491,(+/- 3867 ),9378,(+/- 1611 ),4574,(+/- 826 ),416,(+/- 197 ),15733,(+/- 2293 ),24844,(+/- 3029 ),38238,(+/- 3195 ),62826,(+/- 4271 ),59926,(+/- 4017 ),77167,(+/- 4298 ),81889,(+/- 5115 ),90898,(+/- 4651 ),81210,(+/- 5394 ),71595,(+/- 4859 ),42323,(+/- 2955 ),88139,(+/- 4656 )
People,Ancestry,French (except Basque),14620,(+/- 2639 ),9262,(+/- 2208 ),8680,(+/- 2169 ),6723,(+/- 1498 ),1984,(+/- 677 ),3585,(+/- 1332 ),5634,(+/- 1272 ),4821,(+/- 1230 ),4630,(+/- 1777 ),12319,(+/- 2697 ),3693,(+/- 970 ),16574,(+/- 3579 ),5218,(+/- 1650 ),3910,(+/- 1497 ),603,(+/- 387 ),6558,(+/- 1662 ),7196,(+/- 2487 ),12635,(+/- 2186 ),24329,(+/- 2855 ),36359,(+/- 3693 ),82572,(+/- 5075 ),27063,(+/- 3140 ),18940,(+/- 2355 ),33688,(+/- 3356 ),18441,(+/- 2782 ),17143,(+/- 2532 ),22637,(+/- 2844 )
People,Ancestry,French Canadian,2906,(+/- 998 ),2443,(+/- 1007 ),2011,(+/- 802 ),1482,(+/- 686 ),112,(+/- 128 ),304,(+/- 212 ),983,(+/- 435 ),909,(+/- 500 ),770,(+/- 438 ),1103,(+/- 432 ),1223,(+/- 623 ),3401,(+/- 1288 ),1360,(+/- 687 ),956,(+/- 569 ),0,(+/- 192 ),1333,(+/- 696 ),3196,(+/- 1186 ),3196,(+/- 1090 ),7464,(+/- 1478 ),14048,(+/- 2393 ),32029,(+/- 3192 ),7888,(+/- 1175 ),4586,(+/- 1050 ),12842,(+/- 2419 ),7710,(+/- 1751 ),4701,(+/- 1299 ),7390,(+/- 1243 )
People,Ancestry,German,121766,(+/- 6670 ),86519,(+/- 5775 ),68059,(+/- 4892 ),59947,(+/- 5791 ),12166,(+/- 2922 ),23782,(+/- 2555 ),22077,(+/- 2624 ),13459,(+/- 2388 ),16699,(+/- 2506 ),46541,(+/- 4880 ),23582,(+/- 3288 ),56332,(+/- 5221 ),17581,(+/- 2631 ),13233,(+/- 2037 ),2834,(+/- 1393 ),29779,(+/- 3292 ),49017,(+/- 3408 ),73906,(+/- 5070 ),132621,(+/- 6459 ),117689,(+/- 6571 ),94396,(+/- 6274 ),102087,(+/- 5987 ),141246,(+/- 6633 ),124875,(+/- 6458 ),130595,(+/- 5758 ),140445,(+/- 8526 ),206626,(+/- 7527 )
People,Ancestry,Greek,10180,(+/- 3110 ),8073,(+/- 2578 ),16513,(+/- 2872 ),9093,(+/- 3323 ),2276,(+/- 1364 ),9757,(+/- 2467 ),2365,(+/- 875 ),2447,(+/- 771 ),2091,(+/- 798 ),5583,(+/- 1576 ),9827,(+/- 2182 ),8815,(+/- 2020 ),1927,(+/- 906 ),10254,(+/- 2558 ),361,(+/- 285 ),4813,(+/- 1300 ),5199,(+/- 2164 ),4726,(+/- 1496 ),5788,(+/- 1685 ),5669,(+/- 1943 ),1360,(+/- 499 ),1410,(+/- 768 ),2532,(+/- 786 ),2217,(+/- 967 ),5299,(+/- 1621 ),3246,(+/- 1192 ),3208,(+/- 1133 )
People,Ancestry,Hungarian,5927,(+/- 2177 ),3430,(+/- 1083 ),6420,(+/- 1573 ),5622,(+/- 1906 ),1140,(+/- 561 ),5135,(+/- 1756 ),14265,(+/- 4372 ),2607,(+/- 1352 ),3922,(+/- 1276 ),13930,(+/- 2910 ),2334,(+/- 819 ),6237,(+/- 1461 ),1297,(+/- 712 ),994,(+/- 445 ),141,(+/- 109 ),3261,(+/- 1098 ),16373,(+/- 3102 ),12322,(+/- 3857 ),5561,(+/- 1306 ),3535,(+/- 1013 ),3401,(+/- 938 ),2828,(+/- 938 ),4050,(+/- 1191 ),2756,(+/- 890 ),2419,(+/- 794 ),6762,(+/- 1456 ),6683,(+/- 2087 )
People,Ancestry,Irish,144996,(+/- 7748 ),127614,(+/- 8837 ),98801,(+/- 6565 ),95810,(+/- 8221 ),19947,(+/- 3422 ),29637,(+/- 3674 ),27955,(+/- 2637 ),20733,(+/- 2770 ),23028,(+/- 3149 ),46569,(+/- 4883 ),72687,(+/- 6972 ),60492,(+/- 6100 ),20715,(+/- 2834 ),26002,(+/- 3483 ),4338,(+/- 1987 ),57491,(+/- 4310 ),102444,(+/- 6268 ),115055,(+/- 6167 ),138419,(+/- 6358 ),156461,(+/- 8447 ),131539,(+/- 6701 ),112799,(+/- 4988 ),119872,(+/- 6191 ),154004,(+/- 7602 ),100932,(+/- 5368 ),105262,(+/- 5898 ),136758,(+/- 7197 )
People,Ancestry,Italian,177899,(+/- 8961 ),178548,(+/- 8355 ),151568,(+/- 8454 ),122434,(+/- 7729 ),18776,(+/- 2870 ),47507,(+/- 4397 ),28804,(+/- 3715 ),36655,(+/- 5291 ),21483,(+/- 2539 ),56760,(+/- 4894 ),172481,(+/- 8574 ),62281,(+/- 5723 ),15270,(+/- 2417 ),45684,(+/- 4398 ),6729,(+/- 1350 ),76286,(+/- 6351 ),113963,(+/- 7381 ),128774,(+/- 6994 ),112757,(+/- 5801 ),127079,(+/- 6478 ),71459,(+/- 5505 ),94669,(+/- 6202 ),80128,(+/- 6124 ),110364,(+/- 6038 ),123828,(+/- 7049 ),109687,(+/- 5946 ),108455,(+/- 6437 )
People,Ancestry,Lithuanian,3807,(+/- 1336 ),2608,(+/- 1025 ),2999,(+/- 1134 ),1610,(+/- 817 ),419,(+/- 493 ),1166,(+/- 477 ),1053,(+/- 429 ),890,(+/- 524 ),963,(+/- 356 ),2311,(+/- 795 ),1240,(+/- 557 ),2732,(+/- 1129 ),468,(+/- 465 ),497,(+/- 359 ),92,(+/- 152 ),1132,(+/- 578 ),1532,(+/- 722 ),1879,(+/- 820 ),2818,(+/- 810 ),2926,(+/- 977 ),1353,(+/- 450 ),2490,(+/- 762 ),1077,(+/- 446 ),1060,(+/- 378 ),2716,(+/- 955 ),1404,(+/- 581 ),998,(+/- 551 )
People,Ancestry,Norwegian,7825,(+/- 1870 ),3379,(+/- 913 ),3931,(+/- 1798 ),2142,(+/- 1161 ),301,(+/- 297 ),975,(+/- 477 ),1862,(+/- 567 ),1372,(+/- 580 ),2091,(+/- 837 ),5643,(+/- 1894 ),5564,(+/- 1623 ),3632,(+/- 1151 ),1436,(+/- 589 ),487,(+/- 342 ),0,(+/- 192 ),1056,(+/- 460 ),2985,(+/- 1030 ),4686,(+/- 1601 ),6391,(+/- 1413 ),4498,(+/- 1236 ),4326,(+/- 1211 ),3305,(+/- 908 ),3095,(+/- 757 ),2337,(+/- 689 ),2360,(+/- 926 ),1416,(+/- 488 ),2763,(+/- 881 )
People,Ancestry,Polish,37157,(+/- 4441 ),32290,(+/- 4174 ),43099,(+/- 4540 ),32656,(+/- 5660 ),6416,(+/- 1667 ),34172,(+/- 4148 ),22920,(+/- 2894 ),8710,(+/- 1672 ),12266,(+/- 1918 ),31029,(+/- 3973 ),18678,(+/- 3470 ),37903,(+/- 4169 ),6954,(+/- 1758 ),6557,(+/- 1447 ),1660,(+/- 867 ),16375,(+/- 2510 ),27648,(+/- 3551 ),34467,(+/- 3251 ),37968,(+/- 3749 ),47892,(+/- 4219 ),27403,(+/- 3098 ),46988,(+/- 3804 ),42684,(+/- 3176 ),44296,(+/- 3815 ),38114,(+/- 4613 ),110327,(+/- 6010 ),98293,(+/- 6499 )
People,Ancestry,Portuguese,5151,(+/- 1829 ),2531,(+/- 1075 ),2194,(+/- 936 ),4245,(+/- 1633 ),1667,(+/- 622 ),1260,(+/- 624 ),1005,(+/- 522 ),761,(+/- 462 ),1366,(+/- 981 ),1528,(+/- 789 ),1072,(+/- 560 ),2528,(+/- 1013 ),1216,(+/- 681 ),1980,(+/- 940 ),0,(+/- 192 ),5435,(+/- 2180 ),4326,(+/- 1568 ),3239,(+/- 1435 ),1858,(+/- 806 ),591,(+/- 335 ),1920,(+/- 941 ),1528,(+/- 722 ),1395,(+/- 888 ),1886,(+/- 805 ),1818,(+/- 827 ),343,(+/- 265 ),492,(+/- 380 )
People,Ancestry,Russian,16993,(+/- 3617 ),10928,(+/- 1908 ),33660,(+/- 3641 ),30426,(+/- 5386 ),3610,(+/- 1459 ),22837,(+/- 4248 ),9461,(+/- 1405 ),20292,(+/- 2770 ),19492,(+/- 2771 ),30975,(+/- 5015 ),26694,(+/- 4382 ),36054,(+/- 4052 ),6426,(+/- 1670 ),5702,(+/- 2181 ),437,(+/- 275 ),13293,(+/- 1952 ),20798,(+/- 2419 ),9086,(+/- 1478 ),10449,(+/- 1579 ),11578,(+/- 2307 ),4429,(+/- 1545 ),7190,(+/- 1406 ),4319,(+/- 1212 ),7131,(+/- 1588 ),6410,(+/- 1334 ),6299,(+/- 1359 ),3684,(+/- 1040 )
People,Ancestry,Scotch-Irish,2603,(+/- 782 ),2245,(+/- 914 ),1899,(+/- 915 ),1782,(+/- 1234 ),694,(+/- 629 ),396,(+/- 221 ),2144,(+/- 734 ),1271,(+/- 597 ),999,(+/- 420 ),4032,(+/- 1438 ),1142,(+/- 448 ),3287,(+/- 1173 ),1692,(+/- 960 ),484,(+/- 231 ),64,(+/- 110 ),1267,(+/- 489 ),2470,(+/- 827 ),2702,(+/- 727 ),4888,(+/- 929 ),3941,(+/- 1297 ),7347,(+/- 1802 ),3524,(+/- 751 ),7000,(+/- 1536 ),4196,(+/- 979 ),3658,(+/- 951 ),3498,(+/- 978 ),5081,(+/- 1200 )
People,Ancestry,Scottish,7977,(+/- 1524 ),5501,(+/- 1561 ),5079,(+/- 1285 ),3579,(+/- 851 ),972,(+/- 542 ),1659,(+/- 620 ),3813,(+/- 887 ),2993,(+/- 1181 ),2484,(+/- 879 ),8387,(+/- 2127 ),2527,(+/- 810 ),8728,(+/- 1753 ),2768,(+/- 795 ),1620,(+/- 744 ),164,(+/- 153 ),4001,(+/- 1086 ),5425,(+/- 1348 ),9210,(+/- 1785 ),16481,(+/- 2072 ),12508,(+/- 2432 ),19416,(+/- 2563 ),11203,(+/- 1467 ),15494,(+/- 2060 ),11640,(+/- 1759 ),13433,(+/- 1915 ),9808,(+/- 1576 ),15628,(+/- 2607 )
People,Ancestry,Slovak,922,(+/- 496 ),838,(+/- 529 ),651,(+/- 413 ),816,(+/- 416 ),274,(+/- 395 ),701,(+/- 639 ),320,(+/- 238 ),601,(+/- 512 ),572,(+/- 423 ),1424,(+/- 665 ),784,(+/- 534 ),1446,(+/- 578 ),339,(+/- 323 ),466,(+/- 246 ),119,(+/- 117 ),990,(+/- 544 ),1427,(+/- 588 ),2542,(+/- 1213 ),1327,(+/- 412 ),1554,(+/- 723 ),1893,(+/- 675 ),6127,(+/- 1348 ),1140,(+/- 380 ),1277,(+/- 644 ),649,(+/- 330 ),672,(+/- 398 ),1636,(+/- 843 )
People,Ancestry,Subsaharan African,5321,(+/- 2620 ),4527,(+/- 1893 ),1172,(+/- 772 ),3268,(+/- 1476 ),15419,(+/- 4084 ),2363,(+/- 1069 ),4825,(+/- 1501 ),27092,(+/- 5079 ),36921,(+/- 5474 ),4661,(+/- 2072 ),8120,(+/- 3018 ),4524,(+/- 2078 ),29289,(+/- 6188 ),10467,(+/- 3463 ),54022,(+/- 9104 ),20209,(+/- 4807 ),6231,(+/- 2195 ),7182,(+/- 2698 ),2076,(+/- 825 ),3832,(+/- 1210 ),3829,(+/- 858 ),3430,(+/- 1407 ),1608,(+/- 677 ),5069,(+/- 2054 ),7953,(+/- 2696 ),7678,(+/- 2462 ),2137,(+/- 686 )
People,Ancestry,Swedish,6966,(+/- 2353 ),3353,(+/- 977 ),4711,(+/- 1040 ),2395,(+/- 849 ),766,(+/- 909 ),774,(+/- 428 ),2637,(+/- 724 ),1980,(+/- 709 ),1610,(+/- 478 ),4475,(+/- 1479 ),2012,(+/- 735 ),5213,(+/- 1859 ),1176,(+/- 540 ),962,(+/- 600 ),0,(+/- 192 ),1393,(+/- 525 ),3000,(+/- 982 ),6253,(+/- 1235 ),7736,(+/- 1321 ),5295,(+/- 1245 ),5240,(+/- 1275 ),5736,(+/- 1733 ),21629,(+/- 2718 ),3588,(+/- 908 ),6122,(+/- 1258 ),5163,(+/- 1042 ),8186,(+/- 1868 )
People,Ancestry,Swiss,1638,(+/- 780 ),1114,(+/- 862 ),1101,(+/- 579 ),648,(+/- 415 ),109,(+/- 179 ),309,(+/- 202 ),1296,(+/- 598 ),382,(+/- 252 ),495,(+/- 328 ),1293,(+/- 750 ),731,(+/- 645 ),2212,(+/- 827 ),445,(+/- 370 ),332,(+/- 272 ),0,(+/- 192 ),562,(+/- 383 ),1313,(+/- 513 ),1514,(+/- 658 ),2285,(+/- 846 ),2168,(+/- 1501 ),1763,(+/- 627 ),2352,(+/- 712 ),4402,(+/- 1565 ),2203,(+/- 779 ),1258,(+/- 496 ),529,(+/- 313 ),2176,(+/- 1252 )
People,Ancestry,Ukrainian,4231,(+/- 1713 ),2664,(+/- 835 ),2959,(+/- 918 ),2950,(+/- 1149 ),1185,(+/- 1116 ),5609,(+/- 2073 ),2741,(+/- 875 ),13350,(+/- 2859 ),8981,(+/- 2112 ),9539,(+/- 2115 ),13925,(+/- 3044 ),4617,(+/- 1221 ),2195,(+/- 1588 ),1566,(+/- 565 ),139,(+/- 177 ),2748,(+/- 1058 ),5665,(+/- 1806 ),4939,(+/- 1795 ),5646,(+/- 1487 ),6450,(+/- 1661 ),2012,(+/- 803 ),5258,(+/- 1210 ),4569,(+/- 1196 ),8871,(+/- 1754 ),9620,(+/- 2465 ),5030,(+/- 1716 ),5697,(+/- 1270 )
People,Ancestry,Welsh,2190,(+/- 913 ),1364,(+/- 582 ),1106,(+/- 514 ),1141,(+/- 823 ),119,(+/- 120 ),367,(+/- 232 ),1451,(+/- 508 ),1140,(+/- 570 ),1383,(+/- 626 ),2489,(+/- 763 ),689,(+/- 358 ),2109,(+/- 658 ),893,(+/- 498 ),449,(+/- 251 ),178,(+/- 180 ),745,(+/- 338 ),1693,(+/- 854 ),2368,(+/- 800 ),4506,(+/- 1057 ),5341,(+/- 1347 ),7045,(+/- 1491 ),13257,(+/- 2230 ),7110,(+/- 1370 ),5199,(+/- 1111 ),5497,(+/- 1746 ),2858,(+/- 817 ),4703,(+/- 954 )
People,Ancestry,West Indian (excluding Hispanic origin groups),7727,(+/- 3110 ),24423,(+/- 5718 ),8039,(+/- 2481 ),39255,(+/- 5607 ),158548,(+/- 10370 ),12952,(+/- 3043 ),12950,(+/- 2541 ),126119,(+/- 8657 ),165866,(+/- 9520 ),5144,(+/- 1760 ),9748,(+/- 2515 ),5822,(+/- 3012 ),26033,(+/- 4449 ),15146,(+/- 3088 ),29983,(+/- 4559 ),103348,(+/- 10040 ),27988,(+/- 4238 ),15863,(+/- 3665 ),6365,(+/- 1953 ),12093,(+/- 3257 ),2090,(+/- 789 ),5056,(+/- 1726 ),2157,(+/- 707 ),3926,(+/- 1381 ),10927,(+/- 2544 ),4543,(+/- 1303 ),1953,(+/- 918 )
People,Veteran Status,Civilian population 18 years and over,565714,(+/- 6741 ),557678,(+/- 8648 ),578848,(+/- 10398 ),560314,(+/- 9505 ),615100,(+/- 13084 ),608390,(+/- 12711 ),586140,(+/- 13006 ),612079,(+/- 14609 ),565638,(+/- 13655 ),572704,(+/- 13221 ),573268,(+/- 8152 ),629394,(+/- 15515 ),645756,(+/- 13508 ),549514,(+/- 15219 ),551665,(+/- 13888 ),576078,(+/- 10669 ),560437,(+/- 5469 ),550869,(+/- 5403 ),566625,(+/- 5408 ),577664,(+/- 4543 ),556948,(+/- 3458 ),557875,(+/- 2840 ),560813,(+/- 2806 ),557449,(+/- 1988 ),568631,(+/- 2283 ),563786,(+/- 4582 ),574335,(+/- 5636 )
People,Veteran Status,Civilian veterans,34784,(+/- 2552 ),30238,(+/- 2095 ),25587,(+/- 2197 ),23299,(+/- 2107 ),20673,(+/- 2504 ),13798,(+/- 1742 ),8015,(+/- 1106 ),14798,(+/- 1724 ),8090,(+/- 1178 ),13644,(+/- 2013 ),20219,(+/- 1758 ),13331,(+/- 2464 ),9850,(+/- 2040 ),8246,(+/- 1329 ),9999,(+/- 2045 ),19087,(+/- 1765 ),19869,(+/- 1727 ),36001,(+/- 2485 ),42613,(+/- 2560 ),39779,(+/- 2817 ),50531,(+/- 2345 ),45022,(+/- 2484 ),48451,(+/- 2315 ),42833,(+/- 2696 ),35228,(+/- 2814 ),39843,(+/- 2495 ),49754,(+/- 2689 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,710732,(+/- 5396 ),710420,(+/- 8399 ),725049,(+/- 11623 ),717958,(+/- 13483 ),787449,(+/- 15976 ),749219,(+/- 17024 ),758322,(+/- 18165 ),767411,(+/- 19570 ),735528,(+/- 19152 ),706932,(+/- 18449 ),730723,(+/- 11713 ),711241,(+/- 18862 ),806393,(+/- 17938 ),679864,(+/- 20468 ),765494,(+/- 19152 ),728089,(+/- 13776 ),736162,(+/- 6041 ),707456,(+/- 7091 ),681539,(+/- 6710 ),712183,(+/- 5976 ),678466,(+/- 4347 ),690965,(+/- 4186 ),689485,(+/- 4525 ),697572,(+/- 3710 ),713800,(+/- 3272 ),703629,(+/- 4400 ),703515,(+/- 6467 )
